trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
42,0.8830400536282891,-2.5970471525984395,-4.045460526409158,0.6627345472322344,3,2,256,256,256,95,0
13,0.8808781632311045,-2.01399983772566,-5.0,0.7,2,0,256,0,256,211,1
32,0.8803251215015921,-4.0,-5.0,0.2372800525063596,0,0,256,181,0,157,1
16,0.8800402212166918,-0.3,-4.744601101617954,0.0,4,3,8,256,2,256,1
45,0.8790849673202615,-2.620393475999296,-3.3949825775741056,0.312409186789854,0,0,256,256,256,242,0
41,0.8788838612368024,-1.9763565633073261,-3.500377175373509,0.35461914531917066,1,0,256,256,0,152,0
3,0.8785486844310374,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
12,0.8784648902295962,-0.3,-5.0,0.7,0,0,256,0,256,256,1
49,0.8776939835763365,-0.3,-5.0,0.0,1,1,8,256,0,0,0
4,0.8775934305346069,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
36,0.8773420479302833,-0.3,-5.0,0.0,1,1,75,180,0,256,0
11,0.8770236299648064,-4.0,-1.0,0.0,4,0,256,0,171,256,1
35,0.8765711412770236,-2.4378768750860944,-4.133924665323757,0.0,2,1,256,0,163,256,1
1,0.8764873470755825,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
46,0.8763867940338529,-2.5282368599110683,-3.355275722207195,0.5997624679753941,2,2,256,118,256,231,0
43,0.8763700351935646,-3.357420610683694,-1.0,0.0,2,0,256,0,0,256,1
50,0.8763197586726998,-0.3,-3.6904382853848463,0.20469894804096544,1,1,8,225,0,78,0
33,0.8753812636165577,-4.0,-3.6999648439021353,0.4813698826363333,4,0,256,209,212,1,0
26,0.8748282218870456,-2.2734444550040527,-5.0,0.0,4,2,97,16,206,256,0
40,0.8746773923244512,-0.5330333489495436,-3.9936543604781125,0.4874401682957492,2,1,8,256,81,245,0
39,0.8741578682755154,-2.757782545125047,-3.8554846835304493,0.02268155178083888,1,2,256,0,256,33,1
37,0.8739735210323445,-0.3,-4.058031384835394,0.0,4,2,196,50,256,0,1
28,0.8737891737891739,-4.0,-2.035927342055427,0.18738506079422043,1,0,247,184,222,19,0
15,0.8735210323445618,-3.3588474281171186,-1.8053536595493607,0.5153428721268145,2,2,100,86,237,118,0
5,0.8732864085805261,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
29,0.8726495726495727,-0.3,-5.0,0.7,0,1,8,0,0,0,1
25,0.8724652254064019,-0.3,-4.052465928082443,0.0,4,1,244,0,0,256,0
22,0.8724149488855371,-3.686946995936492,-2.0336299111452325,0.7,0,0,150,256,256,0,0
48,0.8718451483157365,-2.905741715529665,-3.202601045981118,0.3672963351087026,0,1,256,0,0,211,1
19,0.8717613541142952,-3.3245663488483155,-2.367972983861884,0.1325560767091675,3,1,256,95,212,256,1
17,0.871476453829395,-1.148380457721521,-3.6140646310600544,0.0781548461488106,2,2,256,184,120,255,1
9,0.871401039048098,-1.8850620774350735,-5.0,0.7,0,0,8,256,194,0,1
14,0.8702698173286408,-4.0,-5.0,0.7,0,0,256,0,256,0,1
44,0.86980056980057,-2.4783485128763383,-2.8468738404045415,0.18003716773831968,4,3,8,0,0,96,1
8,0.8662644544997486,-0.8670138191482484,-1.0,0.0,4,3,94,0,95,132,1
47,0.8660130718954249,-2.6993049897563894,-4.005108821137789,0.0,3,1,15,256,256,0,0
31,0.8646053293112118,-0.3,-1.0882455475179533,0.040306922336929715,4,2,256,256,235,222,1
18,0.8645047762694822,-0.3,-2.7913545256480115,0.7,4,0,8,256,256,256,1
7,0.8598123009887717,-0.3,-1.0,0.38240513277678284,0,0,8,256,0,104,0
2,0.857315233785822,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
21,0.8557734204793028,-4.0,-1.0,0.0,4,0,8,0,256,0,0
23,0.8523546170604994,-3.114702539462069,-1.0,0.7,0,2,8,256,0,66,0
24,0.8408748114630469,-4.0,-1.1856814011613563,0.7,0,1,152,256,256,79,0
30,0.8277275012569132,-4.0,-3.1249217550479713,0.6959030056486509,0,2,8,90,30,196,1
34,0.8219038042567455,-4.0,-3.4265330002313164,0.5435184965266207,1,1,23,0,223,0,0
20,0.7920395508630802,-4.0,-1.0,0.7,0,3,8,0,256,0,0
27,0.7471258588905647,-4.0,-1.5449213158333972,0.5890843988792183,4,1,175,256,242,250,1
10,0.5,-0.5588210953364565,-4.998340929476825,0.5451011473178935,4,3,256,177,38,256,0
6,0.5,-0.3,-4.106118576512346,0.26464728481463784,4,3,116,192,256,233,0
38,0.5,-0.3,-2.118120590455486,0.0948175263904191,2,2,256,117,225,256,0
