trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
41,0.8950850537181378,-3.9760628155390463,-1.4355604115645217,0.7,1,3,256,121,0,122,1
21,0.8942424162629029,-2.1005987657051133,-2.733987888849321,0.0,4,3,105,0,256,256,0
43,0.8913853486412471,-4.0,-1.0,0.7,4,3,252,0,0,256,0
15,0.8906217084474403,-3.915765125580154,-2.523984589627345,0.5978762866539312,0,3,236,210,112,256,1
47,0.8905822098167264,-0.3,-1.0,0.0,0,1,8,104,57,28,1
2,0.8902003897198231,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
50,0.8899633979355381,-0.3,-2.243345637324931,0.5083515904706364,3,1,118,32,19,192,1
7,0.8896737413103013,-3.9780722624926015,-4.670782168801325,0.427744516189639,1,3,123,21,222,44,0
19,0.8891997577417315,-4.0,-3.930545601658416,0.7,2,0,239,198,195,256,1
24,0.8889101011164945,-1.7228971050541868,-1.0,0.7,4,0,256,256,0,0,0
40,0.8885282810195914,-2.992057988373699,-5.0,0.6746943905555685,1,0,8,214,238,3,1
49,0.888106962291974,-0.3,-1.0,0.7,2,1,256,256,23,256,1
3,0.8878568042974511,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
12,0.8876461449336422,-2.837252881777677,-4.678642703288062,0.39409849693154364,3,3,193,116,1,9,1
25,0.8876066463029282,-0.3,-5.0,0.7,4,0,256,0,0,256,1
33,0.8862373604381715,-1.4096565023178753,-1.0,0.12874394556488164,4,0,250,198,63,0,0
23,0.8850919001474616,-3.054211004954536,-1.0,0.0,2,0,256,256,0,256,0
6,0.8850392353065093,-1.2318049423655628,-2.620577994147908,0.6986110710771215,4,3,98,37,164,176,0
1,0.8848680745734148,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
35,0.8848417421529386,-3.303626777518598,-5.0,0.286239099287043,3,1,237,0,154,28,1
17,0.8848417421529386,-4.0,-2.7049204427024773,0.4980763650965956,3,3,88,18,252,256,1
22,0.8848022435222246,-2.400835868601022,-4.93061673914265,0.7,3,3,109,0,243,84,0
18,0.8837884453338951,-4.0,-3.4349541980605554,0.5480842150933162,0,1,124,203,101,116,0
38,0.8833144617653255,-1.9196117532137018,-2.185839165635139,0.7,4,3,256,0,89,70,0
34,0.8827746471455657,-4.0,-1.6918567180634936,0.0,1,3,146,246,235,256,0
16,0.8827483147250896,-0.6952784290966267,-3.281942521358677,0.7,0,3,164,0,33,256,1
32,0.882662734358542,-0.3,-5.0,0.7,4,0,96,0,0,0,0
10,0.8823533284179482,-3.6209897056317772,-1.0756790637755995,0.10343275210941737,4,0,89,186,0,242,1
30,0.8816160206446176,-4.0,-1.0,0.329392131400388,2,0,174,256,256,256,1
44,0.8808918790815252,-4.0,-2.4894434105620102,0.36044577913237613,1,1,108,117,0,96,1
37,0.8804508110385504,-0.3,-4.721099234350324,0.7,4,0,256,0,0,0,0
4,0.8791671055403413,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
31,0.8780743100905837,-2.4083084255105103,-1.20700481359059,0.7,0,2,199,166,135,67,1
11,0.8772053402148725,-1.1358305385950072,-4.630549176570248,0.06584524429928659,0,2,255,79,231,249,1
8,0.876125710975353,-3.15276650353386,-4.352008234920754,0.27585022445235613,1,0,191,86,60,110,0
5,0.8754279018327364,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
28,0.8752962397303561,-4.0,-1.0,0.0,4,1,256,256,256,256,1
26,0.8749868337897618,-3.4296185030292117,-5.0,0.0,1,0,256,254,32,256,0
9,0.8741639456498841,-3.8215233557006747,-3.07777026856183,0.6985921088688622,4,1,203,252,140,33,0
39,0.8725642511059617,-4.0,-1.0,0.10517032473521114,2,3,8,256,0,0,1
48,0.8707538971982305,-4.0,-1.643182526764852,0.5280915489942403,1,2,103,255,137,0,1
13,0.8646711080682535,-0.4142776202060685,-1.8864621647348967,0.05758730225960987,1,0,237,51,79,10,1
45,0.8631174952601641,-0.3,-4.72804755824864,0.4178757419559512,0,1,237,36,256,256,0
14,0.8597206130187488,-0.7235310534089532,-3.394162129800756,0.004950944009401855,0,3,201,255,250,35,1
46,0.8237373604381714,-4.0,-5.0,0.0,0,3,8,256,0,0,0
42,0.7990112176111228,-0.3,-1.0,0.7,4,3,256,0,256,256,0
36,0.7694201601011164,-0.3,-5.0,0.19929900049313737,4,3,8,0,241,157,0
29,0.7449836738993049,-2.813722590307055,-1.0,0.4777141038908705,1,0,192,256,157,256,0
27,0.5,-1.4351594564077295,-4.527363205464624,0.7,4,2,81,20,256,129,0
20,0.5,-0.6045020280641706,-3.1252503133335257,0.6696651687189853,0,2,87,182,79,4,0
