trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
1,0.6603806058221873,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
16,0.6532503933910306,-1.5279582991375396,-2.973185003165451,0.5959492629398545,0,0,64,256,240,8,1
36,0.6519718725413061,-1.2760628257892432,-3.6225934152490056,0.7,3,0,67,71,212,45,1
32,0.6509392210857593,-2.1470633757670985,-3.1477224348157034,0.6695692011935743,2,0,8,137,166,39,1
29,0.6464398111723053,-2.3494992206543808,-4.46968010941249,0.7,0,0,99,122,210,68,0
17,0.6444482690794651,-3.56283749022258,-2.846597092029606,0.6770060020039181,0,0,160,0,120,196,0
45,0.6442761605035405,-1.288377457443728,-4.196914794981295,0.2880555135956835,2,1,90,88,196,41,1
39,0.644226986624705,-1.9485859944984907,-3.1441871655646287,0.635367680502156,2,1,160,46,66,0,1
3,0.6407602281667977,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
7,0.6398259244689222,-2.4689576672335853,-4.018641787909866,0.29385222346567336,0,1,183,112,220,212,0
46,0.6384982297403619,-2.3313626904507796,-2.4839844350301967,0.5362378183566672,0,0,256,82,70,256,0
30,0.6371705350118018,-0.4583267412018528,-4.862280802430268,0.6835734599030406,0,1,195,72,72,87,1
13,0.6369492525570418,-2.760957832780907,-1.0,0.3237143548960679,1,2,8,128,256,31,1
34,0.6347856018882769,-1.48521546109028,-2.5057170876374038,0.25913858034216664,1,0,64,27,96,85,1
20,0.6341955153422502,-3.060541193617456,-1.885540817098021,0.6918423658327664,0,0,139,155,75,256,0
19,0.6333841463414633,-0.36746774028046625,-4.056788025269885,0.5466311999631311,2,1,72,162,109,0,1
24,0.6322777340676633,-3.1347517762434203,-1.100382363008947,0.009197165906562013,0,1,207,53,78,206,1
14,0.627581628638867,-3.4640467254193106,-3.700467888848555,0.610698533138472,0,0,256,0,142,163,1
11,0.6272128245476003,-2.2923428234521257,-4.5104228534229875,0.5086471341496452,1,0,52,119,46,183,0
28,0.6254179779701022,-3.9246827479938022,-4.93410454422521,0.2731581771662623,0,1,176,116,75,0,1
22,0.6253933910306846,-3.1318892737064057,-1.1295822387901664,0.369850209319007,2,0,17,189,201,203,1
6,0.6229592840283241,-0.7525236403457494,-5.0,0.34793756961696043,3,1,8,124,69,64,0
48,0.6225904799370574,-3.430831388348247,-1.0,0.555298572760839,4,1,113,0,130,5,1
21,0.6220987411487019,-1.7770126462800802,-3.2714077649343465,0.43743066453031326,2,1,77,219,40,86,1
8,0.6211890243902439,-1.4821198423065836,-1.0,0.5544941802840843,1,3,17,231,168,56,1
31,0.6190499606608969,-2.07584344134254,-4.663778478270077,0.5510159521010977,2,0,219,202,204,234,0
44,0.6175009834775768,-1.898237409112315,-2.5473219215993903,0.1853784994818578,1,1,52,171,173,238,1
40,0.6148455940204564,-0.611580954738407,-3.0989813758084592,0.0,1,1,172,199,222,256,0
4,0.6132351494885917,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
5,0.6051583398898505,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
33,0.6022079071597168,-0.9755641345738328,-3.670330275149504,0.5686912709679529,0,0,92,153,118,0,0
12,0.6009785601888278,-1.7750765922229248,-3.9728487592937487,0.5792204204196433,4,2,44,0,256,0,1
35,0.6004622344610543,-3.5970105335636524,-1.2646280941380805,0.1771557407041007,3,0,77,107,99,233,0
38,0.5972659323367427,-1.799289156716394,-4.4702274488724045,0.3280459086136631,1,0,200,198,167,0,1
49,0.5963808025177025,-3.201306408716643,-2.535223166100327,0.05941489198954033,1,1,32,53,167,25,1
2,0.5959628245476004,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
47,0.5955940204563337,-3.2645822305516354,-1.0,0.44589780197557105,0,1,58,12,256,242,1
26,0.589816089693155,-2.41649278025391,-3.0622773668222765,0.0,1,0,94,207,256,113,1
41,0.5896193941778128,-3.6217715485621453,-1.58310297591605,0.22096311969016003,2,3,84,220,256,0,1
23,0.5880458300550747,-2.7221122961780564,-3.7610216807736494,0.3763509281125607,3,1,10,71,152,30,0
42,0.5738837529504328,-3.738352128431828,-1.2298664184164312,0.7,4,1,47,174,121,251,0
25,0.5616640440597954,-3.3880525235700407,-4.142515816114173,0.7,4,1,92,105,78,224,1
50,0.5579268292682927,-1.0103028895806876,-4.639542522933485,0.6303866135707118,0,0,8,252,138,0,1
37,0.5465922501966954,-1.9082205389633722,-2.0082883594693053,0.7,0,1,96,153,256,109,0
10,0.537224626278521,-2.903123303756132,-4.89910210002964,0.6483861801898606,1,0,256,192,47,176,1
15,0.5289265342250197,-3.800160081744129,-5.0,0.43708640864035053,0,3,256,16,137,239,0
18,0.5,-0.5342507344491714,-1.0311044350132694,0.7,0,0,8,256,2,184,1
9,0.5,-1.0570624368729309,-2.084669660175918,0.31466292512256033,1,2,256,237,166,56,1
27,0.5,-0.3,-4.4025193127220055,0.0,2,2,18,13,116,169,0
43,0.5,-1.9340685646633622,-1.0591890153281067,0.36942150434210336,0,0,38,68,235,27,0
