trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
25,0.8817998994469582,-3.580723465117553,-2.98068196665103,0.0,4,0,256,218,213,146,0
20,0.8810960281548517,-3.293173831748843,-4.210605409939067,0.4305284671814237,0,0,132,172,24,131,0
17,0.8806435394670686,-4.0,-2.2946939460507556,0.02012287058393326,2,0,199,48,215,127,0
45,0.879788838612368,-2.2365495253424617,-5.0,0.0,1,1,8,228,181,256,0
22,0.8791687615217028,-2.399075491770793,-4.2254677947841985,0.532348198784313,1,0,256,248,0,132,0
16,0.8790514496396848,-2.8093736971073975,-4.248098821808539,0.4870219625980441,1,2,170,229,56,248,0
50,0.8786995139936318,-3.404800598501644,-1.4132249119382725,0.05852687976990166,0,1,75,244,191,130,1
23,0.8784984079101728,-4.0,-2.1895711809216967,0.05269334334590243,1,0,190,256,82,155,0
19,0.878381096028155,-2.9185007873138478,-2.7083599947953134,0.26196513084930995,1,0,201,139,211,140,0
39,0.87818836936484,-2.2261492754400756,-1.606231769802934,0.0,0,1,8,127,93,256,1
35,0.8775766716943187,-2.1928193870150183,-5.0,0.0,1,2,256,230,67,243,0
10,0.8768225238813474,-1.732916562519069,-3.1311109596840545,0.3409689224439625,0,2,8,140,35,0,0
14,0.8752807105748281,-0.9028570899656714,-2.0844955081583887,0.08476841209003898,2,0,178,17,186,163,0
15,0.8746438746438747,-1.8497215279732937,-3.268605708785854,0.1341280249573843,2,2,76,32,256,247,0
46,0.8722138428020781,-1.0747026754870594,-4.510195355978092,0.6066848275533648,1,1,175,90,91,256,0
41,0.8721635662812134,-2.302494310706778,-3.082671163568888,0.24293308573971129,4,0,256,25,57,198,0
33,0.8720630132394838,-2.746059722118384,-2.4915096765161904,0.4638627125959298,4,1,256,48,65,225,1
47,0.8714932126696833,-3.6280017753474025,-3.9962976728789354,0.08765853435228521,2,2,8,151,86,101,1
1,0.8710910005027651,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
40,0.870940170940171,-2.562997347764977,-3.2349972763023445,0.32529754545213047,3,1,256,0,188,256,0
43,0.8708061002178649,-4.0,-4.683758801896242,0.6462957181419007,1,2,256,232,0,256,0
24,0.8706217529746942,-4.0,-3.204104798171981,0.567794401130754,0,0,256,181,0,126,0
27,0.8698592257415786,-4.0,-3.311276254331526,0.017637487565984437,3,2,8,207,208,14,0
21,0.869616222557399,-1.950790512428906,-4.368778662170131,0.34347859882897563,1,0,8,24,241,134,0
4,0.8694989106753813,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
3,0.8684766214177979,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
36,0.8654097536450478,-3.1095206417884973,-4.438540202439337,0.33434010825491234,2,1,256,197,0,256,0
5,0.865359477124183,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
11,0.8615552203787498,-1.6819635460170037,-4.729715122130346,0.3825732040648963,0,2,11,29,149,52,0
42,0.8610859728506788,-4.0,-1.3699026884734682,0.49878792148463685,2,2,256,118,0,0,0
29,0.8603485838779956,-3.498642833787994,-1.758568638213081,0.07559588866093289,0,3,256,14,201,119,0
31,0.8595441595441596,-3.9096495895351624,-4.503998918175326,0.4792401167087465,1,0,8,177,229,205,0
38,0.8594603653427182,-0.3,-1.0,0.6519812814176298,1,3,256,127,161,242,0
30,0.8576923076923078,-2.914972765375877,-1.2731053387674303,0.45153205604363644,0,1,8,221,185,131,1
2,0.8570135746606334,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
37,0.8565610859728507,-3.2993311228533204,-4.397371841155884,0.6861129295466515,4,1,168,248,0,66,0
9,0.8561085972850679,-2.0291749509551504,-2.8079540119467783,0.26283713327624536,2,2,8,213,36,256,0
28,0.8543154013742249,-2.2348519024253117,-1.395848631926469,0.6442654016463648,2,0,8,253,224,238,1
34,0.8521199932964639,-4.0,-4.987001047439661,0.3583386012456792,3,1,8,32,139,118,1
18,0.8514831573655104,-0.8637498696141304,-1.4345150288254485,0.39361066423880925,4,1,256,254,62,196,0
32,0.8508630802748449,-4.0,-1.7887811988319822,0.6208673302139256,3,2,8,79,30,235,0
6,0.8506284565108094,-0.300557795400318,-1.0402175596971062,0.265593308303084,2,1,10,2,161,138,0
7,0.8375398022456846,-0.4618191926044406,-1.4386795324637154,0.20446814461193594,2,2,172,149,238,5,1
49,0.8213004860063684,-3.6343325179128847,-1.0,0.0,3,1,116,59,65,164,0
8,0.8199095022624434,-0.5011150681002219,-2.6607933031253195,0.48266847147784464,2,2,254,79,0,121,1
48,0.8007625272331154,-4.0,-1.1126050584840605,0.459627847510697,0,1,256,74,156,77,0
44,0.7796044913691973,-2.423904965079318,-1.0,0.0,4,2,228,219,12,179,0
13,0.5,-0.6221864947014621,-2.7203233303830006,0.20980417151299222,1,2,172,183,68,146,0
12,0.5,-1.2628336705748056,-5.0,0.17757904065590327,3,2,234,194,33,164,0
26,0.5,-0.3323845469505491,-4.215949501339149,0.004132756006724183,4,0,256,209,135,146,0
