trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
39,0.6599198923142585,-2.7528437589866055,-5.0,0.0,2,0,197,256,256,111,1
29,0.647312781115598,-1.0438209701595476,-4.6893468482360285,0.0,2,1,60,155,168,99,1
6,0.6469680554187596,-0.3,-5.0,0.0,4,3,8,0,0,256,0
17,0.6388095472602515,-1.0287342547700762,-4.956157660584392,0.0,3,1,32,0,166,174,1
50,0.634475852785712,-2.9719871876858135,-1.0,0.0,4,3,78,139,256,256,1
24,0.6318822023047375,-2.2303283588669967,-5.0,0.40324841131766853,3,0,231,163,175,63,1
47,0.631652385173512,-2.5682626651546236,-5.0,0.0,4,3,121,200,256,256,1
43,0.6312912439673002,-0.4242980526355744,-5.0,0.13785295371748302,2,0,256,0,243,95,1
27,0.6304704684986375,-0.3,-4.712602583628172,0.02385707141375533,3,0,60,130,256,88,1
38,0.6283036212613677,-1.9160326657406443,-5.0,0.0,4,3,219,0,22,256,1
45,0.6275813388489444,-3.0467013870701773,-5.0,0.0,4,0,22,0,256,256,1
46,0.6223612068682491,-1.946281508603017,-5.0,0.0,3,0,44,256,256,0,1
40,0.6220657276995305,-2.0912628203559667,-1.8029697225346464,0.0,4,0,182,0,174,256,1
34,0.620424176762205,-0.7803628400800591,-4.978003306209025,0.0,3,1,142,29,195,160,1
7,0.6189796119373584,-4.0,-5.0,0.0,4,0,256,256,0,256,1
30,0.6142191142191141,-2.993942363897987,-5.0,0.0,4,0,139,179,242,110,1
18,0.6119866049443513,-3.3193563280990444,-4.481614432688463,0.2781894766091306,2,2,215,207,211,57,1
9,0.6083423618634887,-1.5230323561881929,-4.347263415939066,0.28749388677424503,3,3,75,0,73,256,0
1,0.6070291211136282,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
42,0.6035162021077514,-0.9593713132221944,-5.0,0.0,3,3,234,0,142,256,0
37,0.600922551626777,-2.7094103873130626,-5.0,0.0,4,3,250,174,27,256,0
36,0.6007583965330444,-3.628337488179364,-5.0,0.0,2,0,225,107,13,12,1
32,0.5999376210643815,-1.2367833012451528,-5.0,0.14419907764451592,4,1,96,45,256,35,1
33,0.5994287402738108,-0.7833896896306736,-4.766492106656187,0.0,4,0,8,77,206,128,1
22,0.5988541974457467,-1.0134190631401996,-3.12459068538766,0.18222399681114795,3,1,32,241,160,192,1
41,0.597836435864605,-3.455723542654293,-2.3351986354319236,0.0,2,0,76,256,245,95,1
48,0.5967858432647165,-2.095740441111162,-5.0,0.0,2,2,232,103,256,93,1
3,0.5943563478774747,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
31,0.592205916149578,-0.96648891413192,-4.430145658889276,0.0,2,0,25,127,62,256,1
21,0.5915657112840211,-3.336673525915888,-5.0,0.08035288484147698,1,1,236,56,117,165,1
44,0.5883811024656096,-0.8253010877494367,-5.0,0.16496048690425985,2,0,8,256,45,96,1
49,0.5803703338914606,-2.556432636576215,-1.0,0.7,4,0,210,16,256,0,1
16,0.5668439541678978,-3.242292722235364,-5.0,0.01595214321334371,2,3,34,96,106,152,0
4,0.5635608522932467,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
26,0.5614924981122165,-0.3,-5.0,0.0,2,3,8,173,256,256,1
12,0.5574542828063955,-2.184646724872921,-5.0,0.4816162440523843,3,0,8,98,52,192,1
25,0.5543353360254768,-3.7794527523414185,-5.0,0.6519761787810725,1,1,8,256,64,71,1
11,0.5542696739879838,-3.4175889317892327,-3.832713684418745,0.2142668007169298,3,1,201,0,146,0,0
8,0.5435175153485012,-0.5433531302042618,-4.946528973219449,0.41121771373924526,4,2,26,174,4,13,1
15,0.5416461472799501,-0.6474774811763053,-4.810653626717551,0.0013850079290081195,4,2,217,96,195,80,0
23,0.533421977083949,-3.105297708238374,-5.0,0.6022538678160401,1,1,43,56,93,205,1
10,0.522456416822614,-3.5185836902746983,-3.644836634548577,0.5731803325342123,0,1,173,256,149,256,0
20,0.5200925834728651,-0.3,-4.159294097416868,0.6316454530002137,3,3,8,63,199,8,1
19,0.518286877441807,-3.0203118583390403,-4.517323661200152,0.29588684769743173,3,1,216,174,66,228,0
2,0.5091270232115302,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
28,0.5,-0.3,-4.0253769457625594,0.3839120247075061,0,0,237,81,256,23,1
35,0.5,-0.3,-5.0,0.7,3,3,8,3,68,256,0
5,0.4879181851012837,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
14,0.48581699990150695,-0.3346320939462277,-1.6546223009099714,0.12012254310706974,4,3,8,130,29,180,0
13,0.475114087790144,-4.0,-5.0,0.3757591630146159,4,3,256,0,44,98,0
