trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
27,0.704243705743509,-0.3,-2.807510516689429,0.007017688961284562,1,3,61,256,17,0,0
8,0.6953186467348544,-1.6807207599171137,-5.0,0.6401240400230715,1,3,141,231,32,64,0
3,0.6889752163650669,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
37,0.6864304681353265,-2.2165861931868944,-3.479447211527793,0.48643901209666535,2,2,121,256,26,92,0
17,0.6851642407553109,-1.186866577956108,-5.0,0.21893725672848593,0,1,179,256,169,167,0
26,0.6844020456333596,-1.2030428589309747,-3.439367541956613,0.33407524528963767,2,3,45,256,0,109,0
43,0.6802468528717546,-1.73521526841157,-2.129406152248868,0.6128550670995674,1,3,236,62,57,174,0
33,0.6738419551534226,-0.5220480079990448,-4.469690707108886,0.5278473763670289,2,1,130,36,256,45,1
45,0.6734362706530291,-2.8884173020524324,-2.4263557374386435,0.2574918813212591,4,0,126,46,194,16,1
1,0.6713955546813533,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
36,0.6709529897718333,-2.9529336406114224,-2.276123385319092,0.3745856847850596,4,0,8,256,9,85,0
15,0.6684205350118017,-0.4633218128634491,-5.0,0.12453708693595644,2,1,151,217,204,26,0
35,0.6677075137686861,-0.3,-4.626401104907998,0.37166789310208537,1,3,136,256,0,15,0
44,0.6667977970102282,-2.914046307515814,-4.7148507468655465,0.29987497332085594,1,0,231,36,153,237,1
21,0.6660110149488592,-2.37865459182512,-4.095457327313384,0.5037369500994223,2,2,136,256,1,167,0
14,0.6657651455546814,-3.6194424119381376,-5.0,0.03681654101152346,1,2,239,71,26,67,0
42,0.6630851691581432,-2.169930433869184,-1.7702379695465278,0.10659433727587436,1,3,109,40,245,215,0
28,0.661978756884343,-4.0,-1.8462081398564232,0.19008147723839852,2,2,41,0,235,0,1
34,0.6616591266719118,-2.9762566425605512,-4.383252465644032,0.024770630492367003,2,0,36,256,17,65,0
6,0.6616099527930763,-1.8394986297337987,-1.3169304405658662,0.6332917546948897,4,0,253,219,19,157,1
19,0.661093627065303,-3.031294914519553,-1.0,0.18975614384903539,4,1,8,253,250,20,1
12,0.6582415420928404,-3.13970373017188,-5.0,0.2177452955564775,1,2,80,125,3,1,0
23,0.6573932926829269,-1.0703190691860174,-5.0,0.1516448891796066,0,2,42,0,73,204,1
2,0.6565450432730133,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
18,0.6550698269079465,-2.434634587317883,-3.8032451088684125,0.09099559422966576,0,3,156,236,0,209,0
29,0.6545043273013376,-4.0,-1.862387607478193,0.6096184808529386,1,2,230,256,184,0,0
7,0.6525373721479151,-0.3,-2.756664552957488,0.0835162788103383,3,1,250,215,256,146,1
41,0.6522669158143194,-1.0464885179136765,-3.7540218820800675,0.3191070204633247,2,2,57,112,73,0,0
4,0.6520210464201417,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
49,0.6515047206923682,-1.807895366802705,-2.4901023943859215,0.5775130517048853,1,0,8,256,162,231,1
50,0.6416945318646735,-2.615665921767541,-4.392241738761601,0.4331752399520604,2,0,8,0,230,0,1
47,0.639285011801731,-1.4518679293524532,-3.2064993161128097,0.08908239826865713,1,3,56,139,145,88,0
16,0.6387686860739574,-2.1140751646582,-3.2179417051278305,0.4798692561296116,2,1,8,236,205,98,1
46,0.635793666404406,-2.405136373094254,-4.523362493141453,0.038751285751058843,0,0,256,53,91,256,0
10,0.6182017112509834,-0.3,-5.0,0.7,0,3,8,0,0,0,0
5,0.6170830055074744,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
25,0.6146488985051141,-1.0776678478610013,-1.9436745978397223,0.7,2,3,244,256,256,68,0
13,0.6133457907159716,-1.0921506150314593,-5.0,0.7,1,3,8,95,53,107,0
31,0.610161782061369,-0.3,-2.8352154749065934,0.36513839014453564,2,2,52,0,256,256,1
20,0.606559795436664,-3.42383433663745,-1.0,0.25403497785084844,0,2,8,180,115,230,1
30,0.5976593233674272,-0.3,-4.592816605552294,0.05021928814319467,1,2,91,256,60,0,1
11,0.582169551534225,-2.424666012972769,-5.0,0.6000357456909863,4,3,102,7,23,105,1
32,0.5669502360346184,-4.0,-3.23315681592537,0.39465728736425676,2,1,219,137,239,239,1
24,0.5411831235247837,-3.9035163340698187,-5.0,0.5421410286234934,1,1,176,256,97,58,0
22,0.5391424075531078,-0.5155118645566414,-1.8648745797192032,0.2725608792314174,4,2,118,0,231,224,0
9,0.5236526357199056,-3.7777526262505816,-5.0,0.31136594205709184,4,1,240,189,101,88,0
38,0.5232961250983478,-1.22672937404408,-4.2797175340444005,0.14878634662951498,2,0,230,15,172,141,0
48,0.5,-0.4929856920893112,-1.2318235928481975,0.0,1,3,238,37,191,15,1
39,0.47720790715971684,-2.073232225199133,-1.0,0.5571731250334309,4,3,37,208,24,28,0
40,0.4357789142407553,-3.512500127977645,-2.88996472532703,0.31647349616240206,4,1,214,256,19,256,0
