trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
24,0.907725825372884,-2.7035644759481476,-4.649012859400929,0.3682523113266074,0,2,218,179,4,191,1
31,0.9030501089324618,-3.0327904335519134,-5.0,0.10731087868324293,2,2,49,197,256,168,1
35,0.8988268811798222,-1.924305145352594,-3.162195006456388,0.4287268554237981,4,0,167,172,256,0,1
42,0.8974191385956092,-1.1881480106006426,-3.3528489159754735,0.3704112476810035,1,3,144,151,169,153,0
19,0.8962460197754316,-2.0135589574564685,-4.739638122678719,0.03513039525369182,1,0,147,256,37,13,0
12,0.8952404893581364,-0.5606293858750697,-3.858322137313608,0.2184044196446027,1,1,82,195,217,112,0
23,0.8938159879336351,-4.0,-1.0,0.0,4,0,256,0,0,42,1
49,0.8925590749120162,-0.6881346613678088,-4.8013624673013,0.13715476542885569,0,1,55,134,168,70,1
25,0.8896597955421484,-4.0,-5.0,0.0,0,0,256,155,52,256,1
3,0.8890062007709066,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
27,0.8886039886039885,-1.37805950876393,-5.0,0.0,0,0,173,245,0,161,0
28,0.8877157700687112,-2.489085109174269,-2.5158775021061763,0.2952300930831937,1,2,40,2,7,155,1
29,0.8866767219708397,-1.0648819588186926,-5.0,0.5397952732321927,1,2,247,123,0,9,1
36,0.8858220211161386,-1.8800232145835514,-5.0,0.6100234486658719,4,0,80,256,117,0,1
22,0.8854198089492208,-1.9541271362846113,-3.2157655511967924,0.24654302530460917,1,3,226,20,86,113,0
50,0.883777442600972,-2.7466034895057736,-5.0,0.5985737363871535,1,2,65,214,4,52,1
5,0.8835093011563601,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
20,0.8834087481146304,-3.5138212829936855,-2.8790819805622268,0.22633032141753803,2,0,101,0,24,192,1
44,0.8833081950729009,-4.0,-5.0,0.0,4,3,256,256,256,0,1
39,0.8832914362326126,-1.7883255184606117,-2.335076688477158,0.4964048105585872,2,0,241,85,256,55,1
37,0.8823194234958941,-3.3155117540481696,-4.063245107210641,0.11387112746139205,1,3,77,198,189,0,1
6,0.8820345232109937,-4.0,-4.755505041540679,0.17859961959076243,2,0,225,225,62,40,0
11,0.8818501759678231,-1.3489934472182226,-2.0925257360076386,0.42849411145310484,2,0,105,228,256,256,1
7,0.8815149991620579,-0.3,-3.3954594358623877,0.0034440234312074513,0,0,244,256,162,0,1
40,0.8804424333836098,-3.061605267053197,-3.832416952223532,0.5515001225614944,2,0,140,0,256,231,1
1,0.8803921568627451,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
30,0.8803083626613037,-0.3,-3.936633967986411,0.0,1,0,26,216,0,256,1
8,0.8802245684598625,-2.1157042246215294,-3.6060341255059125,0.6441076930398679,4,0,8,0,44,24,1
41,0.880124015418133,-2.3712519556896727,-4.546770961234603,0.2493660824181233,1,1,256,84,256,237,1
43,0.8797050444109268,-2.11593808167712,-5.0,0.7,3,0,72,0,197,0,0
4,0.8792190380425675,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
48,0.8786157197921902,-2.5308274208213084,-4.91776574005816,0.25612299286100015,3,1,196,247,164,141,1
21,0.877207977207977,-3.0226807030218015,-2.215892803100631,0.2100620175046374,0,3,67,0,75,219,0
47,0.8769398357633653,-3.7951566700743595,-2.638124079525816,0.6771737473494396,0,2,45,88,47,51,1
17,0.8760516172280878,-4.0,-5.0,0.20725092937956707,3,0,256,29,61,233,1
26,0.8756158873805931,-1.6694277048047534,-1.0,0.7,1,0,187,6,256,0,1
10,0.8726998491704373,-3.9092308532082405,-1.1501288658599127,0.12306057835014131,4,0,243,143,0,159,0
9,0.8669683257918552,-0.8127259329204728,-3.2808814181975117,0.3783839763175827,0,0,82,203,256,256,0
16,0.8627115803586393,-0.3,-1.0,0.0,0,1,34,136,19,5,1
2,0.860432378079437,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
33,0.8596028154851685,-0.3473851114820321,-5.0,0.0,1,0,8,57,164,38,1
13,0.8562091503267973,-0.3651771587079393,-1.1637512834183927,0.6552391749109278,1,3,228,171,150,127,0
32,0.8507625272331155,-4.0,-3.50196348151818,0.3403442357177308,4,3,56,0,0,81,1
45,0.8482151835093013,-3.7950960470403023,-2.0855577389034172,0.0,0,1,256,0,109,215,0
15,0.8324786324786324,-0.3,-5.0,0.05623506642318009,0,3,100,206,256,219,0
14,0.8264957264957266,-3.949339055832338,-4.969874788331503,0.6575590167200243,3,1,220,97,31,198,0
38,0.8115300821183173,-2.1522749285215683,-1.0,0.6099449780252537,4,0,191,122,256,109,0
18,0.6824199765376235,-0.3,-1.0,0.0,4,1,12,256,210,98,0
34,0.5,-0.6697746501912865,-1.5717781077817814,0.7,0,2,200,247,9,220,0
46,0.5,-0.3,-5.0,0.31899903972892235,0,0,8,68,190,0,0
