trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
23,0.8856711915535446,-1.300227082534319,-3.646073545459579,0.3118086056759826,1,0,218,256,256,228,1
28,0.8855706385118151,-1.2762974492719383,-5.0,0.463005251715881,0,0,176,256,256,84,1
4,0.8800737388972684,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
9,0.8798391151332328,-0.7917749889370591,-5.0,0.0,2,0,74,230,196,213,1
29,0.8797553209317914,-0.46419089888638876,-3.345000417660273,0.33984263755493727,0,3,256,0,256,0,1
25,0.8785486844310374,-1.712499345303716,-5.0,0.28883503360617907,0,1,41,4,256,5,1
26,0.8782135076252724,-2.74954055250946,-3.6637857927774715,0.1804416109967065,0,0,12,0,213,115,1
8,0.8781297134238311,-3.966167556253136,-4.548466213286955,0.31800354216583765,1,2,55,242,77,72,1
17,0.8780124015418134,-1.3303576315066126,-3.1541509338311196,0.3148920705958348,4,1,247,256,141,201,1
15,0.8770403888050947,-3.3583452677915093,-4.76254945247046,0.010024488543978407,0,3,44,75,127,70,0
14,0.8769733534439417,-3.032936210805821,-2.494096965855385,0.036211222103532274,3,0,68,12,205,2,1
31,0.8760683760683761,-2.9076993565488563,-5.0,0.7,0,3,203,178,0,256,0
3,0.8754147812971342,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
18,0.8752807105748281,-0.965137059042271,-1.9617121863207605,0.5475530103819306,0,1,146,0,57,103,0
41,0.8748449807273337,-2.84714096994201,-1.0,0.624240396540902,3,2,226,250,256,48,1
1,0.8745600804424334,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
13,0.8737053795877325,-1.774011996619886,-4.975788636906079,0.32234898174073706,2,1,103,123,7,239,1
7,0.873336685101391,-1.3334017314359214,-1.7924250905782926,0.43917065637046476,0,1,247,200,196,105,1
22,0.872733366851014,-3.035264438083638,-2.5998044209641624,0.0,1,3,201,184,255,22,0
50,0.8725825372884197,-0.3,-5.0,0.0,3,1,8,5,0,153,1
49,0.8721132897603485,-0.3,-2.243576586582961,0.0,0,1,8,62,87,0,1
37,0.8720630132394839,-0.3,-1.5855164641874966,0.09485554837198402,1,1,137,36,0,90,0
12,0.8714596949891068,-3.205091074777643,-1.552443882112899,0.40681226035548684,3,0,97,35,211,145,0
33,0.8714429361488185,-3.1413649399827523,-3.920108373151689,0.6946496109402261,3,2,8,132,151,49,0
11,0.8705714764538294,-0.9750541533663863,-1.1616734648497693,0.007228542097088965,1,0,8,23,39,128,1
5,0.8698508463214345,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
44,0.8685939332998156,-3.3437748111341263,-3.6839358280896244,0.6816258474030433,0,2,8,256,33,0,0
39,0.86768895592425,-4.0,-5.0,0.1781351891869933,2,1,249,193,0,29,1
16,0.8674543321602144,-2.3873846672997616,-4.491611418214998,0.016364586134367046,1,2,72,253,11,126,0
27,0.8672699849170438,-3.8297223543872967,-1.0,0.270797944950698,0,2,12,0,204,5,1
38,0.8670521199932963,-4.0,-1.9435133206287087,0.6890305805654615,0,2,135,110,156,75,0
24,0.866163901458019,-0.8887848363056383,-1.0,0.0,2,1,256,196,152,95,1
6,0.865627618568795,-0.9467179263393639,-4.931407383926555,0.2598228478076437,4,0,186,250,238,4,0
47,0.8650075414781297,-2.2051075870053536,-1.0,0.25574039169498103,1,2,133,39,99,201,1
2,0.8637003519356461,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
43,0.8635495223730516,-1.0883751830843091,-1.0,0.7,0,3,17,0,4,0,0
46,0.8631975867269985,-2.495108169304433,-5.0,0.0,2,0,178,219,78,0,1
10,0.8626194067370536,-2.1628547340738704,-1.2814896934264937,0.697372518596504,1,3,174,184,43,152,0
45,0.8619741913859561,-4.0,-1.0,0.04957700036106102,3,2,188,125,256,148,0
34,0.8526897938662644,-4.0,-3.5545387427221256,0.299561708968138,3,3,227,116,256,91,0
36,0.8503938327467739,-2.1761197093936273,-5.0,0.0,3,0,201,236,256,59,0
20,0.8492709904474611,-3.5738464646237,-3.2063199066704895,0.6087256338347794,0,3,25,7,72,77,1
19,0.8449472096530919,-1.137845018411884,-1.7390028012170138,0.528659384311989,4,2,146,68,20,200,1
48,0.8372213842802078,-4.0,-2.8048425967687605,0.5295387724989977,0,1,21,175,256,168,1
32,0.8315401374224904,-4.0,-1.0,0.0,0,3,17,60,0,76,0
40,0.8283727166080107,-4.0,-5.0,0.5633956694566082,3,1,37,249,160,211,1
21,0.7727249874308697,-0.7455919347875102,-5.0,0.468292901366408,3,2,72,0,202,82,0
30,0.6490531255237137,-1.2830030176283738,-1.0,0.5222630375456432,3,0,167,256,256,14,0
42,0.5032679738562091,-0.3,-5.0,0.08390965753590733,1,2,206,5,10,169,0
35,0.5025641025641026,-0.3,-1.5211812722769311,0.7,0,0,61,147,166,191,0
