trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
37,0.6809481598213992,-1.2309789707347925,-3.70177101414231,0.4871772154643813,3,3,40,127,187,251,1
39,0.6733313634722086,-1.0924367270961386,-4.030034793016881,0.07846734761467114,0,1,28,233,158,213,0
43,0.671821136609869,-3.80402559453787,-2.5957560712170076,0.0,3,3,256,240,106,209,1
40,0.6708033750287271,-1.418515829595424,-5.0,0.0016586254493800273,1,1,22,224,78,59,0
1,0.6686857743195771,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
38,0.666371187497948,-1.2383261127281777,-3.6984592374718765,0.18671606106383423,3,3,75,12,54,207,1
11,0.6655175810105388,-0.3,-2.9285300117591024,0.39810341691449785,1,1,37,30,151,5,1
41,0.6650251157293411,-1.3522783830869542,-2.3542511355333797,0.0,2,3,61,178,143,151,0
13,0.6645326504481435,-3.1681648539045604,-5.0,0.7,2,2,256,206,256,256,0
22,0.6631865786795363,-3.8173394856040055,-5.0,0.318548188053711,3,0,239,256,42,193,0
44,0.6627926064545782,-3.6006625651682818,-2.683446584335611,0.0,1,1,235,132,33,118,1
32,0.6617748448734363,-3.5017785125829675,-4.581704773840697,0.3683125802818758,2,0,256,256,92,17,0
10,0.6613808726484782,-0.3,-3.536690149078111,0.15640470694292977,2,1,66,5,140,140,0
8,0.6607899143110411,-1.2441970752242133,-4.7380578282365216,0.447115637825224,2,3,15,0,237,137,1
35,0.6607899143110411,-1.4013078036936224,-4.867526529537128,0.5065654763986444,1,2,27,191,172,181,1
4,0.6592796874487016,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
20,0.6591483633737155,-1.028675314401506,-3.734193560740694,0.3506499508498478,0,1,30,49,233,203,1
42,0.65891854624249,-3.163952346929343,-3.054342182003614,0.0,2,2,256,186,190,227,0
27,0.6560950786302897,-4.0,-4.489731669422993,0.1656920866597711,0,2,233,169,211,162,0
6,0.6543550346367247,-0.3588026987199826,-3.2055126094245088,0.30226621812025306,4,1,74,21,0,46,1
24,0.65256574411504,-3.5735192154601623,-5.0,0.6421531099634108,3,2,247,101,256,105,0
47,0.6516136445713911,-1.2283149788754644,-4.119566670738827,0.06301118264682257,1,2,50,127,160,113,0
16,0.6507107915558621,-0.3,-3.4948218394690933,0.04210141558423093,3,3,231,59,144,0,1
9,0.6490035785810433,-4.0,-3.6229259310663524,0.5375455847497348,3,2,52,220,159,87,0
34,0.6479201549624085,-0.7002630174554203,-3.956235306397674,0.6643737385168983,3,1,50,172,255,120,1
50,0.6462129419875899,-1.8447785294520385,-4.318272063595022,0.5904060373926245,2,2,86,223,175,76,0
25,0.6453593355001807,-1.4260380048112618,-4.122884853625761,0.2684654612591587,2,1,204,112,0,10,1
7,0.6390886109195968,-3.572174253025517,-2.3267630428407657,0.014554510844052907,1,2,8,234,58,37,1
31,0.6355264453856004,-1.4254021680516673,-3.953448094400101,0.6291955652748978,3,0,8,0,185,18,0
18,0.6344922682950852,-0.3936431377965084,-4.362302668745159,0.033194307074493966,4,2,38,0,5,184,1
29,0.6336386618076758,-3.4430598490887623,-5.0,0.4686931244229384,0,0,203,256,116,25,1
49,0.6252995830460619,-2.6507915513070586,-3.099219841311536,0.3686105827644602,4,3,201,193,215,174,1
14,0.6252010899898224,-0.3,-5.0,0.0,1,1,8,0,256,0,1
5,0.6113628155881676,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
21,0.6079648051479037,-0.3,-4.3255772482665105,0.6610112013180055,3,1,8,148,256,52,1
2,0.6073738468104665,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
48,0.6011359532486292,-3.546760151699985,-1.6114455227423248,0.016783273308038867,0,1,229,193,0,6,1
3,0.594569749499327,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
17,0.5941101152368757,-2.6730970387748654,-4.8238001646243545,0.2946398847127046,2,3,24,68,110,57,1
28,0.5802554253258478,-2.483993458920512,-1.0,0.048276595794493775,4,1,201,0,7,33,0
30,0.577317049148035,-3.6848733987867295,-5.0,0.6256391001747784,4,2,35,185,92,231,1
45,0.5724744738829245,-3.569849259249082,-1.0,0.7,4,1,256,239,37,246,1
36,0.5501493811352967,-0.3,-1.0,0.31195927420247876,3,0,54,13,246,16,1
33,0.5408253718112872,-0.8796530949214891,-4.38119680264816,0.5514861822691809,3,0,8,0,256,79,1
19,0.5286450638563315,-0.3271261891174069,-1.219849741239738,0.005946214180328933,0,1,8,0,169,159,0
23,0.5190255753636035,-2.691198932265305,-3.219957495377889,0.13554102171442756,4,1,55,256,62,127,0
15,0.5,-0.3,-5.0,0.6257597431662518,0,2,144,236,0,50,1
12,0.5,-0.3,-1.9458085190270742,0.7,1,0,8,162,24,197,0
26,0.5,-0.8531626329290942,-2.3081191639330414,0.032391606184387474,1,2,162,128,208,33,1
46,0.3916083916083916,-3.8976094567213693,-3.693101485215256,0.0,4,1,256,27,82,239,0
