trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
17,0.9007333579102591,-1.4596931337699965,-1.3536945964253881,0.36218143631360245,4,2,87,113,157,123,0
7,0.8970731514640826,-2.781426755051105,-4.961603077736319,0.3870780243025584,0,1,180,2,214,82,0
16,0.8927283020855277,-1.5427534649505508,-1.0936450604624786,0.3981682930456653,3,2,53,93,102,95,0
34,0.8913853486412472,-2.0688254035033062,-4.483055383133108,0.1532191904602525,4,2,256,0,0,0,1
38,0.8910166947545819,-1.5679162263702917,-5.0,0.6389840938378566,2,2,70,135,130,0,1
41,0.8900818938276807,-2.894445983059602,-3.0794622725065532,0.7,4,3,80,34,44,0,0
36,0.8900687276174425,-1.4537942674872282,-1.0,0.2726783973446574,3,2,226,73,44,212,0
45,0.8896605751000632,-3.0156638500483908,-1.0,0.1411289666106248,3,3,217,223,87,0,0
44,0.8883571202864968,-4.0,-5.0,0.43303536732174913,1,3,228,139,11,0,1
28,0.8877514746155466,-2.5157699810105862,-1.0,0.4552937706688642,0,1,38,178,240,147,0
49,0.8872248262060247,-1.102649463705983,-1.8049111105905786,0.0,2,0,10,13,256,115,1
33,0.8870273330524542,-2.2239316456614064,-4.228745437458494,0.33246821934474496,3,2,256,6,118,0,1
20,0.8867903412681695,-2.607179040454782,-1.5818888253311547,0.03878213066015563,1,2,239,34,38,142,0
10,0.8866981777965031,-2.051612374198947,-1.0717317696952686,0.653698153066253,0,1,137,240,133,254,0
9,0.8865270170634085,-3.115769857392152,-3.325069071364627,0.2102622031741042,1,3,10,211,59,80,1
47,0.8863163576995997,-1.7885764914288447,-1.0785702765646854,0.3323629805837279,2,0,44,133,161,0,0
11,0.8859740362334105,-0.5156211375829223,-1.1632230063325983,0.07833658997336411,0,1,159,134,131,0,0
4,0.8857502106593638,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
46,0.8855922161365073,-0.3,-5.0,0.34386479561860595,2,3,111,139,28,0,1
3,0.8855395512955551,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
22,0.8853552243522225,-3.427539427600239,-1.4094374352438361,0.28254253842142596,2,2,85,211,179,156,0
1,0.8852893933010323,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
43,0.884947071834843,-4.0,-5.0,0.7,2,2,15,242,154,0,1
14,0.884920739414367,-3.113431247880398,-4.960096862716622,0.5698916466987204,0,0,117,31,236,82,1
2,0.8845520855277017,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
40,0.88409126816937,-3.7747681588207262,-1.0,0.0,4,3,31,172,176,0,1
19,0.8837094480724669,-2.717100471517637,-1.4954642377051344,0.28776481384259256,1,2,58,218,180,188,1
21,0.8832749631346113,-3.17015458543729,-2.9315211580484006,0.4193785794855809,4,2,238,56,125,15,0
39,0.8822348325258057,-0.7045973614844887,-2.4949255788050575,0.15007959195637557,4,1,40,179,94,0,1
27,0.8812210343374764,-4.0,-5.0,0.0,1,1,8,137,144,256,1
8,0.8808260480303349,-3.896952683628426,-3.113522180105018,0.6504924641262484,2,1,182,0,140,194,1
42,0.8804968927743838,-4.0,-1.0,0.48788816931974666,2,1,228,129,212,0,1
12,0.8802862334105752,-3.97301691276779,-1.1999457669963496,0.24773320012442593,0,1,151,11,196,136,0
5,0.8761915420265431,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
15,0.8759677164524962,-2.887228352122403,-4.8005410683514365,0.13865412147489117,4,3,133,130,248,90,1
13,0.8754937328839266,-3.4990213406708848,-3.733101557166659,0.28237431841297045,0,1,249,92,135,59,1
37,0.8754213187276174,-2.729812122528969,-1.0,0.7,2,1,132,185,205,256,0
6,0.8749802506846429,-0.7025597296646704,-4.960767541144095,0.5979533461481725,2,1,140,255,202,145,0
48,0.8730974826206026,-4.0,-5.0,0.20988725995928026,3,2,87,136,74,100,1
26,0.8714912049715607,-1.4661372796377354,-5.0,0.40348822205115586,4,3,241,107,88,244,1
18,0.8697927638508531,-3.1863022519806,-3.270914397812043,0.3401558208634636,2,0,55,0,227,166,0
25,0.8591018011375606,-0.34133799892648486,-1.0527773718786761,0.0,0,0,191,150,131,0,0
50,0.8575745207499472,-4.0,-2.676124642691138,0.12248902969719518,4,2,14,219,184,241,1
24,0.8514653991994945,-3.311460294620759,-3.4791601738464872,0.0,1,0,254,31,187,0,1
31,0.847871023804508,-2.8862640371806534,-3.0038066099372873,0.004195579200205151,2,2,17,256,253,153,1
30,0.8473377922898673,-0.3,-1.0,0.3128914515441499,0,2,8,0,0,0,1
32,0.8322098167263535,-0.9756460157281159,-5.0,0.0,0,0,256,256,256,70,0
29,0.821848009269012,-1.9496455562316264,-2.447960311004522,0.376606519194586,3,2,65,183,196,241,1
35,0.5547648514851485,-0.5417707931686397,-1.0,0.7,0,1,72,256,21,127,0
23,0.5,-0.7912213615986565,-1.6929336966796624,0.5954307639216683,3,2,107,124,129,67,0
