trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
18,0.6837136113296617,-3.1607682831094133,-4.528115935077514,0.29285143340257064,0,1,233,67,256,217,1
31,0.6771243115656963,-2.898409910632483,-2.4367965123148343,0.7,0,3,256,0,200,197,1
20,0.673805074744296,-3.7805505175657794,-4.651726236485897,0.4002372619432877,4,0,99,0,256,229,0
27,0.6721331628638867,-2.879507343052193,-4.534020616350454,0.47541420469943146,3,1,256,0,94,129,1
13,0.6720348151062157,-3.424728634177849,-4.399593988303113,0.7,3,0,111,0,17,228,1
40,0.669969512195122,-3.477361760525124,-2.2602560592282557,0.6002783499726534,4,2,78,0,134,157,1
3,0.6682484264358772,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
41,0.6658634933123525,-2.4567360295801244,-2.2987711851048576,0.5591403985481374,1,3,221,66,256,122,0
45,0.6654946892210858,-3.0502424657905505,-2.1145177756563203,0.7,3,0,166,0,218,75,1
21,0.6599380409126674,-2.5596390732061667,-4.638992098081942,0.08272390458197187,2,2,158,0,134,217,1
1,0.6590774980330449,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
44,0.6586595200629426,-3.0469668270603094,-2.291679785912238,0.7,2,2,251,122,175,68,0
24,0.6583153029110937,-4.0,-4.750726692503249,0.6991194357870079,1,2,256,14,9,94,1
25,0.6573318253343824,-1.242258674101035,-4.6152177900873355,0.5559379819531908,3,0,243,0,256,83,0
2,0.65602871754524,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
16,0.6560041306058222,-2.2244816811833337,-4.2212526660688034,0.7,2,2,70,51,32,14,0
22,0.6523160896931549,-1.6254215785922983,-4.166912357878804,0.7,1,0,199,256,256,184,1
28,0.6511113296616837,-3.370801651239652,-3.93672366586921,0.40276157199777685,4,3,161,0,21,50,1
35,0.6500049173878836,-2.9539118169762437,-4.852927648199265,0.39886090011843195,3,1,211,20,256,246,1
29,0.6495377655389456,-2.677462425463615,-4.608366390793418,0.6743626080717815,3,2,215,155,70,256,1
15,0.6487018095987411,-0.8131046010978169,-3.6982729046631357,0.6280329987068881,2,2,112,133,216,8,1
6,0.6482100708103855,-3.9914250727521887,-2.739152720171047,0.37266929915211344,0,3,158,71,233,223,0
10,0.6442761605035405,-0.35381811444027544,-2.4568603159086546,0.7,0,1,70,54,0,185,1
37,0.6430714004720692,-1.8511554634104663,-4.627803108374072,0.3904848349300106,0,3,83,108,254,221,0
38,0.6420633359559401,-1.7443520367121002,-4.43541265035588,0.46640060636999403,4,0,19,56,0,144,0
43,0.6420141620771047,-1.2957078967331928,-2.398754905120189,0.3524811161735028,2,3,68,0,188,31,1
33,0.6406127065302911,-3.3680233310751846,-4.4771231506269515,0.34208634290116124,0,2,70,0,256,134,1
39,0.6389530881195908,-0.4360444463070863,-4.040768116081938,0.6716137253615636,2,1,187,256,37,188,1
23,0.6388916207710464,-2.7448756680203266,-4.604026290139838,0.7,0,0,8,0,256,148,0
48,0.6375639260424861,-2.0554415285855305,-4.5786036129864,0.2493582164717333,0,2,256,67,201,249,1
8,0.6331382769472856,-1.0649646827987302,-3.823441718495759,0.3914572867496806,3,1,18,0,227,182,1
49,0.632412962234461,-0.414000337738444,-2.2934552225015326,0.7,2,3,139,26,181,131,1
46,0.6293764752163651,-1.0123252542154515,-3.715021763666674,0.2292135560944033,2,1,215,256,256,121,1
11,0.6269423682140047,-0.7142444314585887,-2.136708083891306,0.021440627225169824,2,0,173,256,136,7,0
42,0.6268686073957513,-3.0774932145739653,-4.573591729000221,0.33981838497018935,4,0,220,83,204,223,1
19,0.6260818253343824,-2.5592330985088676,-4.509588635109679,0.20489262894037857,1,2,152,256,47,117,1
30,0.6233035011801731,-3.2788367540709435,-4.869856615141721,0.34031472424279663,3,2,256,0,152,243,1
50,0.6164314516129031,-2.5092352561193385,-2.421430444142809,0.7,2,1,233,6,228,9,1
32,0.6156077891424074,-0.6967213652742301,-2.623173198016618,0.7,0,0,256,256,47,47,1
5,0.6142555074744296,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
26,0.6135670731707317,-4.0,-4.48799496371047,0.06350380842990304,1,0,170,85,256,136,1
4,0.6034618410700235,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
17,0.6003392997639654,-4.0,-5.0,0.7,4,1,182,228,248,3,1
12,0.5913035995279308,-3.5713162052841585,-1.0884665011879928,0.6268799842332713,4,1,231,256,16,40,1
47,0.5770308811959088,-3.466711169129794,-2.027984416436885,0.7,0,1,69,0,70,211,1
9,0.5769571203776555,-0.3,-5.0,0.4768828968957515,2,2,107,109,64,156,1
36,0.5526898111723052,-3.042473563363402,-4.3721876818929655,0.7,1,1,201,50,214,128,1
7,0.5078432336742722,-1.7396122667460232,-1.1318424108519123,0.6537147632165075,2,2,46,127,251,72,0
14,0.5029012588512982,-1.7034788572785349,-1.0,0.7,0,0,10,80,251,168,0
34,0.5010941188040913,-0.7873546232686977,-4.1966284252844765,0.7,0,0,256,0,243,185,1
