trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
36,0.8808781632311045,-1.8920756551876918,-3.7417075448330963,0.09223298420620822,3,2,256,29,0,0,1
4,0.8804927099044746,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
41,0.8802748449807273,-2.737289300603144,-4.205255078811044,0.10937842661391975,4,2,256,101,0,0,0
48,0.8796715267303503,-2.85212648954467,-4.1865524848778275,0.15803205790658195,4,3,256,256,0,0,1
43,0.8796212502094856,-3.585778336291095,-3.519228231493944,0.17018439688350834,1,2,256,35,256,194,0
19,0.8795542148483324,-2.8995396459212195,-1.3464382691517804,0.2132894218063197,4,3,193,222,0,108,1
33,0.8792357968828557,-1.9702592425729017,-3.009214759841031,0.13986210110327676,1,2,256,5,0,4,0
32,0.8780626780626779,-3.2258179230747936,-2.438174771613841,0.2417596731672537,4,3,256,256,256,0,1
44,0.8764873470755825,-3.3517717796525655,-1.4271752004887746,0.3948030956557754,2,2,256,143,256,32,1
24,0.8761186525892408,-0.3,-5.0,0.7,4,3,140,0,0,8,1
6,0.8756494050611698,-2.532107878266972,-4.120011389317831,0.013746738123771708,3,1,91,11,18,181,1
31,0.8748784984079101,-1.6057234559029294,-4.763177846135211,0.4053225629106395,3,1,256,60,0,51,0
34,0.8746941511647395,-0.5019318390357803,-5.0,0.06184973219740698,1,1,256,91,0,63,0
37,0.8744595274007039,-2.0753250331033684,-2.7921175399763936,0.007875955512332946,3,0,256,0,256,4,1
3,0.873940003351768,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
17,0.8736383442265796,-0.3,-5.0,0.7,0,3,207,184,256,31,1
42,0.873403720462544,-2.448354094012853,-4.323922736725843,0.2186922782698565,2,0,256,111,0,26,0
9,0.8728506787330317,-2.508640399343723,-1.3693606121702353,0.22821509149796168,3,0,256,0,95,245,1
21,0.8726663314898608,-0.5388156668238477,-5.0,0.0,0,3,256,184,256,231,1
16,0.8724652254064018,-0.3,-5.0,0.7,0,3,194,256,256,132,1
40,0.8723646723646724,-2.704892738877114,-5.0,0.09438973981434824,3,0,8,231,256,227,0
46,0.8716608010725658,-2.27788064600014,-1.81357273437549,0.0,4,0,256,0,9,114,0
39,0.870604994134406,-4.0,-3.3267537604090904,0.2925888770733492,4,3,256,146,256,113,1
11,0.869549187196246,-4.0,-1.0,0.7,4,0,256,51,256,256,1
15,0.8648231942349589,-4.0,-5.0,0.7,4,3,256,93,199,0,1
5,0.8646891235126528,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
50,0.8639852522205463,-3.052167330397368,-5.0,0.7,0,3,256,256,137,256,0
20,0.8636165577342048,-1.0421359628327207,-1.0143031025301652,0.07971473173863124,4,3,8,22,256,0,1
23,0.8633484162895927,-0.4646882439165605,-4.1074975983275905,0.0,1,3,256,66,114,0,0
2,0.8630802748449808,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
38,0.8625439919557566,-1.8690473803484102,-3.7643914869769186,0.19038186700602636,4,2,8,76,256,66,1
45,0.8625104742751801,-2.0142382296980017,-2.4311638622476948,0.41480031125247624,4,3,8,72,0,0,1
1,0.8621585386291268,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
29,0.859644712585889,-4.0,-1.1721041563935413,0.44951151132349576,2,3,154,184,256,162,1
27,0.8574493045081278,-0.8513703172837999,-5.0,0.7,3,2,163,209,164,0,1
30,0.8550025138260432,-2.319255660669132,-1.781202136654966,0.4133478622711707,3,2,58,218,26,64,0
8,0.854918719624602,-4.0,-4.9649905915202295,0.052689855640245,1,1,256,0,43,10,0
26,0.8443774090832916,-0.3,-1.0,0.0,4,3,97,76,211,256,1
14,0.8419808949220715,-0.3,-1.0,0.04778240338911155,0,0,254,72,256,256,1
13,0.8408412937824703,-4.0,-2.0293075078817324,0.02134864804915305,0,1,256,125,0,256,0
12,0.8355622590916709,-4.0,-5.0,0.7,4,0,8,125,0,0,1
28,0.8333165744930451,-4.0,-5.0,0.7,0,0,8,0,0,256,1
49,0.8278867102396515,-4.0,-3.337919719677755,0.7,2,1,41,256,0,0,0
25,0.8220630132394838,-0.3,-1.0,0.7,4,3,256,256,0,0,1
47,0.7860985419808949,-1.009457448708103,-4.767880291696532,0.38816769431727693,0,2,8,32,256,152,0
22,0.783777442600972,-4.0,-1.0,0.7,4,1,8,240,0,62,1
18,0.7508379420144127,-4.0,-1.0,0.7,4,2,8,47,256,256,0
7,0.7478800067035362,-1.4139017691797506,-1.0166354806977012,0.18170427464000838,3,3,36,181,150,232,0
35,0.7421065862242332,-0.3,-3.2796868632518192,0.0,4,2,256,0,256,0,1
10,0.5340791017261606,-0.3,-1.456319351035428,0.16173911461192123,1,0,229,245,100,193,0
