trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
43,0.8856544327132563,-3.8061702586418247,-5.0,0.0,2,0,252,0,178,19,1
14,0.8821015585721467,-0.3,-5.0,0.0720145151914362,3,0,53,0,256,256,1
38,0.8801072565778449,-3.53235207948715,-1.5500466333787166,0.0,4,2,256,6,59,32,1
4,0.8796715267303503,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
21,0.8787497905144964,-3.2592925295784028,-5.0,0.0,0,1,226,209,221,27,1
42,0.8781632311044076,-4.0,-5.0,0.20524512250324378,3,0,256,0,218,195,1
9,0.8779956427015251,-1.902959261360261,-3.031432641319003,0.022686294241735194,4,1,194,5,195,199,1
34,0.8778448131389308,-3.849312122115018,-5.0,0.0,0,0,177,0,231,109,1
29,0.87766046589576,-4.0,-5.0,0.3224639555580901,0,0,239,0,230,137,1
13,0.8776101893748953,-2.385808271036028,-4.082948736372422,0.0,0,0,79,0,256,28,1
36,0.877325289089995,-3.8698933113616465,-4.455143646544519,0.0,4,3,256,155,80,67,1
40,0.8771577006871124,-1.2739578375377771,-5.0,0.00895254643139627,4,3,256,0,256,81,0
12,0.8771074241662478,-0.6657758159748903,-3.8333451611516995,0.0,4,3,17,256,111,36,0
3,0.8768895592425003,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
8,0.8761856879503939,-2.660571134808408,-3.9230526479101977,0.13712906678828302,4,1,190,16,0,162,1
48,0.8746438746438747,-1.079032017472465,-5.0,0.0,3,1,188,0,244,61,1
45,0.8741578682755152,-3.673859309210832,-2.814068027551204,0.34435501454672574,4,3,106,254,215,117,1
41,0.8720797720797722,-0.6938528147173075,-5.0,0.11408668050462399,3,3,256,0,222,197,1
37,0.8717278364337188,-2.567173312676241,-5.0,0.0,4,3,75,95,187,199,1
20,0.8715937657114128,-0.3,-2.9508228348387595,0.0,0,1,224,0,111,256,0
6,0.8715770068711246,-3.4328042060930666,-3.940991059735161,0.0053648139839409205,1,1,196,29,47,103,1
7,0.8703871292106586,-2.6488221063554294,-2.8301552744328866,0.0,3,2,43,210,96,19,1
49,0.8703703703703705,-2.495308403930702,-5.0,0.155324761004312,1,0,134,256,175,242,1
30,0.8703368526897939,-4.0,-1.0,0.0,4,3,102,0,251,65,1
23,0.8694653929948049,-1.649361617973117,-5.0,0.0,4,0,256,0,256,256,1
28,0.8656946539299482,-1.7610602804824027,-5.0,0.0,4,0,103,236,84,89,1
33,0.8641025641025641,-3.7585005802560545,-1.9316739400428902,0.0,3,2,40,95,30,212,1
5,0.8630132394838277,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
50,0.8628456510809452,-3.629985274328867,-3.836236162404088,0.0,3,0,207,256,175,147,1
2,0.8588402882520529,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
19,0.8582034523210993,-1.2970474636586915,-4.312658801430633,0.0,0,3,96,9,107,83,0
15,0.8573990279872633,-4.0,-4.370001524063786,0.7,3,0,199,0,0,0,1
1,0.8572314395843807,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
32,0.8568878833584715,-1.7609129276246898,-5.0,0.5086384564980608,4,0,8,209,256,66,1
31,0.8568292274174627,-4.0,-5.0,0.7,0,0,243,256,182,94,1
44,0.8564605329311211,-1.7268303416861248,-5.0,0.0,1,0,73,33,30,44,0
17,0.8558236970001676,-4.0,-3.6861594124315427,0.3974206357991558,1,3,111,0,256,111,1
27,0.8539299480475951,-3.059886465285821,-3.67945623371767,0.15248989647948052,2,3,8,5,182,132,0
47,0.8531758002346237,-1.7911200448765219,-1.0,0.0,0,0,101,18,116,54,0
24,0.8530836266130384,-0.3,-5.0,0.13483196337423875,0,2,12,203,122,94,1
46,0.8507792860734038,-3.7917071427377307,-1.0,0.3906996047192449,4,1,50,0,64,177,1
39,0.8477794536618066,-0.7010964496631331,-2.3137312111391632,0.13503057246141537,1,0,256,121,256,185,1
26,0.8465141612200435,-0.5720505956228679,-3.3010827977160146,0.0,4,0,8,187,0,213,0
35,0.8438327467739233,-0.3,-1.0,0.0,2,3,72,186,197,144,0
22,0.8400620077090667,-2.3801017264767768,-1.0,0.7,0,1,92,40,32,177,0
16,0.8391989274342215,-4.0,-1.6908935216594192,0.0,4,3,90,256,256,2,0
25,0.8384028825205296,-0.3,-1.0,0.10638557460703045,1,1,8,32,135,36,1
18,0.834715937657114,-0.3,-1.0,0.0,0,2,53,256,151,66,1
10,0.8336685101390984,-0.3,-4.380024820650207,0.5369902405843422,4,3,190,130,53,153,0
11,0.8152337858220211,-4.0,-5.0,0.7,4,1,122,181,100,177,0
