trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
35,0.6698348599757051,-1.381014520886688,-4.996331415443379,0.017342935837590633,4,0,167,111,43,237,0
27,0.6689812534882957,-2.0162112927565703,-4.515034069374712,0.0,2,3,226,48,36,0,1
44,0.6481007255655142,-0.45634430705937445,-3.570644485317273,0.0,2,1,100,3,256,0,1
21,0.647378443153091,-2.801702446478091,-4.589355013381208,0.0,3,0,239,0,228,5,1
37,0.6466889917594143,-1.059165957822663,-5.0,0.0,3,0,190,0,0,256,0
22,0.6463278505532027,-1.252694770352845,-4.29967300290075,0.0,0,3,57,0,190,131,1
30,0.6441281722971864,-0.3,-5.0,0.0,0,3,8,0,0,95,1
45,0.6434058898847631,-2.854923645040781,-4.561230984014155,0.0,0,0,45,255,61,256,0
20,0.6378246166978562,-3.659603402171455,-3.330416834836222,0.0,1,3,180,256,232,49,1
4,0.6365277914573689,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
25,0.6350996421418957,-3.116530901684599,-3.9148531679222414,0.0,0,3,72,0,256,133,1
33,0.6350996421418956,-2.342935985749285,-3.5199397542091333,0.0,2,3,256,222,224,0,1
43,0.628894579598805,-2.1631672828566795,-4.225144107544504,0.0,2,3,207,190,68,71,1
16,0.6285006073738468,-3.7706694662150095,-5.0,0.17664023145221905,1,0,77,0,214,43,1
36,0.6284349453363538,-2.423033276717139,-5.0,0.0,4,0,213,0,256,141,0
47,0.6267277323615352,-3.224458590697421,-5.0,0.0,3,0,55,143,74,188,0
46,0.6253159985554352,-1.966824914240755,-5.0,0.3638305864485275,1,0,255,169,39,256,0
31,0.6250533504054631,-4.0,-4.629795181689012,0.0,0,3,53,176,153,0,1
13,0.6247250402179979,-0.3,-5.0,0.0,4,0,128,0,44,0,1
49,0.6225910239994746,-2.9903003930532353,-5.0,0.0,2,0,49,114,256,29,1
23,0.622032896680784,-3.635327394438234,-2.889021116538349,0.0,0,3,30,0,141,218,1
50,0.6218030795495584,-0.40713106714964775,-5.0,0.0,1,3,247,58,0,256,1
18,0.6208838110246562,-3.1605455730343373,-3.4904991250088684,0.26114374580634075,1,3,100,0,256,160,1
26,0.6203256837059654,-2.28803120065144,-4.517957634161456,0.0,0,1,8,0,162,156,1
39,0.6143832693128468,-3.5370878091871396,-5.0,0.3375766292770489,4,0,225,256,127,256,0
40,0.6141862832003677,-1.963585918803743,-5.0,0.0,4,2,151,2,4,0,1
3,0.6141206211628747,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
42,0.6114284776256607,-3.1661508237117517,-5.0,0.0,2,0,50,214,256,7,0
28,0.6111329984569421,-0.988430622889199,-4.4104329866946195,0.13575384624073863,4,3,228,107,139,0,1
6,0.6104763780820118,-2.363542419236958,-5.0,0.11615403869539798,1,1,205,13,256,203,1
29,0.6013493548704817,-3.7250418511921004,-5.0,0.7,1,0,72,184,131,0,0
7,0.5991168455957188,-4.0,-5.0,0.06434549797486686,4,1,256,179,256,234,1
8,0.5946189960274467,-2.100156817152473,-3.3150378854364404,0.2970056227722479,3,1,216,63,256,187,1
14,0.5860993466627269,-0.4000711231051648,-3.7195101075387047,0.0031601512335361795,2,0,201,0,115,64,1
15,0.581289602416363,-3.6466051185752706,-5.0,0.6165068600710397,4,2,256,20,127,115,1
1,0.5688794773301815,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
32,0.5675990675990675,-0.3,-5.0,0.7,0,3,183,161,206,256,1
11,0.5602120883811025,-1.9302300244990689,-3.7296464495916135,0.5728177894938413,2,1,213,0,191,0,0
19,0.5428444794641978,-3.134566534564109,-3.830929012607152,0.6560926420904937,0,3,127,0,256,0,1
24,0.5362126136774024,-3.1752278724826173,-1.0,0.7,1,3,9,256,213,166,0
2,0.5084375718178535,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
9,0.5,-0.730851408765322,-1.0,0.017870306927833306,0,2,86,26,47,253,1
34,0.5,-0.3154052630392914,-1.0,0.7,2,0,185,10,218,43,0
38,0.5,-0.48379893590904866,-5.0,0.0,3,0,150,256,0,18,0
41,0.5,-1.1641527873453832,-5.0,0.0,3,0,194,38,256,256,0
12,0.5,-0.3,-3.096242801769447,0.5635838794109842,1,3,254,25,229,71,0
48,0.5,-0.48041709232541363,-1.0,0.0,1,2,238,37,256,0,1
10,0.49898223841885814,-3.454480450995752,-3.5356137726404286,0.6390380217538225,4,0,11,193,131,146,1
5,0.49691388423782784,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
17,0.46470665484749996,-3.1302825423810328,-4.479986624873392,0.1612643778895689,4,3,8,0,165,143,0
