trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
5,0.9129081772114637,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
18,0.9071469122563552,-0.6490287295955901,-2.9799864444881505,0.23012811526223836,0,2,161,15,161,0,1
11,0.8995773670598626,-1.2214296319105489,-1.041985986525587,0.12894033910962116,0,1,235,63,234,119,1
15,0.8974747156163924,-1.4260372781059227,-1.0,0.0,1,0,256,0,86,0,1
42,0.8947517819970983,-1.7439390538735626,-1.0,0.4591607929679841,2,1,62,34,215,253,1
48,0.8902731344225068,-1.9154877060331925,-1.0,0.7,2,2,195,256,237,0,1
14,0.8879076515486028,-1.2539921592385532,-2.098087102075546,0.34433147562767813,0,2,8,186,238,242,1
40,0.8863622027376523,-4.0,-1.0,0.30040556700295445,4,1,76,67,23,18,1
38,0.8851847179293088,-1.0446788380414445,-1.0,0.2547785047906196,1,3,222,0,247,0,1
37,0.8835761895750541,-2.199851165880039,-1.0,0.7,4,3,205,33,6,101,1
3,0.8791816480582015,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
10,0.877552093189512,-2.7282177770372744,-2.5501461820364293,0.2755994378086677,4,0,200,23,173,222,0
13,0.8772577219874261,-3.3885244942693165,-3.9704137273742086,0.0,3,2,8,0,12,256,0
2,0.8761958830084737,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
19,0.8756176538615195,-1.479248712065961,-2.815215919974866,0.0,2,0,136,216,130,126,0
29,0.875428415231607,-1.6486133287963671,-2.1147934469548693,0.5430609483188296,0,0,200,70,107,172,1
46,0.8753548224310855,-3.2282222011727026,-4.505532169952005,0.7,4,0,8,109,0,0,1
21,0.874797619798566,-0.3,-1.7818616119758723,0.09866667093122249,2,3,204,37,209,128,1
36,0.8732206312159634,-4.0,-5.0,0.7,4,0,29,127,157,233,1
24,0.8711284930297105,-1.9655372825779813,-2.4212004360177493,0.0,2,1,8,0,237,256,0
47,0.8700140877646713,-1.598535006285072,-2.416319617348674,0.20729105147258747,0,0,123,0,0,241,1
32,0.8699615214785845,-0.7436198597672221,-3.6998313471536504,0.3662699740582347,1,1,256,0,245,36,1
25,0.869793309363107,-1.6080242755169083,-3.7727277937585306,0.0,1,3,192,185,15,129,0
23,0.8696566370192814,-3.848330829898962,-5.0,0.0,4,0,8,0,145,256,0
1,0.8689417355285014,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
20,0.8660926428225992,-4.0,-5.0,0.0,1,2,138,0,0,0,1
39,0.8620765785655713,-3.157554274729034,-1.0,0.7,4,0,223,112,243,192,1
44,0.8565781450408967,-4.0,-5.0,0.41789079961622294,2,2,256,0,137,256,1
8,0.856199667781072,-1.8890718531230761,-2.229152723927283,0.2571556727607628,3,0,178,254,22,15,0
45,0.8529510713009104,-4.0,-1.3111587233962223,0.0,4,0,256,0,53,256,1
6,0.8521100107235224,-3.072296555922088,-3.599714750900188,0.5851447603310101,4,2,49,26,32,98,0
35,0.8515317815765681,-3.2576121824307767,-2.0320847961556185,0.0,4,3,18,186,256,14,0
16,0.8434576000336425,-3.430983573301996,-4.704285160488828,0.0028581358702754914,3,3,87,78,210,104,1
9,0.8369498938161021,-3.1833662921510224,-1.0,0.4651764061565687,4,3,221,138,0,101,0
27,0.8325185558989887,-1.7866411690422384,-2.8907690316132832,0.10104774801461334,2,1,116,246,169,171,0
7,0.826468176370403,-2.2069435998206863,-4.587450557826713,0.0,0,2,184,111,213,101,0
28,0.8226203242288527,-0.6719335761992995,-3.217587144036691,0.31313908439361643,0,2,44,209,153,24,1
43,0.8182993755125214,-2.2040691496133897,-4.90211129566482,0.0,4,2,225,145,0,248,0
33,0.8179208982526966,-2.585496575322809,-1.0,0.2554379900368789,0,0,114,114,158,74,1
34,0.8128429950167161,-4.0,-1.5874777642062097,0.0,4,1,93,240,0,251,0
31,0.8125591370718477,-0.7070906444073297,-5.0,0.0,0,3,256,0,109,0,1
49,0.8125118274143696,-1.4675520246367486,-4.043451601445242,0.7,4,1,223,155,198,149,1
50,0.7594146218381379,-1.3820745367597795,-4.253791857678042,0.3063608061694493,1,0,256,256,0,0,1
17,0.7072320696398159,-3.1213396114061354,-4.521572130527467,0.7,2,3,256,0,29,256,0
4,0.6846338232511197,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
41,0.6672606656994471,-4.0,-5.0,0.0,0,1,31,99,225,110,0
12,0.5,-0.3,-1.5754692460223105,0.6416811270250196,1,0,242,58,192,7,0
30,0.5,-0.6230304290291064,-2.326180796175142,0.4659891970134328,2,2,147,73,31,32,0
22,0.5,-0.3,-3.988640263793443,0.0,4,0,175,79,42,172,0
26,0.5,-0.3,-3.810659228763601,0.7,0,0,117,60,13,171,1
