trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
30,0.9100659723662919,-3.477816245838608,-4.442733575168582,0.0,0,0,256,0,256,0,1
34,0.9097202052473617,-3.741452927360182,-4.707094447945445,0.0,1,0,256,0,184,0,1
26,0.9084477822496991,-3.5305860896236188,-5.0,0.0,4,0,223,256,256,0,1
24,0.9075072956862094,-4.0,-3.9222944113832714,0.0,0,0,256,0,256,0,1
49,0.9038006721712792,-4.0,-3.11467308520987,0.0,4,0,256,82,176,0,1
40,0.8969129911621924,-2.672637007553731,-4.622651827100932,0.0,1,0,256,0,205,232,1
1,0.8948937111876408,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
3,0.8943681451668671,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
42,0.8902466011092209,-2.0215267109953996,-1.6974859583862374,0.7,2,3,218,28,0,120,1
16,0.8898870033055337,-0.9683109287873273,-5.0,0.0,3,3,155,0,190,0,1
15,0.8885592575688422,-0.3,-5.0,0.6290706350805422,1,1,256,0,222,0,1
19,0.8883103052432125,-0.3,-5.0,0.0,0,3,256,256,256,0,1
25,0.8859936655463811,-0.3,-5.0,0.0,4,0,8,0,0,0,1
21,0.885544168291772,-0.6783442463154676,-5.0,0.0,2,3,204,246,193,0,1
23,0.8852260625423564,-0.3,-5.0,0.032581482840704466,1,0,50,256,61,0,1
31,0.8834557348934344,-3.8343622695821837,-3.117480028651453,0.7,2,0,256,79,256,0,1
41,0.8802193546602493,-4.0,-1.7331386586623,0.7,1,0,250,0,127,60,1
17,0.8771766040136647,-0.3,-5.0,0.43089548700315616,0,3,256,0,256,0,1
12,0.8764159163520185,-0.3,-5.0,0.5135264025443375,3,0,256,0,256,122,1
50,0.8755722445818293,-2.4261916094395493,-3.767232759848408,0.0,3,0,256,75,156,0,1
20,0.875212646778142,-0.5044932777593631,-5.0,0.0,1,3,86,232,256,0,1
11,0.8742998215841666,-1.8580893986701539,-5.0,0.7,1,0,8,256,256,75,1
36,0.8732071974883475,-3.9643125598128366,-2.5685351479830993,0.0,3,3,53,115,256,0,1
46,0.872958245162718,-0.3,-3.9421930381425367,0.0,4,3,256,0,77,0,1
47,0.8723358643486441,-2.6215272854623866,-1.825587360756968,0.7,0,0,227,0,71,1,1
18,0.8686015794641992,-0.7225490526416523,-5.0,0.0,3,3,119,0,95,0,1
33,0.8646805803355324,-0.3,-3.9072700900805297,0.0,0,0,256,52,0,0,1
35,0.8630969669308328,-0.6432668743880132,-3.580629016748804,0.0833464794773287,2,0,8,162,256,256,1
14,0.8551443231954414,-4.0,-5.0,0.46608512720022577,0,0,8,0,256,256,1
13,0.8533048421227335,-4.0,-1.0,0.6060949522120392,4,0,8,256,0,256,1
48,0.8499024936724617,-1.77387745361913,-1.746746172069463,0.1234323353092766,3,3,167,51,0,0,0
4,0.8495014038145029,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
44,0.8480560972573752,-0.3,-2.335132127758647,0.7,1,3,49,256,0,184,1
37,0.8471225260362641,-0.3,-3.981116579675568,0.7,0,0,256,0,164,0,1
5,0.8434850559451199,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
6,0.8418253737742556,-0.5260886478472813,-1.000733122549288,0.332162973459898,4,1,97,60,18,17,1
2,0.8376623376623377,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
7,0.837136771641564,-0.3371940325466305,-4.5391475389476765,0.04692380548624583,4,3,176,155,235,163,0
32,0.832489661563144,-3.5184236376990636,-1.0,0.7,1,3,8,188,0,0,0
9,0.8293362654385018,-0.3,-1.946883058153603,0.0,4,3,256,256,256,256,0
29,0.8284649322987981,-2.892738232132225,-1.0,0.0,4,3,256,122,256,256,0
10,0.8209272091061228,-4.0,-5.0,0.7,0,3,8,256,256,203,1
39,0.8019930016735128,-0.3,-1.0,0.0,2,2,86,256,0,100,0
43,0.6333762084560807,-0.3,-1.0,0.0,4,2,229,15,169,159,0
45,0.5486425182910806,-4.0,-1.4370196588827882,0.0,3,1,12,256,137,90,0
8,0.5015974440894568,-1.6026119449904752,-5.0,0.519828382021969,2,2,62,59,96,13,0
27,0.5,-0.3,-1.0,0.0,4,0,185,0,256,0,1
28,0.5,-1.1940094455281334,-3.4599920100423605,0.7,0,0,246,124,256,256,0
22,0.37822082071283347,-4.0,-5.0,0.0,0,0,8,0,0,0,0
38,0.20099442623404287,-4.0,-4.460746591110603,0.0,3,0,8,0,0,0,1
