trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
36,0.6324255319148935,-2.4815788887643935,-2.686362264889638,0.058678245356038446,0,3,162,192,159,238,1
46,0.6273475177304964,-2.9738198691642665,-2.178033421724907,0.42712154033491295,3,2,137,151,137,241,1
39,0.625985815602837,-2.9574653269939737,-4.970518603383807,0.10749900345347149,0,3,25,200,153,256,0
30,0.6237163120567376,-2.263574829538384,-1.094123175051053,0.104043019123053,0,3,150,111,134,189,1
23,0.6166808510638297,-3.5771003878075995,-5.0,0.3676784685755274,4,0,42,160,236,134,0
24,0.6133900709219858,-2.2213752422323734,-1.0,0.3720724681622476,0,1,89,256,205,49,1
42,0.6129078014184397,-2.8645641253493133,-1.7973397425273934,0.5763999976549489,3,0,199,176,256,239,1
2,0.6096170212765958,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
49,0.609163120567376,-4.0,-3.0701328641188965,0.38280022257432683,1,3,63,0,49,121,0
27,0.6086808510638297,-3.6201819469850425,-2.9835448945259433,0.48775471036108475,4,0,137,174,191,122,0
38,0.6074042553191489,-2.9701671726852976,-1.0,0.5166219640395596,4,2,110,64,206,256,1
10,0.6068085106382979,-2.7084752354413713,-3.6330467937961917,0.3177099623239432,0,3,250,130,15,149,0
3,0.6055602836879432,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
8,0.6049078014184397,-2.0423082959303014,-2.8149241703277577,0.4838549216367761,0,0,56,94,222,216,1
43,0.6032340425531915,-2.014732607699922,-1.0893107554800219,0.3121771425133346,3,0,121,61,256,236,1
16,0.6017872340425532,-1.407706947782577,-4.594819361567544,0.6793862568793851,0,3,229,152,130,180,1
32,0.5990354609929078,-2.304953325944137,-5.0,0.12456128479488986,0,2,80,215,181,246,0
1,0.5986382978723405,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
9,0.5971347517730496,-0.803886569726076,-4.849981391354911,0.32837613960057727,4,3,221,215,198,154,0
41,0.5965957446808511,-2.5653063134159813,-1.5360040662142564,0.14838289687035755,2,1,146,151,104,220,1
12,0.5961418439716312,-3.0518978224357722,-4.67381804464271,0.26704461876184193,0,0,128,125,176,146,0
15,0.593531914893617,-2.432155384361952,-5.0,0.28722865090365485,3,0,135,5,170,256,1
50,0.5901843971631205,-2.271588972405866,-2.342521309526913,0.4101892691358954,4,2,150,125,214,255,1
29,0.5898581560283689,-3.5836225281877194,-1.289585821634525,0.6825057579240276,3,2,160,31,198,35,1
18,0.588709219858156,-3.2359150108354635,-2.0889072911161373,0.39675657830347677,1,0,81,182,147,228,1
47,0.5885106382978723,-3.8946096619691155,-4.191449230546304,0.5985854404009188,0,1,58,20,189,256,0
45,0.5868652482269503,-2.1561677157974986,-1.4562980801343697,0.2668994825008873,2,2,221,103,256,195,1
48,0.5866382978723405,-2.0484902524446422,-3.1260284321899228,0.31853658482573716,4,3,8,114,30,256,0
4,0.5837163120567376,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
14,0.5829503546099291,-0.7232035220195847,-2.226664778956582,0.6393571821133333,0,1,256,243,224,172,1
44,0.5791205673758866,-1.7101320462402145,-4.175751004813643,0.0037064883151167838,1,2,68,120,188,191,1
31,0.5753758865248226,-2.264505633000719,-1.2547539812224633,0.391945811032742,1,2,234,94,213,135,1
28,0.5752624113475178,-2.1436543566012114,-1.8190777072174114,0.4086968167701271,0,2,116,141,126,79,0
5,0.5739574468085105,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
6,0.5726524822695036,-3.3106127458717536,-3.5744702780849043,0.0011219382429547232,0,0,12,19,237,241,1
17,0.5720283687943263,-4.0,-1.0,0.3964493288931715,0,3,233,58,245,0,0
33,0.5710921985815602,-3.5242690517075816,-1.0,0.5463471374486515,4,1,244,141,58,188,0
7,0.5695886524822695,-2.8070740684305555,-4.373416811354416,0.6894291681221848,4,3,48,235,22,13,1
11,0.5683687943262412,-3.949712379076953,-2.050320112138588,0.379750122894929,2,3,248,127,9,188,1
26,0.5655602836879432,-3.8193870222938036,-1.5777014380692806,0.6979522410291317,3,1,108,172,119,152,1
34,0.5616170212765959,-2.2492737787776553,-5.0,0.07006524206098085,0,2,171,250,52,256,1
20,0.5614751773049644,-4.0,-4.332521821547646,0.6753562418561304,1,2,212,115,252,135,0
21,0.5614184397163121,-2.6214822947611514,-1.0,0.11505079963024817,1,1,168,208,12,212,0
19,0.5597446808510639,-4.0,-3.7652595362213024,0.6235814174871788,0,3,8,0,0,44,1
22,0.5470070921985815,-3.7580060091843306,-2.0659313135772885,0.5502248629520109,3,1,214,230,186,132,0
13,0.5,-0.3,-1.27053102267603,0.7,0,3,256,221,148,7,0
25,0.5,-0.3,-1.0,0.39973073854051067,0,1,85,134,199,61,1
35,0.5,-2.310198796021721,-1.0,0.22180614094479476,0,0,34,93,56,112,0
40,0.5,-0.510366659171642,-4.972958011599727,0.3999516473148244,4,0,12,163,184,208,0
37,0.4145248226950355,-3.20009533171383,-2.8546129490256322,0.520668339271407,4,1,102,151,224,47,0
