trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
26,0.8938108454761454,-3.461762012229582,-4.043798335379431,0.7,3,2,256,256,230,67,1
40,0.8937793057044934,-4.0,-1.0,0.7,4,2,256,121,0,154,1
37,0.8910248323135475,-2.908738644232886,-1.7146855181394636,0.39215550501072316,2,1,8,256,11,179,1
45,0.8894268172165102,-4.0,-5.0,0.7,0,2,256,0,256,256,1
36,0.8890273134422508,-3.26359629614785,-5.0,0.0,0,1,256,56,84,0,1
3,0.8889221808700772,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
47,0.8875449441746043,-3.4942764344772645,-1.0,0.7,0,0,256,0,256,256,1
8,0.8873977585735613,-2.9869035777945103,-4.572997178490732,0.7,4,0,90,99,212,194,1
33,0.8861624508505225,-2.6654000725154665,-4.82626426988867,0.7,0,1,256,71,144,0,1
42,0.8855789650749595,-3.2492505799279243,-1.0,0.7,4,1,256,256,0,0,1
32,0.8846117454109632,-2.649913290783367,-5.0,0.7,4,1,8,256,171,0,1
10,0.8844960995815723,-2.4999694549174283,-1.0,0.3959767728367334,2,1,81,42,47,0,1
31,0.8836129859753149,-0.4672346800738345,-4.67610663581505,0.7,2,1,8,256,187,71,1
25,0.8831293761433168,-4.0,-5.0,0.0,4,0,35,51,44,43,1
49,0.8825826867680144,-4.0,-1.9614968022041577,0.7,0,2,236,95,134,131,1
39,0.8786297020542905,-3.3032091457550945,-2.8184931676477945,0.006236547868749913,4,2,8,187,20,3,1
13,0.8783984103955087,-2.7933365244393435,-1.7615069499615914,0.37475900535811746,4,2,256,184,18,0,1
38,0.8783037910805526,-2.035917971210244,-4.566278817707121,0.0,4,0,8,256,46,256,1
20,0.877357597930991,-4.0,-2.235824599163341,0.17934558742454038,1,0,18,188,126,124,1
35,0.8767583422696019,-0.3,-4.31292480870859,0.30665933642730486,0,1,8,0,84,60,1
27,0.8745085052250888,-2.581090984838945,-5.0,0.5303372302022593,4,0,8,2,168,0,1
16,0.8742246472802202,-0.3,-4.79140443557497,0.39276117882155887,0,0,54,256,256,0,1
19,0.8730051094430076,-3.6839640183317437,-2.7409653404423544,0.05133232976714893,1,2,192,37,44,134,0
1,0.8723217477238797,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
43,0.872090456065098,-2.7908469358385464,-5.0,0.7,4,1,256,0,182,0,1
24,0.8713229882882314,-1.9871896292208437,-4.3950562717387065,0.7,0,3,48,256,0,0,1
28,0.8688418595849368,-2.425699372745783,-3.9486984817148905,0.15261293623869726,1,3,256,256,174,186,1
7,0.8669179335141612,-2.8055595880997597,-4.950823621005759,0.7,0,2,168,256,165,48,0
17,0.864962467671734,-1.7676790972004688,-5.0,0.47862213061317493,0,3,98,256,187,127,0
22,0.8625233919973087,-4.0,-3.3788129370666207,0.4785232756186588,1,1,228,256,217,0,1
41,0.8618610567926154,-2.65425768178674,-2.64711671338564,0.0,0,1,8,104,16,256,1
46,0.8584127084253245,-2.6340046134172663,-4.2646705874082,0.18935079371384406,0,0,8,137,142,0,1
12,0.8575085683046321,-1.3444965959954045,-1.0,0.24160732785764016,1,1,111,122,120,0,1
2,0.8544281839399482,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
30,0.8537080258205597,-0.3,-5.0,0.15531201712448575,0,0,256,256,256,6,1
34,0.8534399377615173,-3.722350682224353,-4.129711722973036,0.0,4,0,52,256,256,256,1
23,0.8479835572657121,-2.3796255228418843,-1.0,0.0,4,0,256,0,0,0,0
5,0.8379854496520112,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
9,0.8340640047099392,-3.4159823824242044,-5.0,0.7,4,3,111,0,110,179,0
15,0.8332124308753338,-4.0,-1.0,0.2104419788225858,0,0,165,196,0,111,0
18,0.8320349460669905,-1.6023576912496802,-1.464773204001116,0.3663748354279245,2,0,231,178,72,91,0
44,0.8263998401984903,-4.0,-1.0,0.7,4,2,256,256,0,0,0
6,0.8242393658403246,-0.3,-5.0,0.7,4,0,8,49,256,256,1
29,0.8207542210727727,-4.0,-1.0,0.49926060731580685,0,1,8,0,256,0,1
48,0.8123436152988919,-3.0739703033206522,-1.0,0.4576308595758306,2,2,256,256,187,256,1
50,0.7913381273786244,-2.361317958426402,-3.076445049375147,0.3915647484332063,4,0,8,0,126,242,1
14,0.6519428499337664,-1.0079393193061423,-2.9650324739979927,0.6789838071188767,0,2,248,209,197,0,1
4,0.5,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
11,0.5,-0.3,-1.0,0.7,1,3,169,219,152,69,0
21,0.5,-0.6921964962827798,-3.540382005666531,0.17063450150957124,0,2,64,84,244,99,0
