trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
18,0.6902930402930403,-2.5439921554847023,-5.0,0.23239608720132826,0,1,244,187,244,179,1
7,0.6886985563456152,-3.2489906516887994,-1.5472865654007406,0.41468650454235306,0,0,246,99,80,225,1
19,0.688375350140056,-2.9213997395438653,-5.0,0.5410069371839699,2,2,256,52,92,183,1
26,0.6878797672915319,-3.6764643306644667,-5.0,0.39326100543431286,2,0,201,142,136,160,1
31,0.6869532428355958,-2.689581563487348,-5.0,0.5164551635839467,0,2,214,157,175,140,1
36,0.686888601594484,-4.0,-5.0,0.424305492646834,0,2,167,213,204,256,1
45,0.6863068304244775,-2.6613574200192716,-1.924526183458609,0.24986414422751513,1,1,121,146,245,177,1
3,0.6832471450118509,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
46,0.6801443654384831,-2.169391552252252,-5.0,0.5339323944487716,1,3,158,44,113,168,1
16,0.6796056884292179,-2.739541784974021,-1.0,0.29132998498312696,2,1,256,234,160,161,1
40,0.6766537384184443,-2.5155258035851844,-5.0,0.46171722160945416,1,2,138,29,125,84,1
8,0.6750377073906485,-4.0,-1.0,0.16278644485779925,0,0,179,256,0,256,1
27,0.6717410040939453,-3.0433851340993674,-5.0,0.39940959099387724,2,0,250,115,9,92,1
42,0.6698017668605905,-2.9692886199595074,-5.0,0.46542705417069263,0,1,221,0,256,38,1
24,0.6680564533505711,-3.0364542171267854,-1.7849565909170741,0.611106989926062,1,0,240,224,0,256,1
12,0.6672807584572289,-3.5950212207765446,-3.049070830062932,0.43112526017233654,0,0,251,240,155,244,1
33,0.6671083818142642,-2.8360206378338875,-5.0,0.6092067871896789,2,0,141,163,107,32,1
1,0.666397328162034,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
47,0.6657724628312864,-2.640788397386694,-3.903678945081708,0.24425184645420747,2,3,183,32,256,237,1
37,0.663811678517561,-3.0030162280407926,-1.205522525620458,0.04290416369165128,1,1,256,197,76,256,1
35,0.6597823744882568,-3.4516713259264846,-4.332170127203941,0.2722165397968437,0,2,256,43,93,256,1
21,0.6591575091575091,-3.103304211433488,-3.9683265082153567,0.19598662334808836,0,3,172,141,192,256,1
9,0.6578862314156431,-3.3708407958470175,-3.9331303423510127,0.6900909505911025,4,0,219,216,254,235,1
44,0.6567657832363715,-3.3019407812479895,-5.0,0.5653283798266963,3,2,37,99,194,227,1
32,0.6498060762766645,-3.710073228918792,-4.790208540008186,0.2720854741597449,4,0,41,208,177,189,1
2,0.6466602025425554,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
23,0.6406270200387848,-2.696015027832592,-5.0,0.0,1,0,228,133,192,0,1
48,0.6401960784313725,-2.95941932310954,-2.950017940030609,0.22381020920039754,2,0,253,131,144,109,1
38,0.6373303167420814,-4.0,-5.0,0.0,4,1,168,8,204,0,1
41,0.634701572936867,-2.8790794718839074,-3.8989040892938096,0.28920580267272555,0,1,256,92,58,217,1
49,0.6306076276664512,-4.0,-5.0,0.4104069047743409,0,1,13,174,88,151,1
50,0.6252208575737987,-3.651957794297569,-5.0,0.4266154157973166,2,1,256,106,161,247,1
15,0.6222473604826546,-3.402135060817317,-3.320684061263504,0.5513423563159614,0,0,131,0,25,94,1
43,0.6175070028011205,-3.634015286371489,-1.3471401154871678,0.5278585661311964,2,1,256,256,36,256,1
29,0.6131544925662573,-2.877586327486471,-1.5705671583406606,0.0,4,0,108,256,226,77,1
14,0.6112798965740143,-1.9740156973778298,-1.0,0.7,0,3,8,8,0,173,1
39,0.6086511527687999,-2.6634154661498712,-4.542265599158707,0.7,2,1,256,226,89,256,1
4,0.6036953242835595,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
20,0.5951195862960569,-2.2353663985383703,-3.0288686223688366,0.6534668689469666,0,1,256,82,186,132,1
25,0.5914996767937944,-2.6889359509149875,-1.3166483087817422,0.6582669211580493,1,1,220,25,196,256,1
6,0.5804460245636717,-4.0,-5.0,0.7,4,3,8,0,0,157,0
5,0.5798750269338505,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
11,0.579433311786253,-1.1913993613271425,-2.302283261511396,0.08898785840029844,2,0,22,145,14,45,0
10,0.5780327515621633,-0.5556022746891065,-1.0663068903170072,0.6918644824595532,0,1,149,71,199,100,1
17,0.5764167205343675,-4.0,-1.0,0.15501825403391828,1,2,256,159,43,248,0
34,0.57579185520362,-3.2857964393335917,-1.0,0.3717357451784063,1,1,141,202,139,149,1
30,0.5722581340228399,-2.9662825479037926,-2.1560109490762347,0.6746579048978372,4,0,175,0,31,75,1
22,0.56872441284206,-1.9193156493207342,-5.0,0.0,1,3,8,163,194,198,1
13,0.5,-0.3,-5.0,0.7,3,0,227,175,162,148,1
28,0.5,-0.3,-4.6023445358951545,0.7,3,0,39,198,126,0,1
