trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
41,0.8751434933543559,-4.0,-2.2582986437204946,0.1123666627059455,4,2,225,114,224,231,1
18,0.8734008270749484,-3.7899716564245685,-2.9618227948448337,0.13707661888449943,4,0,237,114,251,166,1
37,0.8725433246200018,-3.303174329828918,-3.967428401406236,0.23068938246698442,4,0,218,132,58,237,1
50,0.87240501777243,-3.73136665209608,-3.9459346811328646,0.17905590146313355,3,0,220,239,45,79,1
49,0.8694590819191459,-3.4094463979332104,-5.0,0.15134534582936424,4,3,228,147,0,237,1
11,0.8692654523325449,-3.3448342789933037,-3.0217670259537304,0.2993371405429967,4,2,247,83,10,32,1
29,0.8690026693221582,-4.0,-1.0,0.08204462592737613,1,2,228,158,111,237,1
14,0.8681451668672117,-4.0,-2.029678852267118,0.1036355811152414,2,0,250,230,13,224,1
36,0.865379029915771,-3.9088501391833255,-2.660323981993494,0.0,4,1,224,236,200,5,1
32,0.8644385433522812,-3.1460153373408266,-4.492874526690351,0.10524300714655536,4,1,242,112,211,0,1
21,0.8635533795278204,-4.0,-5.0,0.0,2,2,215,193,29,181,1
16,0.8631937817241332,-3.3271081471511814,-4.612079215083157,0.0,4,2,227,218,48,247,1
44,0.862502247486273,-3.2207755516120673,-4.6089348323452555,0.3337894906590967,4,0,224,75,35,143,1
25,0.8588924387646433,-3.627199830064134,-4.271290240805128,0.11276521556244512,4,1,241,255,223,164,1
26,0.8541208525234084,-1.9405998218021163,-1.6341925817225866,0.21935493461114774,2,1,256,0,56,145,1
15,0.8531388739056471,-2.948462844293905,-4.777837788539363,0.41480582631411056,4,3,253,140,226,179,1
31,0.8524611703525442,-3.577119477530854,-1.0,0.08848404986745104,4,1,244,192,6,220,1
42,0.8514930224195401,-2.9020646362048694,-4.317093651862273,0.39841398244522525,4,3,190,130,89,45,1
34,0.850192938052363,-2.3367598970348835,-1.0,0.5272819184818329,4,3,256,40,167,239,1
38,0.8495705572382889,-2.8585054712205435,-5.0,0.3419450655547936,0,0,18,237,85,54,1
20,0.8394050039417452,-4.0,-4.079453548089365,0.0,3,1,251,56,6,26,1
27,0.8391837129856299,-2.811999448599731,-1.98042146164074,0.21845519772846436,0,0,231,0,97,256,1
22,0.8387273003886422,-3.0624299107349886,-2.8444889255275108,0.18793397936639053,1,1,82,203,232,75,1
7,0.8379873587541319,-3.093181125397143,-1.0842859610110671,0.6922867935755735,2,0,242,23,128,242,1
39,0.8349515234499261,-3.0367627872272727,-5.0,0.7,0,2,62,213,124,170,1
3,0.8343429733206091,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
46,0.8312863919892673,-3.2494932639314804,-2.8398835000830225,0.22495695700268442,4,1,239,159,236,46,1
47,0.8301937678934483,-3.3289261211515666,-3.314367051959721,0.27315170186905924,2,1,201,76,103,167,1
45,0.8274414616267651,-2.625434528920826,-4.969463405689406,0.5229121581868101,0,1,215,92,204,196,1
23,0.825518996445514,-0.7329379037387156,-4.058636920552124,0.2777349721141806,0,3,81,244,160,155,1
1,0.8244540337192094,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
33,0.8194749872066167,-4.0,-2.4970077285939167,0.2688295088968405,4,2,220,183,0,11,0
19,0.8184100244803121,-1.6762826289915531,-4.104051889868131,0.0,3,1,245,207,41,21,1
30,0.8168748184722625,-3.9987281432855797,-4.224881975169983,0.2182414569088291,0,1,244,67,16,98,1
35,0.81594816259353,-3.073829807923912,-2.78342924755162,0.2824318731313114,3,2,256,246,20,224,0
2,0.8104573807449208,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
28,0.8087423758350276,-1.9937626158773245,-3.4374680015976513,0.019206537793774632,0,2,242,0,246,208,1
5,0.8030164723455457,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
4,0.8003333195026485,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
6,0.797829965561595,-3.635326236454945,-3.5795554758017154,0.0,0,3,189,81,256,183,0
8,0.7931551941136606,-1.2420770403335815,-1.8229717169183295,0.44721740235009044,3,0,76,1,245,123,1
10,0.7872909837766067,-1.04200162965923,-1.0493417565664624,0.7,1,1,242,47,0,168,1
48,0.7738752195621206,-4.0,-1.8506510102321627,0.0,4,1,250,150,89,256,0
40,0.7664896339017746,-2.7311221474129344,-2.8943897994575294,0.0,0,1,8,141,115,33,0
13,0.7614967567044244,-4.0,-4.647004221063236,0.5526076446432905,4,1,254,104,198,246,0
24,0.7524929809274856,-4.0,-1.0,0.7,4,1,235,195,57,130,1
9,0.743316321591082,-1.013293971968388,-4.797014364294313,0.7,3,3,138,171,225,124,0
43,0.7429774698145306,-2.908166811430121,-1.6557390534329977,0.09296678992465172,4,2,200,192,19,252,1
12,0.7291052930030566,-4.0,-1.3082767992017712,0.08417152714962196,4,1,122,65,26,59,1
17,0.7275285949407356,-4.0,-4.046158246688313,0.6284380468531364,0,1,238,127,39,59,1
