trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
42,0.9230460700109262,-3.1554626393556786,-4.502272118050158,0.14516445709625805,2,2,199,101,118,111,1
48,0.9155498388725226,-4.0,-5.0,0.11326233291323641,1,0,155,146,256,0,1
43,0.914885966004177,-2.5407837376805666,-5.0,0.04916370457242743,4,3,256,0,237,0,1
45,0.9131986224637982,-2.7613500749195783,-5.0,0.05690612611489079,2,3,256,256,33,256,1
46,0.9124102734326376,-2.795403594894868,-5.0,0.12833540890437747,4,0,256,0,0,0,1
31,0.9113038186520614,-4.0,-5.0,0.0,0,0,256,222,74,5,1
20,0.9095196603183824,-3.2039747055221537,-5.0,0.0,2,1,150,256,175,58,1
6,0.9077355019847033,-0.41242265328027417,-5.0,0.5003960701389745,2,3,55,0,256,42,1
38,0.9075003803438307,-0.3,-5.0,0.0,4,3,256,0,0,256,1
13,0.9056055765320941,-4.0,-5.0,0.0,0,0,256,256,256,256,1
3,0.9055225924235509,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
28,0.903821418198415,-4.0,-5.0,0.0,0,2,173,256,232,256,1
9,0.9037937568289005,-4.0,-1.0,0.0,0,0,256,256,256,256,1
22,0.8998658423578552,-0.3,-5.0,0.0,0,3,125,0,256,0,1
17,0.8997275355102832,-0.3,-5.0,0.2565199499287201,0,3,48,15,256,0,1
14,0.8926738862841098,-0.3,-5.0,0.7,4,3,8,0,256,0,1
37,0.8828817614760106,-0.3012487926204752,-5.0,0.4664865347535762,2,0,8,0,256,0,1
11,0.8826604705198955,-4.0,-5.0,0.2313120621493868,4,0,213,256,256,256,1
47,0.8821210738143646,-4.0,-5.0,0.20644261370813494,3,2,33,199,0,28,1
4,0.8820242590210641,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
23,0.8745418585674176,-4.0,-5.0,0.6353126091912945,0,0,241,58,224,48,1
1,0.8733800810478127,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
34,0.8727577002337386,-0.3,-5.0,0.7,4,0,243,0,256,0,1
25,0.871900197778792,-1.949601487745099,-4.165804270435627,0.3843086465790073,2,1,94,59,143,33,1
26,0.8708490657372447,-0.3,-4.466889137510636,0.17819182481151136,2,2,181,87,184,228,1
32,0.8703373304012282,-4.0,-5.0,0.7,0,0,92,211,256,0,1
15,0.8702266849231707,-0.8667122575274697,-5.0,0.40240657033664834,1,0,256,36,256,247,1
41,0.8694383358920099,-0.3,-5.0,0.585891377285895,0,0,120,0,256,0,1
35,0.8685946641218206,-4.0,-2.812288670726967,0.0,0,0,110,0,256,0,0
36,0.8629863214527752,-0.3,-5.0,0.0,4,3,256,0,256,256,0
40,0.8619697661231208,-0.3,-4.669970007559913,0.59896270854038,4,2,8,0,256,256,1
44,0.8617346444822483,-4.0,-4.020962994391038,0.13673027890492923,1,3,256,256,256,256,0
27,0.8615410148956474,-4.0,-4.516494719337415,0.30912066357509016,1,3,256,61,256,256,1
50,0.8615271842108904,-0.3,-5.0,0.0,0,3,256,0,0,256,0
24,0.860683512440701,-0.3496637505691287,-5.0,0.3962410823444689,1,0,8,169,256,0,1
5,0.8583599574014911,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
12,0.8576545924788738,-4.0,-1.0,0.5904052937219375,0,3,216,35,256,256,1
16,0.8561332171555814,-2.1592480773296,-1.0,0.0,0,0,256,0,0,11,0
18,0.8556768045585936,-4.0,-1.7750846426835918,0.29630995810291866,0,0,155,0,0,0,0
2,0.8550267623750053,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
10,0.8527446993900669,-0.3,-1.0,0.0,0,0,256,256,0,256,0
21,0.8506286046222149,-1.4568840301894976,-5.0,0.0,4,0,8,256,256,0,1
39,0.849618964634939,-4.0,-1.0,0.2405429857382028,2,0,8,0,256,0,0
33,0.8434089871789553,-4.0,-3.4155797176674607,0.0,0,3,222,0,0,0,0
8,0.840794987759844,-4.0,-5.0,0.0,4,3,8,0,256,0,0
30,0.8113079678574885,-4.0,-5.0,0.0,0,3,8,256,0,0,1
19,0.7469261303127118,-4.0,-4.415031200720522,0.0,4,3,8,0,0,0,0
29,0.7106344135098128,-4.0,-1.1339093309603485,0.7,1,3,8,0,0,0,0
7,0.5,-0.522479136146909,-2.7491577448996765,0.6798434352242331,4,0,228,190,256,77,0
49,0.5,-0.3,-1.5214766265031074,0.2598415370420173,4,0,256,162,256,27,0
