trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
9,0.8993197922580374,-2.0024520034072752,-5.0,0.7,2,3,8,122,256,13,1
31,0.8922548834079774,-0.9306767179408908,-4.078482981360915,0.7,0,3,41,210,74,176,1
39,0.8906884080825921,-3.234173010960465,-1.7681012354470949,0.3577870377118993,2,0,230,206,0,125,1
3,0.8891850123005111,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
43,0.8878918816627767,-2.2052474415968786,-5.0,0.7,2,0,170,0,27,4,0
35,0.8867038835972162,-1.7942682655638715,-2.9962679806839847,0.7,0,3,213,154,198,212,1
46,0.8851899745579176,-2.073165191179859,-5.0,0.5432324427176914,1,2,171,43,72,204,1
37,0.8850743287285266,-4.0,-3.3736485932128755,0.0,0,0,256,118,195,254,1
47,0.8844645598099203,-3.637171045274833,-5.0,0.5390130200178447,1,2,112,107,190,164,1
26,0.8842332681511386,-3.696531750870262,-4.263559278430822,0.24628899111057273,4,0,128,0,131,35,0
13,0.883886330662966,-4.0,-5.0,0.7,0,0,256,256,25,256,1
44,0.8813946887024537,-1.9544428142793797,-5.0,0.34425816517764024,3,2,82,38,206,74,1
42,0.8754336718602157,-2.103614466075303,-1.0270365814329225,0.5094692596728231,3,1,172,256,22,0,1
25,0.874214134023003,-1.8225684490598262,-1.3823668091255978,0.42862514895415543,2,1,193,256,47,41,1
50,0.872626632183183,-2.456702732038365,-5.0,0.3887003117166157,2,2,236,200,71,5,1
12,0.8705765470257996,-0.3,-4.8336994374402975,0.32838681565505656,3,1,156,5,256,69,1
18,0.8675171891755503,-0.4942422215525957,-5.0,0.3661167615705914,2,1,160,149,127,205,1
1,0.8671702516873777,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
40,0.8670125528291176,-0.3,-3.729737727848528,0.38971360777031544,4,3,134,84,256,185,1
21,0.8653094051599066,-0.8897016826162139,-4.086568982193105,0.29872724228209974,1,1,104,235,45,256,0
19,0.8644578313253012,-0.747407488758999,-4.463873403424056,0.16735870259443683,2,1,214,104,102,0,0
27,0.858644000084106,-2.488255401774285,-4.490368058788913,0.5503126759363595,0,2,142,219,210,15,0
33,0.8521047540949136,-2.3775033839207804,-4.876754374391374,0.7,1,2,73,256,156,14,0
7,0.8475104606909312,-1.0303095481373359,-5.0,0.15573998432577085,1,1,31,168,49,22,0
24,0.8463329758825879,-2.8141492525224283,-2.5863296029188976,0.6538798721970903,4,1,41,256,132,163,1
36,0.8402668264681763,-0.3,-3.9289232004602073,0.023109466738599937,3,2,8,200,124,147,1
2,0.8385741920561829,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
22,0.8361561428961921,-4.0,-4.584114904922878,0.5614980090746502,2,3,56,203,0,0,1
20,0.8361035766101054,-2.2868127300113255,-2.9733341126185002,0.6389952677515867,3,2,164,141,153,256,0
17,0.8343794024264597,-4.0,-5.0,0.7,0,0,8,245,256,256,1
15,0.83136209760508,-3.80693252540792,-3.596727655456137,0.007528089316041876,2,1,12,3,59,6,0
14,0.8309625938308205,-0.4270570026822016,-1.0,0.7,4,1,218,117,142,232,1
49,0.8288599423873504,-2.8569548012764563,-2.4418467862855886,0.023246983740294054,3,0,204,10,223,20,0
30,0.8271252549464876,-3.3136243040004136,-3.8205755559323933,0.7,4,1,247,0,103,220,0
45,0.826210601568578,-2.8600593782039434,-1.0,0.009235345444295346,1,1,237,93,0,186,0
6,0.8256954519649278,-3.545008008440381,-2.2981775279069976,0.531588012820817,3,0,10,241,8,167,0
29,0.825690195336319,-2.9074281058721,-4.162387615271505,0.27931659427231137,1,1,224,256,152,188,0
11,0.8254746735633635,-2.283647445809517,-1.7567821173907507,0.6545972041312257,1,2,181,233,247,6,0
41,0.8254115940200593,-4.0,-2.159250377085494,0.0,2,0,127,8,256,83,0
48,0.8253695409911899,-2.8211344863281984,-5.0,0.44557594563429065,3,1,118,196,256,30,0
32,0.8251067095607563,-1.314582837639866,-1.072978357534669,0.0,2,2,73,0,117,7,0
5,0.8245495069282365,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
23,0.8243812948127589,-0.39367466153772757,-3.849250424664226,0.4768581268005786,1,2,202,233,235,256,1
10,0.8225204482852878,-2.247927815450151,-1.8105003922539975,0.18731309551592892,4,3,34,130,256,115,1
8,0.821900166109464,-3.2976425814421066,-5.0,0.7,4,3,139,56,24,192,0
34,0.8210485922748585,-4.0,-4.497754967342564,0.7,0,1,123,207,72,227,1
4,0.7942713261422654,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
16,0.5,-1.480722732454498,-1.0112931763951956,0.6661394551339922,2,2,206,58,225,239,0
28,0.5,-1.2127513850586098,-3.9720840416539955,0.6823420782094892,4,2,174,64,245,18,0
38,0.5,-0.3,-4.88929255630156,0.7,2,0,16,256,14,186,1
