trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
12,0.6859574468085107,-1.0387432150731013,-2.3687719402531915,0.1613827186402013,0,3,232,116,256,256,1
25,0.6575319148936171,-2.6089535904813133,-4.0776398403745135,0.36797235430950714,0,2,234,205,256,256,1
3,0.6471489361702127,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
49,0.6444255319148937,-2.6495052456585224,-3.4747607687403694,0.0,0,0,42,21,256,256,1
28,0.6403120567375886,-1.5770991451161942,-3.4453221205786155,0.1328716387249489,0,2,234,184,53,256,1
35,0.640113475177305,-3.7138345711131353,-2.588306569392797,0.06953790168624244,0,1,70,124,101,256,1
45,0.6397446808510638,-3.879303548961056,-4.866596103304038,0.23915600195395548,1,2,235,42,245,106,1
38,0.6369929078014185,-2.571992501492489,-2.626155131188453,0.08235915487248385,0,0,256,116,111,256,1
47,0.6335886524822695,-1.3593765337121257,-2.170219903588072,0.1351247551992476,0,1,256,171,182,256,1
19,0.6333617021276596,-3.918404831249285,-4.948060285086898,0.0,4,3,227,139,230,188,1
10,0.6308936170212766,-2.9398455694122605,-5.0,0.003874973322276403,3,2,132,121,256,87,1
42,0.6275460992907801,-1.82069953522781,-4.989269393567768,0.6789617240634528,2,0,239,195,53,202,1
29,0.6236312056737588,-2.7844864641917697,-1.7094272875040666,0.11638526313701697,4,1,236,251,152,256,1
31,0.6229219858156029,-2.3183327990888634,-2.5867280607400587,0.5690448671835159,0,0,162,126,240,256,1
43,0.6221276595744681,-3.478252477555483,-4.173646482416416,0.19217788350745021,4,2,242,241,96,200,1
48,0.6220425531914894,-2.287274198371019,-3.792922201588857,0.3052074469759292,4,1,256,236,122,181,1
16,0.6169361702127659,-3.4460897184349975,-3.8495670891615967,0.011441293757570567,3,2,256,92,256,252,1
34,0.6149787234042553,-1.00577263814111,-3.0238681683978017,0.2638934964381865,2,1,256,125,178,256,1
7,0.6139574468085106,-3.3414019329007343,-3.756761260765336,0.03304907175998785,4,0,198,0,256,2,1
4,0.6122553191489362,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
39,0.6117163120567376,-3.4369889041257244,-4.970717900404547,0.0,0,2,256,130,230,205,1
15,0.6011914893617022,-3.5689326142216773,-4.703160111573014,0.10227022920782552,1,1,256,185,256,37,1
23,0.599290780141844,-0.814188397926265,-2.6907087056914945,0.1754471397662871,1,1,39,192,256,194,1
20,0.5947801418439717,-0.807282984685008,-2.2314165967780037,0.0673548003208942,0,3,154,246,256,186,1
32,0.5898723404255319,-3.40265547674434,-2.238072831837267,0.5310973578163619,1,3,256,145,256,256,1
44,0.5866950354609929,-3.4342209411164824,-4.9973740906629285,0.21845442816784685,2,1,115,152,53,237,1
26,0.5786666666666667,-3.021035509513443,-2.006512197283274,0.42749612872521914,0,3,117,11,256,256,1
37,0.5786666666666667,-4.0,-5.0,0.3513773612109921,0,2,16,256,42,256,1
40,0.5781560283687944,-3.9619153048902995,-4.97053592228446,0.004962664708731674,2,2,22,14,83,98,1
8,0.57622695035461,-0.6266779905635458,-1.4034788813558223,0.526891472988225,0,0,34,41,256,233,0
33,0.5743262411347517,-0.8727203197720903,-1.7069153689679215,0.025350388697915085,0,3,43,134,239,256,1
41,0.5712624113475178,-0.8623086753884341,-2.4956666027037286,0.10312742162587575,0,1,12,129,256,205,1
9,0.5686524822695035,-2.1181768235572314,-2.0723255940639898,0.14661188084378293,3,2,203,67,12,96,1
6,0.5684255319148936,-1.1243442848018463,-3.068660394393226,0.6092288482419441,1,3,162,49,19,225,1
13,0.5678297872340425,-0.3,-2.601498372146704,0.47124292415914826,4,2,67,123,247,256,1
17,0.5677446808510639,-0.41584900669024183,-3.388657103797007,0.6790188356865444,3,1,256,55,256,92,1
1,0.5592340425531914,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
30,0.558950354609929,-0.5968941855591252,-2.8405782077604353,0.2324758678158925,4,3,65,94,225,256,1
11,0.5567659574468085,-2.3339373689553593,-3.552948395852959,0.502179318898808,1,2,150,114,256,223,0
24,0.5564255319148936,-1.6649223100180834,-2.4096831920338633,0.2176180824098407,3,2,227,28,90,158,0
5,0.556354609929078,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
36,0.5562836879432624,-3.7069717810251097,-2.6041300860213323,0.110463537577678,0,2,256,120,47,256,0
22,0.5561134751773049,-1.4485139191377665,-2.485327667137989,0.6219239329405621,3,2,256,128,256,7,1
18,0.5559148936170213,-1.453801967942729,-2.0291678980910732,0.47325048663651276,0,2,72,39,228,152,1
27,0.5551773049645391,-0.778209696309347,-3.4000980999077646,0.5875473356688815,1,2,222,25,254,256,1
2,0.5536170212765957,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
50,0.5365106382978724,-0.3,-5.0,0.01297260567696539,2,0,101,231,17,0,0
14,0.5166524822695036,-1.1434954033327331,-1.4344269284033326,0.2227232851912189,0,2,35,68,156,187,0
21,0.5,-0.7614475188352556,-1.123611103803177,0.040149971703200546,0,3,229,88,256,98,1
46,0.5,-0.509038189918205,-3.770138891686071,0.06313157912658769,3,2,242,251,99,247,1
