trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
46,0.9385710380790178,-0.7384432875220956,-2.484126240033637,0.2888640267244934,1,0,256,43,191,147,1
48,0.9380926848756282,-0.39608817021607123,-2.2079006948882847,0.27882843161746274,2,1,100,18,135,154,1
38,0.9379402426459766,-1.2841008358965653,-1.4067395430672116,0.34525992539557365,1,1,166,199,147,230,1
26,0.9372884206985008,-3.1780207136430865,-1.3636915607054236,0.47922902841440945,4,0,106,0,254,151,1
31,0.936541979436069,-0.3,-2.7542696065275982,0.06762593863474974,3,3,8,256,0,0,1
25,0.9363001745200699,-0.5276920277145734,-1.0484428846807825,0.13442816079216902,4,0,199,256,0,41,0
21,0.9362423516053745,-0.3,-2.0581653282668273,0.014542913663720135,3,3,8,256,0,61,1
1,0.9360268298324188,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
7,0.9357166887445069,-0.3,-1.0,0.07950808030904004,0,0,8,256,0,108,0
47,0.9354433440568557,-2.55434174970892,-4.057857068395345,0.5144699096406737,1,2,23,128,126,184,1
41,0.9354275741710296,-1.6421014943039252,-4.786940921479143,0.1541461206804367,2,3,8,256,214,218,0
5,0.9350280703967703,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
43,0.9349176811959881,-0.48871077905089244,-3.625871945729333,0.4565256380008453,4,2,102,8,30,50,1
30,0.9345234340503376,-3.274632463055669,-4.5268479473379895,0.012929191897157492,0,2,133,256,178,27,0
16,0.9345234340503374,-0.3,-1.0,0.0,0,0,8,256,0,143,1
8,0.9341659833049476,-0.3,-1.0,0.0,4,3,8,256,0,129,0
39,0.9338400723312097,-3.085198952280275,-3.8310622052451144,0.0037776099117957707,2,2,97,23,0,125,0
20,0.9338295590739923,-0.3,-5.0,0.7,0,1,256,256,256,44,1
49,0.9337875060451228,-1.1805547711831998,-3.8882160189399673,0.4816081192042286,0,1,46,256,90,98,1
29,0.9335457011291238,-0.8871812551817366,-1.5051308393743215,0.5487574803795103,0,1,29,0,184,182,0
23,0.9333722323850376,-0.76384916497787,-2.638947588828564,0.03043855924830595,4,1,154,256,136,2,0
44,0.9332828696986901,-1.5022716651781352,-2.3069672927382254,0.0,4,3,80,213,80,0,1
9,0.9329779852393869,-1.0736622420682145,-2.3804850118684873,0.0038539043064145426,1,1,72,189,52,73,0
13,0.9327466935806052,-4.0,-4.573791517115637,0.6777422771427074,0,1,256,0,244,133,0
19,0.93205281860426,-1.2578274242627705,-5.0,0.7,0,3,8,256,0,0,1
28,0.9314640762000883,-1.6587852536732974,-4.208543461723882,0.51526768680705,4,2,30,0,25,27,1
35,0.9312643243129586,-0.7295319829700002,-2.5368285778362907,0.24074794846957062,1,2,171,256,143,35,1
3,0.931064572425829,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
18,0.9310330326541769,-1.621843688336638,-1.0,0.0267863781094677,0,3,42,256,249,153,0
2,0.9310225193969596,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
12,0.9306335288799176,-4.0,-1.0,0.0,0,3,8,256,0,36,0
34,0.9302445383628755,-0.7052405907230463,-2.3438633859178606,0.34961672568137,1,0,235,256,0,210,0
14,0.9295822031581825,-4.0,-1.0,0.7,0,3,191,256,0,49,1
45,0.9291459029836624,-3.9807217869922398,-1.7655457310774945,0.45235732700322384,0,1,248,65,162,212,0
4,0.9282049664627094,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
27,0.927111587712105,-3.0373525601603246,-3.6771682937017425,0.042573544103786005,0,2,235,256,126,8,1
15,0.9228484619104691,-0.3,-5.0,0.0,4,3,131,0,0,90,1
10,0.9192949809710045,-4.0,-1.0,0.0,1,0,217,256,256,22,0
24,0.9147900502533696,-3.499498909672883,-1.6055171835304822,0.3764908010575102,0,1,175,256,85,46,0
42,0.9133129376143314,-2.1977037468867158,-1.2094342408386884,0.023554476450084745,1,2,92,33,61,19,0
36,0.9023949199941126,-0.3,-5.0,8.594559252120922e-07,4,3,256,0,0,256,1
22,0.8983893689943019,-2.76523580441618,-1.061987405238344,0.2832929861678888,0,2,81,64,144,235,0
11,0.8854790891313947,-0.3,-5.0,0.7,0,0,8,0,0,0,0
40,0.8672280746020732,-0.9734448019461439,-1.9455068858462332,0.035637968257956044,3,2,52,17,133,163,0
17,0.8320349460669905,-4.0,-1.0,0.0,4,3,8,0,0,26,1
6,0.5,-2.0402517889761995,-1.566762237971807,0.01780263895335812,3,2,197,128,53,220,0
33,0.5,-0.8187995014673537,-3.4885068804260886,0.5766338333546381,4,0,126,256,95,108,0
32,0.5,-0.6574668924186091,-2.160275112259408,0.5262331591473732,0,2,108,0,215,84,0
37,0.5,-1.586196158375274,-3.369983980924445,0.04993223262856464,2,2,194,99,84,45,0
50,0.5,-1.1116667517189471,-2.2459061995232448,0.5714715276592991,0,2,8,256,34,169,0
