trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
37,0.9359584936605059,-2.588309674179705,-2.278797395545734,0.38211325525999285,1,2,84,88,0,105,0
39,0.9281576568052314,-2.2903548508619958,-1.32498094963973,0.4615046323920479,3,1,202,135,56,166,0
43,0.9277213566307113,-3.433082603213579,-2.4670453801031265,0.6319008786176498,4,1,94,58,3,249,0
15,0.9273744191425388,-2.0417313538098734,-3.360140188507719,0.15584427983440796,2,1,71,162,11,120,0
22,0.9269433755966273,-3.663202200269602,-5.0,0.5970652104733762,3,0,8,102,58,0,0
38,0.9245253264366365,-1.9967495570285143,-2.4488282622057036,0.16684766063329953,1,1,128,46,164,64,1
34,0.9244517336361151,-2.808465245219062,-3.1118020192091604,0.28872324437328034,2,2,70,47,0,38,0
10,0.9239155575180301,-2.3480274941128423,-1.1951984967739722,0.23748611220476934,1,1,98,159,0,144,0
5,0.9234897706007275,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
25,0.9229167980823819,-2.688479126920054,-3.254849715363365,0.6527891711953243,0,0,37,160,256,225,0
20,0.9228747450535126,-1.9763844915077984,-1.827732266012474,0.03745020895001427,2,2,169,10,0,238,0
45,0.9227801257385564,-2.4562738584514934,-1.9245905541241042,0.020990647280196662,2,2,101,7,0,84,0
17,0.9215763577871695,-2.63501818981793,-1.779001437598521,0.16688358861701558,4,0,95,131,45,141,0
3,0.9214869951008221,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
4,0.9196156353161336,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
32,0.9195262726297861,-3.9530326789983645,-3.9631989215632104,0.7,4,0,23,86,197,125,0
42,0.9177022225025757,-3.7299785768793496,-4.673287558700965,0.5919940957993511,1,1,22,200,256,244,0
19,0.9137912908177211,-1.5909977107244448,-1.0,0.10204657156644545,2,2,215,190,21,226,0
7,0.9072310183140941,-1.4935544832300929,-3.7493819450410677,0.0,3,3,142,217,32,87,1
9,0.8931747934144957,-3.757092901275524,-1.6964342024328039,0.7,2,0,140,55,194,202,1
35,0.8843121175802687,-2.798509993783038,-1.5649928526336012,0.5716609272421563,1,0,13,115,191,189,0
47,0.8825774301394057,-2.6219778272767265,-3.039527437130489,0.06601413948327355,2,2,112,10,158,167,1
23,0.8799806556067201,-0.3378305383452158,-1.3765118464376775,0.4287388826335366,4,0,8,35,0,252,1
18,0.8777518450766416,-2.3298063674867464,-2.7171192507451756,0.6481526432869028,0,0,227,98,227,0,1
11,0.8771841291869047,-0.8066874573585707,-4.360303323147881,0.30054170188412893,3,2,82,72,212,241,1
27,0.8757017599192582,-1.7152867205717075,-5.0,0.7,1,3,256,41,217,0,1
49,0.8612565445026178,-3.402305702006343,-4.477442643052604,0.5440229492726495,0,1,36,199,54,125,0
16,0.8587649025421056,-3.123586330319655,-3.453830395839361,0.7,2,0,84,148,256,202,1
29,0.8584389915683677,-3.503488623633712,-2.093813636642629,0.08037147114443338,3,0,100,166,68,154,1
24,0.8521520637523918,-3.782248357542377,-1.1642775015549178,0.12548033613016196,4,1,15,206,140,203,1
12,0.8509745789440484,-3.2143532350678043,-4.2021863579658705,0.0,3,0,172,5,0,79,0
36,0.8481202296095377,-1.4975846279536906,-1.5863742816254365,0.18567862568671242,2,2,198,122,0,220,0
1,0.8198553375806892,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
26,0.8116024306650688,-3.918219438068199,-2.017674190750711,0.44196541606753,0,0,52,70,256,243,1
21,0.7944973611724385,-3.157547964459779,-1.2331685662003111,0.5824101014636442,1,1,123,138,29,55,0
33,0.7785382367164995,-2.3428230532349508,-2.3621323861029744,0.20020233051780306,4,0,218,149,59,196,1
8,0.7557980613553691,-3.1021414820165725,-4.066849283633327,0.4197752501780282,2,0,60,130,256,248,0
28,0.7280430623015622,-0.3,-5.0,0.5505238546600227,4,3,8,0,183,256,1
2,0.6469858491557855,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
31,0.5305515254736223,-2.1589401159609984,-1.4869354991682076,0.13047386603324138,2,2,244,111,0,209,0
6,0.5,-1.391187836023056,-3.8637581346907828,0.02579626278442219,3,2,170,148,221,227,0
14,0.5,-0.9921219381762492,-1.1250040683411355,0.08779829879065787,1,0,93,114,115,87,0
13,0.5,-1.7252884903552568,-3.6497247497302983,0.4251123541047947,0,2,254,13,52,130,0
30,0.5,-0.6331770903951104,-4.1181378258641566,0.10271398097961187,4,2,88,119,58,142,0
48,0.5,-1.0801875319962408,-2.1046181284450047,0.23634229534921875,2,2,165,206,28,124,0
41,0.5,-0.4247902286274563,-2.8601574330264405,0.3634683829196648,1,0,12,104,235,96,0
46,0.5,-0.9361462128792746,-1.7843139219817044,0.1863031376953346,0,2,155,102,175,180,1
44,0.24617843100149292,-4.0,-2.774778771765401,0.6302207091444755,3,1,8,167,171,206,0
40,0.21576357787169623,-3.1837985093667758,-2.626531293034852,0.5914174095108032,3,1,32,187,74,105,0
50,0.13006476166445888,-2.9194396936890064,-1.2450702533735987,0.406026223200625,1,1,105,190,56,173,0
