trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
44,0.6785175608705021,-3.678084814629801,-2.031060302621199,0.08280200242089965,2,0,181,0,148,204,1
34,0.6749191984486101,-2.30460134830178,-4.336818609342288,0.21798903395795025,3,0,202,8,130,251,0
39,0.6690152984270632,-3.8464395497815165,-4.246823413920709,0.06471808946349701,3,0,223,4,117,167,1
42,0.6651152768799828,-1.7073342783641148,-4.539565788846186,0.19753346672420236,1,0,31,100,141,157,1
47,0.6624003447532859,-2.1317931930917853,-5.0,0.0368504415767398,3,0,37,184,146,230,1
29,0.6611290670114199,-2.573430388917519,-3.166964162868263,0.1938053973428541,1,0,116,0,136,222,0
14,0.6598577892695541,-1.725242225595487,-2.498947089240309,0.0,3,3,39,231,125,55,1
22,0.6557207498383969,-2.345089779289652,-4.037762587522726,0.0,3,1,8,252,109,62,1
46,0.6506356388709329,-2.8589676145074296,-2.1534338403738706,0.12654916796522386,4,0,250,255,129,234,1
27,0.650247791424262,-2.4233368955494603,-4.132996927881374,0.15886852923143582,4,1,97,256,124,196,1
19,0.6497306614953674,-3.8017048008259264,-2.638670197592896,0.0187061286297884,1,1,42,256,125,103,1
30,0.6450333979745744,-3.77709760464595,-4.835609648024345,0.18196120393357373,0,0,180,146,144,256,0
26,0.6436543848308555,-3.459352566465668,-4.685751759190028,0.3628224273272983,3,2,29,256,93,128,1
25,0.6396035337211808,-1.4586289921241353,-2.0146788235670394,0.039938165133024096,4,1,8,184,119,65,1
21,0.635725059254471,-2.113579322952853,-3.0405750932266153,0.552653132697246,4,2,68,165,120,82,1
15,0.632686920922215,-3.644392113878568,-4.970928148604072,0.0,3,0,103,168,152,94,1
41,0.6317388493859082,-2.113907026649889,-4.395808254716199,0.03841919113451704,4,0,113,214,96,121,1
28,0.6300581771170006,-3.716287814229142,-4.3623017201398415,0.1239972866259044,4,2,20,256,109,256,0
2,0.6296918767507003,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
50,0.6222473604826546,-1.4091185259447379,-4.871663074088786,0.12175953454777805,1,0,227,54,146,16,1
1,0.6189614307261365,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
4,0.6146304675716441,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
37,0.6039000215470803,-2.7570329456149287,-4.101305767731795,0.6982597051531624,3,0,15,206,95,250,0
11,0.6003016591251886,-4.0,-3.6782113703973223,0.321239112722542,1,1,40,73,66,0,1
9,0.5994613229907347,-0.3,-1.0,0.0,4,3,8,0,0,0,1
6,0.599224305106658,-3.8933276477080407,-1.0803207048343002,0.2422393944039764,3,2,53,205,256,0,0
20,0.5970588235294118,-1.8625201046969737,-3.817259300562426,0.40845945050819915,4,0,12,256,156,57,0
38,0.5970265029088558,-2.2413097872002923,-4.735330760661918,0.6294553294388845,1,1,133,14,145,223,0
43,0.5968325791855205,-2.7778062553621825,-4.795638295234264,0.6975881981039398,3,3,237,256,129,152,1
12,0.5951734539969833,-1.7815601085724526,-3.9297057776245063,0.7,4,2,38,2,137,0,1
48,0.595087265675501,-2.0979316366264396,-2.2899130485194514,0.012543792664295735,3,2,143,155,73,102,0
45,0.5949795302736479,-2.4410399120934665,-2.2656867488769086,0.1358973582713518,4,0,23,0,143,256,0
10,0.5937190260719672,-1.408861550150954,-1.3522530685017533,0.3484243556457167,3,3,121,256,0,50,1
16,0.5935466494290024,-0.8155934053212914,-1.5245684439418508,0.44869419693396234,3,3,8,7,96,65,1
13,0.5926093514328808,-3.973297562511999,-3.1366301220545347,0.7,4,0,145,18,0,256,1
8,0.5886446886446887,-2.228601016671509,-4.3698850125579325,0.019365127254703792,2,1,244,19,71,0,0
23,0.5880629174746822,-2.5329809448250957,-4.818984618530659,0.0,2,2,59,256,106,0,1
36,0.587739711269123,-2.8190292084930286,-2.1174683345911647,0.0754338345965477,1,3,216,187,140,255,0
35,0.5873626373626374,-1.501226572924887,-2.7516989609038527,0.2777159696170769,1,0,202,61,120,230,0
5,0.5788192199956905,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
24,0.5784098254686489,-3.0231044154487394,-2.588957599429485,0.0,2,2,8,256,150,67,1
40,0.5533290239172592,-3.4471935048917097,-2.390803790517112,0.6544063891409084,1,0,100,0,83,190,1
17,0.5200064641241111,-0.30894670351007747,-2.8184958804340887,0.24089032912996655,2,2,158,256,123,0,1
3,0.5174315880198233,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
7,0.5034906270200388,-3.620828313679052,-2.6655153585125233,0.5752600404704445,1,1,17,28,256,256,0
49,0.5030381383322561,-3.137308186758538,-3.9574248103181384,0.5944724193525969,2,2,147,49,81,234,1
33,0.5,-1.384273641189675,-1.0891800004747108,0.27256401651901224,0,0,182,91,108,8,0
18,0.4589528118939884,-1.1862232467999907,-1.0,0.04388849198765226,3,3,107,177,255,167,1
32,0.42024348200818795,-3.4676505985678534,-1.8508519315599292,0.21383290128143628,1,1,160,0,146,161,0
31,0.4066257272139625,-3.2144087756480118,-5.0,0.10160270497636091,1,1,8,63,121,127,0
