trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
3,0.9149412887432056,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
36,0.9121059983679791,-4.0,-5.0,0.0,4,0,256,0,256,101,1
45,0.9090494170366376,-2.266370342902057,-4.157050706897453,0.7,0,0,148,180,256,90,1
50,0.9082887293749913,-4.0,-2.7201393383099055,0.0,2,0,131,256,256,0,1
49,0.9066013858346127,-3.4839664066995013,-4.483639398610055,0.0,4,0,186,158,256,0,1
41,0.905868359542481,-1.941342468631846,-4.012790557692304,0.7,0,0,243,256,0,86,1
8,0.9056885606406373,-2.088638876690009,-3.0271099431230866,0.41440440010826785,1,0,256,206,226,77,1
9,0.9050938411960776,-3.5975270317434505,-2.2770797553381152,0.3333916038832922,4,0,90,217,211,222,1
32,0.9049693650332629,-3.07357954377494,-4.003604747732771,0.5951395615698485,0,0,256,177,256,256,1
46,0.9043608149039459,-4.0,-5.0,0.0,0,0,256,0,256,256,1
48,0.9038629102526867,-3.198897388418079,-5.0,0.1720982390640857,4,0,256,185,256,29,0
12,0.9023830269836659,-2.7585992003560853,-4.169040433384749,0.21941713986322509,1,0,144,3,85,73,0
27,0.8992849535980526,-2.9592608354673136,-2.0226821852640366,0.61844322047597,4,0,66,157,0,169,1
34,0.8985795886754354,-2.882520504125788,-4.111882086788856,0.3209458838672803,0,0,256,0,256,256,0
23,0.8972103508844723,-2.107155926600179,-4.884632273227479,0.7,0,3,210,256,256,256,1
33,0.8971826895149578,-3.238575019264676,-2.482277039587064,0.42603919657238654,1,0,116,144,256,256,1
6,0.8968784144502995,-1.2972123172751786,-4.812638008078608,0.6229675457541823,3,0,162,98,252,114,1
4,0.8959240972020525,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
10,0.8951288328285133,-3.996657717248859,-4.4105125533253995,0.10556616856349817,3,2,89,57,204,233,1
37,0.8950942561166203,-2.1307659581797376,-3.0024890187307958,0.7,0,2,8,256,256,256,1
24,0.8945686900958467,-2.584202187481365,-1.0,0.0,0,3,120,0,256,256,1
18,0.8940431240750728,-4.0,-2.5476890492923974,0.5300313569578016,1,2,256,82,256,89,1
42,0.8935728807933281,-2.882007777462465,-3.459437656591099,0.0,0,0,125,146,256,213,0
43,0.8904471460382003,-2.4304705546820675,-5.0,0.0,2,0,13,212,256,42,0
35,0.887155443065986,-2.411407882058733,-4.439579341691859,0.0,1,0,256,0,0,40,1
19,0.8781931593433192,-2.1835540441048495,-1.0,0.0774112326368314,0,0,256,256,0,256,1
1,0.8724672558538373,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
16,0.8703373304012281,-2.7278614381110806,-1.94970249779528,0.0,4,0,254,46,0,0,1
11,0.8699224098585121,-2.470259410574549,-5.0,0.5414871622087566,4,3,18,0,256,256,1
7,0.8650816701934912,-0.46366201676398244,-4.809543593406342,0.7,2,0,151,98,251,148,1
15,0.8641965063690303,-0.3,-1.0,0.0,4,3,208,0,0,256,0
44,0.86409969157573,-3.1072407929611767,-5.0,0.37224206529150655,3,0,8,256,176,256,1
38,0.8619421047536063,-4.0,-1.0,0.7,0,0,8,256,256,256,1
40,0.8610846022986598,-4.0,-1.0,0.7,4,0,256,0,256,256,1
25,0.8579173754892604,-0.3,-1.036646449056183,0.6075663832365081,0,0,147,0,0,20,0
29,0.8573918094684868,-4.0,-2.6398393434810696,0.23046012901272453,0,1,244,11,256,66,0
39,0.8571566878276144,-4.0,-3.6095445775247024,0.7,4,0,8,256,256,256,1
2,0.8556629738738366,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
5,0.8553310374396638,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
47,0.8543628895066594,-2.5119412639973326,-1.0,0.0,4,3,67,33,214,0,0
14,0.8537405086925853,-4.0,-3.203866101324977,0.0,0,0,256,0,254,0,0
30,0.8507254194155153,-3.160074207435823,-1.0,0.7,0,0,228,0,48,256,0
22,0.8487407161528567,-4.0,-5.0,0.012163100075261741,0,1,142,0,256,61,0
17,0.8450548386650623,-4.0,-5.0,0.7,4,3,8,163,256,0,1
26,0.8349584387923046,-0.3,-4.950665943958481,0.7,4,0,256,236,256,154,1
21,0.714410190448529,-4.0,-5.0,0.2577866339699376,3,3,8,0,15,0,0
13,0.5090798445431034,-0.3,-3.6384420500608767,0.7,2,2,18,254,8,195,0
31,0.5,-0.3,-1.0,0.7,0,3,8,0,256,256,1
20,0.5,-0.3,-5.0,0.7,2,0,8,0,0,256,0
28,0.5,-0.3,-4.999381702290739,0.10507897372868409,0,0,256,256,256,239,0
