trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
12,0.8766579533352696,-1.9658140843232883,-4.361382897254662,0.7,0,2,89,256,256,210,1
9,0.8684701879590058,-1.5490002045494995,-1.5357625786299418,0.3408181402278544,2,3,184,31,90,6,1
46,0.8681105901553187,-1.151728007028077,-5.0,0.36190770542265277,4,2,11,227,0,107,1
4,0.8658561885398945,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
13,0.8654965907362073,-2.329366224530837,-3.942269278306825,0.16928653554662687,4,3,135,83,20,6,1
48,0.8651923156715489,-1.8684932614230814,-5.0,0.32764621294561463,0,3,100,133,119,47,1
29,0.8642518291080591,-0.3,-1.679823843836965,0.7,0,3,8,256,0,0,1
33,0.8626613003609809,-2.030648665310079,-4.027981345834168,0.0,0,3,256,216,256,0,1
17,0.862191057079236,-0.3,-3.1878893924830836,0.7,0,3,256,256,256,150,1
37,0.862052750231664,-1.2207748725468806,-1.0,0.7,0,0,8,8,0,0,1
16,0.8616239990041907,-4.0,-1.0,0.7,0,3,256,256,256,0,1
41,0.8615410148956475,-1.14533640304197,-1.5130604670037249,0.6447854811431993,3,0,202,17,81,69,1
2,0.8614165387328326,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
1,0.8604622214845857,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
10,0.8604622214845857,-1.949920803710337,-3.712340374332429,0.350039116757413,2,3,62,220,2,256,1
30,0.8600265549147339,-0.3,-3.591822944491342,0.7,4,3,8,0,256,9,1
22,0.8599020787519189,-1.759087111511036,-2.028786389118926,0.7,2,0,256,111,256,0,0
23,0.8594249201277955,-4.0,-3.8346955196613943,0.7,0,0,128,256,256,211,1
6,0.8588924387646432,-2.0380260651381095,-2.190505039575836,0.6996472786813145,1,3,202,188,166,7,0
3,0.8586365710966349,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
21,0.8573088253599436,-4.0,-2.043609655558977,0.7,3,3,256,55,0,256,1
36,0.8570875344038285,-4.0,-1.0,0.0,0,0,256,0,0,0,1
19,0.856852412762956,-0.3,-1.0,0.7,4,3,8,256,0,0,1
49,0.8568109207086843,-2.0534659629366727,-1.4318074921295434,0.5724571249584861,4,2,18,9,185,185,1
24,0.8567832593391698,-4.0,-1.0,0.7,0,3,133,256,0,256,1
50,0.8565757990678119,-4.0,-5.0,0.35762540166294854,0,2,204,189,0,7,0
43,0.8559050108570876,-1.8904198832577968,-1.0,0.4495733061614673,4,3,113,224,0,84,1
25,0.8558151114061656,-4.0,-5.0,0.7,0,3,103,256,0,55,1
35,0.8553310374396638,-1.7323973907770571,-5.0,0.7,0,3,189,25,0,46,0
5,0.8533532495193837,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
42,0.8533255881498695,-0.4374503987737368,-4.783883241157443,0.3591479926161414,0,1,212,209,256,214,1
44,0.8530904665089969,-2.5041423516550685,-5.0,0.36507260115636825,0,1,231,121,178,91,0
45,0.8523574402168651,-1.6480266243158916,-4.066847970733089,0.3384033673220243,4,1,114,142,256,224,1
18,0.8508084035240585,-0.3,-5.0,0.0,4,3,8,0,256,0,1
27,0.8505041284593999,-1.41022278657563,-1.0,0.7,4,0,8,0,256,185,1
38,0.8494668271026098,-4.0,-4.155824636969423,0.7,4,0,224,27,196,14,0
28,0.8487614621799925,-4.0,-3.042060851398783,0.7,2,3,180,237,256,256,1
47,0.8486923087562066,-1.3125524148989296,-2.223647399511009,0.02055232744313323,1,0,30,83,0,168,1
8,0.841140754878774,-0.3,-2.4205873385340664,0.11965965070841478,3,0,144,0,256,0,1
34,0.8355600735792429,-1.2151113102307698,-5.0,0.7,0,2,256,0,256,0,0
15,0.8345573489343459,-3.4732079010556456,-1.0,0.04113788520891323,0,3,256,74,54,256,0
26,0.8307608259684938,-4.0,-1.0,0.7,1,2,256,243,256,219,0
7,0.8275590224472014,-3.150599496530413,-2.5496532527256335,0.0010622248892976252,2,0,92,26,62,202,1
11,0.8115776662102542,-2.384160137140719,-1.7410901914082428,0.5036696516109269,1,2,70,211,168,42,0
31,0.7994343249934306,-0.3,-4.533355421697329,0.0,4,0,103,0,62,0,1
20,0.7823880060301786,-0.3,-4.375993806334201,0.0,2,3,256,256,0,0,1
14,0.5,-0.3518428305004795,-4.498185391075103,0.3338056837945465,4,0,131,43,6,54,0
32,0.5,-0.3,-2.290427478591301,0.0,3,0,256,67,92,256,0
39,0.5,-0.4268468895511397,-1.0,0.7,0,0,8,256,256,154,1
40,0.5,-0.9132608799203217,-1.0,0.7,0,2,256,0,247,176,1
