trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
13,0.636695035460993,-1.315340110306841,-2.7780518589877943,0.18851872883369195,1,3,135,25,68,40,1
50,0.6339999999999999,-1.588223542349724,-4.739865109426336,0.23505519454153254,1,3,118,0,200,38,1
35,0.6327801418439716,-1.8783671738318848,-2.705370591578633,0.25713646294223946,3,3,158,0,169,35,1
29,0.6261702127659574,-2.4661716693452154,-2.6003632140213906,0.23952132901101625,0,3,172,8,105,58,1
41,0.6254326241134752,-1.941228413974771,-2.4424015241101635,0.17391192839064493,0,3,160,0,112,25,1
49,0.6188510638297873,-1.5374100094672989,-3.373789429903248,0.15192712967647576,3,3,177,0,244,55,1
45,0.6169787234042554,-1.7950654512715327,-1.7789341246738126,0.23164084897711737,3,3,169,17,89,3,1
18,0.6130070921985816,-1.0156146061922544,-4.337223221151815,0.22299913574020994,3,3,160,11,26,4,1
27,0.6122695035460994,-1.3769584529910097,-2.49787755899652,0.009114029671693754,1,1,142,3,88,40,1
46,0.6065390070921985,-2.7044234472359236,-3.7070273395350815,0.09272022536008717,2,2,179,256,256,0,1
36,0.6053191489361702,-1.72601566891981,-2.944227970410771,0.21990917001273738,3,3,146,256,168,42,1
4,0.6041843971631206,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
42,0.600808510638298,-2.0314934324839937,-4.728431534781344,0.5025631152871506,2,2,90,14,144,58,1
48,0.5965248226950355,-2.0854758070031796,-5.0,0.0,2,2,84,0,80,11,1
30,0.5928085106382979,-3.7496051313373933,-4.977366089949991,0.1476003965160141,1,0,178,38,114,48,1
44,0.5899716312056738,-2.208299423981142,-4.552674891590348,0.45330953845498884,2,3,165,0,99,100,1
12,0.5861985815602836,-1.810267137297688,-1.166190720871647,0.0,1,3,100,138,75,0,1
37,0.5855460992907802,-2.623713314192093,-2.247810875940736,0.1306734129979043,2,1,210,0,161,36,1
43,0.5850921985815604,-1.6184282305535413,-2.702865453114366,0.3022601395149156,1,3,192,17,0,8,0
17,0.5832765957446808,-1.2903568667297542,-2.2117819421064695,0.2644206588168458,3,3,80,102,33,101,1
26,0.5806524822695035,-1.6704677096581948,-4.879917722656015,0.39232814968614566,1,1,45,20,0,25,1
34,0.5801560283687943,-1.3167952379279413,-4.665954245219733,0.20214066649907858,2,1,178,21,82,0,0
25,0.5794184397163121,-2.9002539134688847,-3.33779897478163,0.581112070143089,1,2,132,30,1,19,1
24,0.578127659574468,-1.2540553908098664,-1.3741032815964371,0.0,2,3,85,46,33,39,1
22,0.577290780141844,-1.1991862527172041,-1.0,0.4928881007139388,4,3,37,0,143,30,1
11,0.5746241134751773,-0.8527292399131992,-1.0,0.0,4,0,213,109,113,46,1
14,0.5741843971631205,-0.6430515099397422,-2.5493397891354848,0.30658229003723086,0,2,10,223,124,150,1
38,0.5728652482269504,-1.6951935160365732,-3.8241381852668574,0.25901639243327196,4,2,140,0,245,53,1
6,0.5707801418439716,-0.3,-5.0,0.7,4,3,8,256,0,0,1
21,0.5705390070921986,-2.698087629358187,-1.0,0.12867839835889427,1,3,92,40,81,0,1
19,0.5703971631205673,-0.4237988728667412,-2.0499813410084973,0.2704532781846544,2,3,136,237,66,255,1
9,0.5702553191489362,-1.1872103951337292,-3.809536978777949,0.0,4,3,160,220,92,157,0
39,0.5667375886524824,-1.812488067179979,-2.105220820966057,0.17171350649146402,3,2,167,92,0,35,1
8,0.5659574468085107,-1.892689322474864,-1.6495023415062735,0.27861611147355403,1,3,152,254,146,207,0
5,0.5647375886524822,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
1,0.5599716312056738,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
23,0.5574609929078014,-0.517227860639605,-2.32118949746352,0.5909485413973052,1,3,128,51,242,36,1
2,0.551985815602837,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
32,0.5511347517730497,-3.488927294961912,-3.48010767324428,0.26388382127901006,1,3,131,0,25,50,1
40,0.5422978723404256,-3.9246886739882973,-2.86105336849747,0.35416761179631634,4,0,99,0,97,19,1
33,0.5318014184397163,-1.25936861391697,-2.8817657861855093,0.555363501496814,2,1,223,17,30,189,1
47,0.5301418439716312,-1.4554675882826187,-1.6357479281325569,0.40961555891667933,2,2,137,0,96,37,1
15,0.5240992907801418,-0.8175080923520617,-3.3768490005662435,0.03599123181491683,0,3,138,20,178,185,1
10,0.5144964539007092,-0.39127932831759127,-1.8426705531846377,0.005902581194616271,4,2,46,63,31,249,0
3,0.5083262411347518,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
16,0.5,-1.1599165078295215,-1.112269077202761,0.20485716438559878,3,0,62,169,181,0,0
20,0.5,-1.6662080730930469,-3.0292041502816924,0.11993331949326505,0,2,160,185,53,110,1
31,0.5,-0.3,-3.65918833819045,0.6300624340459655,3,2,256,18,78,44,1
28,0.5,-0.33814884158185254,-5.0,0.21857174267594517,3,3,157,20,85,36,0
7,0.4417872340425532,-3.9810199313533894,-1.88232088183024,0.17683612200246185,4,1,215,0,0,159,0
