trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
33,0.8647942555562564,-4.0,-1.0,0.0,0,3,163,256,0,196,1
32,0.8613038541600959,-4.0,-1.0,0.0,1,0,143,256,256,256,1
40,0.8609148636430539,-3.254641131595018,-3.50271256367877,0.0,0,1,256,256,0,256,1
27,0.859032990601148,-4.0,-1.0,0.0,1,3,228,256,256,0,1
34,0.849087449273534,-4.0,-1.0,0.0,1,1,73,87,0,256,1
46,0.8490664227590993,-4.0,-1.0,0.0,0,0,224,256,8,99,1
37,0.8452080573603314,-1.5810779497519265,-5.0,0.5935235453060623,0,3,256,256,0,0,1
44,0.840109127609916,-2.8242334233803335,-3.209753453532488,0.13045407287313932,0,3,256,256,0,256,1
13,0.83842700645514,-4.0,-1.0,0.7,0,2,142,256,0,256,1
19,0.8379013435942724,-4.0,-1.0,0.7,0,0,227,256,0,256,1
30,0.8333701297335941,-1.9733456832300393,-5.0,0.3868147012688352,2,3,90,256,256,0,1
41,0.8322557244685549,-2.106182040880992,-3.8791084423155504,0.0,0,2,256,256,15,0,1
14,0.826147522025274,-4.0,-5.0,0.0,2,0,256,256,256,240,1
24,0.824444374356063,-3.11909814670916,-3.774452668330537,0.06233795373372092,2,3,256,256,256,182,1
38,0.8243602682983242,-4.0,-1.0,0.3389988920877674,2,3,256,256,0,175,1
22,0.8240764103534557,-3.7916194401894843,-1.0,0.0,1,3,8,256,0,109,1
49,0.8177999957946971,-3.240153193470841,-2.985398962593678,0.0,0,2,256,256,64,189,1
25,0.8107245736874198,-2.6342895885032602,-1.0,0.17490138907115121,0,3,8,256,136,256,1
29,0.8076652158371707,-4.0,-1.0,0.2558332647996576,2,2,8,0,256,0,1
48,0.8076231628083013,-3.506756958788446,-4.304949963349403,0.6281867982095127,2,3,70,256,0,256,1
11,0.80647721777161,-4.0,-1.0,0.7,0,0,256,15,256,256,1
21,0.8064561912571752,-4.0,-1.0,0.0,2,3,8,256,48,0,1
10,0.8050789545617023,-4.0,-2.5710810660390075,0.7,1,0,62,195,256,256,1
47,0.8007369793309365,-4.0,-1.0,0.0,2,2,217,256,256,122,1
39,0.7981717445699026,-3.319577123756266,-1.0,0.20408145915029632,1,2,256,256,0,256,1
43,0.7963950041001704,-4.0,-3.4465051781444487,0.0,1,2,256,256,0,256,1
35,0.7916430118379276,-4.0,-2.3492744944564508,0.0,1,0,8,50,256,256,1
2,0.7905496330873232,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
42,0.7889831577619377,-3.288600677736012,-5.0,0.0,0,2,177,256,256,256,1
3,0.7879949115835068,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
45,0.7869751256334238,-2.9624864679765,-3.809380120077214,0.0,0,2,182,256,21,0,1
1,0.7692182341933178,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
8,0.7593567989234424,-0.3,-5.0,0.0,1,0,256,110,256,0,1
17,0.7534273218528564,-4.0,-5.0,0.44703769098396967,1,1,8,256,245,254,1
26,0.7412214302235118,-4.0,-3.7084114679868962,0.031111255329222376,2,3,256,0,0,0,1
36,0.7250730671376606,-2.438117702248223,-4.760386959864335,0.0,2,0,121,256,256,256,1
15,0.7099707731449357,-4.0,-5.0,0.2755468771212535,4,3,153,256,181,143,0
50,0.6843657351920771,-1.6575864206878967,-5.0,0.020524252032973075,0,0,8,256,256,0,1
20,0.6741415925482033,-4.0,-5.0,0.7,3,0,8,256,0,117,1
16,0.6714922517294308,-0.3,-1.0,0.3162803953524905,4,1,34,0,150,251,0
31,0.6686799554237893,-3.215444434381247,-1.0,0.7,1,3,8,256,256,14,1
12,0.6646638911667613,-0.3,-1.0,0.7,1,3,235,14,0,0,1
9,0.6401785151075505,-4.0,-4.959613141812245,0.7,0,3,8,0,0,0,1
23,0.636477848567043,-4.0,-1.0,0.1470234492187098,4,0,134,256,243,106,0
28,0.6338179944910532,-0.3,-5.0,0.3098058296041772,0,2,8,256,256,256,1
4,0.5655133623499233,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
18,0.5,-0.3,-5.0,0.25583801674957435,4,0,224,17,212,6,0
7,0.5,-0.3,-1.0,0.7,4,3,8,256,0,256,1
5,0.4505246115351459,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
6,0.36744885300363755,-4.0,-1.0,0.7,0,3,224,256,0,0,0
