trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
43,0.862649551083917,-4.0,-5.0,0.28646145613651264,0,2,180,256,52,128,1
21,0.8543861309110787,-2.693310099850068,-4.602392032063816,0.11702603550625537,0,1,217,256,244,256,1
9,0.8482043356672765,-1.696237569754301,-4.395048590411795,0.3288383718852565,0,1,42,247,178,59,1
44,0.8476261065203221,-4.0,-5.0,0.1466323931426955,0,0,195,0,126,158,1
37,0.8455655081057214,-4.0,-3.837233981557519,0.22627068563760433,0,2,246,256,256,136,1
49,0.8445141823839863,-4.0,-5.0,0.0,2,1,39,201,214,31,1
35,0.8407294097857398,-3.5918354365117726,-2.351989403221462,0.1646785224205468,0,1,65,256,206,213,1
42,0.8406347904707836,-4.0,-5.0,0.25203168579068597,0,1,156,256,142,0,1
45,0.8398673226939171,-4.0,-5.0,0.0,0,1,134,194,120,22,1
17,0.8380485291953153,-3.6053147541112853,-4.153812035105575,0.13462920737576256,1,1,194,167,85,229,1
16,0.8378803170798376,-1.6875195083436636,-4.9676437037571395,0.5670418018528479,1,1,223,241,95,159,1
19,0.8340955444815913,-0.47012746606444145,-4.344462058051239,0.36368399221685127,1,1,256,256,199,142,1
40,0.8333806429908115,-4.0,-3.1368986659457194,0.3757615747535687,0,0,117,197,211,87,1
36,0.8319613532664689,-4.0,-3.6709075327802783,0.0,0,1,256,256,256,256,1
23,0.8313200445762106,-2.340244951393406,-4.46918799216014,0.3643687101778261,0,1,133,256,189,256,1
34,0.8282081204398748,-0.5158354966336218,-5.0,0.15766026987412465,0,3,252,256,201,207,1
46,0.8232143232616329,-4.0,-1.0,0.6924187248992199,1,0,256,0,212,82,1
13,0.8161599276687903,-3.147067666549318,-4.234405685536842,0.179069497359653,1,1,8,201,1,73,1
2,0.8090950188187305,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
41,0.8045532917008348,-4.0,-3.2201186551854666,0.3737484692596684,0,3,218,36,135,13,1
25,0.8031340019764923,-0.3,-3.98698830180857,0.09960163072480449,0,3,256,165,256,231,1
22,0.7986343278874661,-4.0,-5.0,0.2824322108621679,1,1,50,204,256,35,1
1,0.7943554322000043,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
32,0.7798681637544944,-0.3,-5.0,0.0,4,1,171,175,96,44,1
26,0.778659139174499,-2.5549333974292576,-3.6518193758346147,0.6341548848672339,1,2,105,229,170,13,1
29,0.7741174120566033,-3.261098687747371,-5.0,0.14553496770027172,4,2,8,115,256,146,1
14,0.7683351205870603,-0.9206433917060872,-3.965841689742552,0.5950993858402273,0,1,27,99,233,37,1
38,0.7643926491305536,-4.0,-4.049592072266639,0.2221845977259551,0,3,8,256,256,256,1
47,0.7534693748817258,-0.3,-5.0,0.7,0,3,256,256,70,62,1
7,0.7510618389789525,-0.3,-5.0,0.0,4,0,8,256,213,110,1
3,0.7504730965747809,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
20,0.7484492945604408,-2.3456422553819896,-4.769455248437668,0.058395947027740536,1,0,231,256,250,256,1
33,0.7323692676465022,-2.635180008263408,-3.770486057217753,0.5790316249420716,2,2,245,256,114,256,1
31,0.7323482411320676,-1.6751211410804814,-4.82563412849852,0.596704589455127,0,2,219,227,0,90,1
30,0.7317910384995479,-1.1653141888022174,-5.0,0.3335252589973627,0,2,256,4,0,163,1
11,0.7297199268277299,-2.5855710387367203,-5.0,0.519827067361154,1,1,8,64,89,67,1
15,0.7198795180722891,-1.061280259864001,-3.9242717031259327,0.02410712605947852,1,0,193,256,48,24,1
10,0.7166940011354319,-1.4131827584825079,-4.386519486031148,0.00623000236686943,3,1,243,71,247,68,0
27,0.7153220210685673,-0.3,-5.0,0.458945616362911,1,0,248,209,0,0,1
4,0.6868889169242415,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
39,0.6454036039445741,-4.0,-5.0,0.0,0,1,144,217,146,187,0
5,0.6316154671040182,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
12,0.6145892470405181,-2.9828286052431707,-2.491478218883802,0.6666492763661517,0,0,34,54,30,121,0
28,0.6116034819907905,-0.7556595410242748,-3.889030751810094,0.0,0,2,256,256,201,229,1
18,0.554516495300574,-0.6304034560123299,-1.0,0.3846667692020754,2,1,220,209,200,256,1
8,0.5461531991841713,-0.3,-5.0,0.467174573456708,4,0,8,256,256,0,1
50,0.5045154439748523,-4.0,-1.0,0.7,0,1,65,193,237,55,1
6,0.5,-0.3,-5.0,0.7,4,0,8,172,256,0,0
48,0.5,-0.5497727009189264,-1.0217001468613378,0.005918827883237633,0,2,104,195,22,197,0
24,0.4615845581277992,-4.0,-5.0,0.7,3,3,173,256,44,75,0
