trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
11,0.8604553061422071,-4.0,-5.0,0.13679226924797916,2,0,256,0,256,0,1
39,0.8581732431572686,-3.284080505115261,-3.8834420616806926,0.0,4,3,256,216,156,38,1
38,0.8561539631827172,-4.0,-3.465478196242376,0.19465971425802564,0,2,127,255,184,166,1
26,0.8476895841113093,-4.0,-4.768889728278051,0.0,4,2,256,256,256,147,1
9,0.847661922741795,-4.0,-1.0,0.5192679937776787,4,0,256,256,256,0,1
46,0.8456288120824863,-3.81592617147231,-4.168582323120554,0.0,3,1,49,109,94,247,1
35,0.8443148970305521,-3.8532750542538268,-3.539802837129794,0.0,4,0,155,210,188,90,1
22,0.8424477545883298,-4.0,-5.0,0.0,1,1,256,107,256,214,1
44,0.8424339239035723,-1.454371748086507,-4.449674914581006,0.0,4,1,253,0,256,54,1
36,0.8416939822690621,-2.7419604997991396,-3.8861566099871254,0.0,0,0,194,216,154,196,1
21,0.8392874431213091,-1.645237307636752,-5.0,0.0,2,3,256,142,256,0,1
48,0.835850517959144,-4.0,-2.535574344212448,0.0,4,0,8,234,186,41,1
16,0.8315215136301398,-1.705303703823012,-2.7829942649768316,0.0007171842895425286,1,1,146,64,166,160,1
34,0.8263903295852177,-1.8690539532238244,-3.661642066442285,0.4076498272143083,0,1,32,90,93,0,1
20,0.8248274622076539,-1.8704841131961891,-4.050509063093689,0.0,2,0,256,0,115,89,1
27,0.8237624994813493,-3.265830583128854,-4.597629788703936,0.07269636537268405,2,0,256,202,117,147,1
7,0.8207750715737936,-4.0,-5.0,0.7,0,0,256,0,256,0,1
45,0.8152704590404272,-2.3796452617452255,-3.454495373670576,0.0,4,2,234,135,170,222,1
1,0.8145374327482953,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
50,0.8123245231871431,-4.0,-3.9319756801029397,0.0,3,1,8,232,140,189,1
40,0.8079125347495953,-4.0,-3.425998828279954,0.1640541578285367,0,3,256,31,142,207,1
3,0.8036388531596199,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
49,0.801246144696624,-4.0,-4.701473477487914,0.7,1,2,256,30,76,242,1
12,0.800464711007842,-3.510117688607913,-1.0,0.0,4,0,224,255,255,189,1
29,0.7979129496701381,-1.9399216614730692,-2.2841298763178273,0.0005113008782122347,0,2,143,178,203,181,1
42,0.7966266959877184,-2.5282632280600605,-3.250973849752894,0.7,1,1,256,145,181,227,1
2,0.7925051519300721,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
28,0.786523380772582,-0.6433252012038775,-4.983854427699875,0.3236958044353698,2,0,119,165,172,111,1
17,0.7767381713068613,-4.0,-5.0,0.7,3,3,87,0,256,0,1
33,0.7680110092250668,-4.0,-2.540030620548905,0.7,4,1,256,94,256,0,1
13,0.7613307884873379,-1.181887859101011,-5.0,0.13811877691389166,0,0,256,0,227,0,1
23,0.7583433605797822,-1.8023177461078368,-5.0,0.4562124825043675,2,3,8,256,256,6,1
18,0.7550378269228111,-1.3485511957570164,-1.107019161639871,0.6727653740866246,0,1,8,12,34,186,1
37,0.7322102817310485,-1.9980199790007203,-1.0,0.7,4,0,123,46,256,147,1
41,0.7317192924221678,-1.951158396776977,-5.0,0.32279272221740285,0,0,8,78,0,158,0
31,0.7314011866727521,-1.9461715208057173,-4.090107990324623,0.24385233651943145,4,0,8,250,157,100,1
14,0.7251013097658465,-4.0,-5.0,0.7,3,0,256,0,256,0,0
6,0.711222217611994,-0.3,-4.80569848430515,0.7,2,2,146,148,114,251,1
15,0.7035254415446108,-4.0,-5.0,0.7,0,0,256,0,256,123,0
47,0.688249450230281,-0.5907742344173528,-3.0408867676081517,0.0,0,0,77,0,211,147,1
4,0.6859466412182067,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
43,0.6743012046526423,-2.5990915463843693,-4.746139098411005,0.0,4,0,256,194,156,110,1
30,0.6273598605866977,-3.9827595753958307,-1.4170046881224438,0.12917459706207787,0,1,8,38,74,51,1
25,0.6223738987317262,-0.9081036181756268,-1.3595076449023207,0.0,0,1,184,46,157,223,1
32,0.6193034867156273,-2.7716434080228107,-1.0,0.0,4,0,256,256,85,0,1
5,0.5981632850642435,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
24,0.5896919906504571,-3.4464661085917094,-1.0,0.6752881160511562,2,1,256,80,26,62,1
10,0.5175718849840255,-0.3,-5.0,0.7,4,0,8,256,0,0,1
8,0.5,-0.8829553224251248,-5.0,0.7,2,3,123,179,250,0,0
19,0.5,-1.4168908422062372,-2.599673737525704,0.41525875050405503,4,2,142,77,181,8,0
