trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
26,0.6531631205673758,-3.814915136808967,-1.0,0.0,4,0,42,214,40,234,1
42,0.6414184397163121,-4.0,-3.567076905351585,0.0,4,3,256,12,230,202,1
13,0.6397163120567375,-3.941312469685564,-2.4605269079492933,0.1257615705456978,1,0,118,96,115,252,1
41,0.6380141843971632,-4.0,-4.948615916921692,0.3323961830352168,3,2,256,119,100,25,1
34,0.6365673758865248,-2.3665903815831006,-5.0,0.4359897703519846,4,3,237,249,94,212,1
46,0.6361418439716311,-4.0,-3.685789762630294,0.11858333855500065,1,2,181,244,256,143,1
23,0.6331631205673758,-4.0,-2.644021543484304,0.07053960874839198,0,0,21,48,116,39,1
48,0.6329645390070923,-4.0,-5.0,0.18043062444619734,2,0,256,152,130,70,1
3,0.629163120567376,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
37,0.6290496453900709,-4.0,-5.0,0.0,4,0,255,35,255,190,1
32,0.6253333333333334,-3.901290307865784,-2.954885337943276,0.0588009044400221,4,0,22,231,0,32,1
47,0.6242553191489362,-4.0,-1.3041809860801905,0.08084926016109245,1,2,68,232,140,134,1
1,0.6200851063829788,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
10,0.6199716312056738,-3.7989925943159446,-3.6564933040915495,0.14108583559570462,1,0,24,143,142,237,1
31,0.6196879432624114,-3.774440463275948,-1.0,0.15017426502747974,0,0,222,233,120,187,1
30,0.6180992907801419,-4.0,-1.0,0.12318829860384638,4,2,8,230,0,256,1
7,0.6165957446808512,-2.447643530471793,-4.141619328071834,0.0,2,1,146,256,217,60,1
18,0.6154042553191489,-1.0137377984674423,-5.0,0.7,2,0,256,256,256,0,1
25,0.6115460992907801,-0.8740491082534243,-5.0,0.5479357676458787,2,3,189,12,74,11,1
50,0.6091914893617021,-2.4762053739944614,-5.0,0.27111532762402113,0,3,256,256,208,15,1
24,0.6065815602836879,-3.8911075176807026,-2.195790029802845,0.5074749460005289,2,0,116,242,246,192,1
22,0.6037163120567376,-3.9205624495246565,-2.9884861478287674,0.2776211066522007,1,3,237,147,102,0,1
2,0.5951489361702128,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
27,0.5828652482269505,-3.3634376220994056,-1.0,0.0,1,0,132,98,126,256,1
33,0.5752340425531914,-3.6485960600535448,-4.931595765241945,0.0,3,0,100,227,0,256,1
45,0.5673758865248227,-4.0,-5.0,0.0,0,2,8,41,256,85,1
39,0.5669787234042553,-2.399546255351358,-5.0,0.0,2,3,157,35,85,153,1
40,0.5649078014184398,-2.3448844666514566,-5.0,0.7,2,3,224,166,168,256,1
20,0.5643971631205674,-2.1598274276947995,-1.5849996412783662,0.5190090883649309,3,0,220,124,256,69,1
38,0.5637446808510638,-4.0,-5.0,0.7,2,1,212,104,216,2,1
11,0.561645390070922,-0.35061435979340416,-5.0,0.5066069436530414,2,1,106,45,90,152,1
35,0.5560992907801419,-2.4324142238696,-1.0,0.0,1,0,109,127,143,256,1
15,0.5554609929078014,-0.9275177125670298,-2.344360464500129,0.2896075401085259,2,0,198,114,0,248,1
6,0.5472056737588653,-3.1210144191772615,-5.0,0.7,3,1,82,6,99,185,0
9,0.5436595744680851,-1.9783236914505817,-5.0,0.269151850622047,3,0,64,196,14,80,1
17,0.537886524822695,-1.3123127973810695,-1.1397019740344807,0.31734466521553023,2,1,21,172,111,103,1
43,0.5309503546099291,-4.0,-1.0131918047681432,0.23632917302366294,1,3,256,128,95,55,1
12,0.5283404255319148,-2.934268914722031,-4.312887830598426,0.5381210690920658,1,0,84,13,81,160,1
4,0.5230354609929079,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
28,0.5210780141843971,-0.3,-5.0,0.0,0,2,35,36,142,0,1
36,0.5088510638297873,-0.9340158393141573,-5.0,0.7,2,3,8,193,256,213,1
29,0.5041702127659574,-1.4853784554969978,-5.0,0.7,4,1,41,64,77,256,1
16,0.5002836879432624,-1.179641308546889,-1.847198201566508,0.05596415617548259,0,0,174,96,44,148,1
49,0.5,-0.3,-1.0,0.7,1,0,8,197,51,83,0
14,0.5,-0.8469816016196594,-4.972484391756517,0.45688913402771814,2,3,204,184,40,106,0
19,0.5,-0.3,-5.0,0.7,1,0,85,228,254,80,1
8,0.49682269503546095,-3.4914662551317823,-5.0,0.6399727138420791,0,3,51,83,191,94,1
44,0.4954042553191489,-4.0,-1.0,0.7,1,1,8,122,117,215,1
5,0.48351773049645397,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
21,0.46663829787234035,-4.0,-4.9453061103014635,0.04450867085560532,0,3,112,218,221,220,0
