trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
21,0.8767110326121239,-2.071552847121484,-5.0,0.6056485060079463,4,2,79,256,256,256,1
25,0.8701507601084969,-1.885595280775493,-3.6219267729878797,0.7,1,3,256,256,0,0,1
32,0.8698353623919763,-2.367649429661876,-2.973685980254458,0.7,4,3,195,256,0,0,1
45,0.8696881767909334,-1.6921751563052614,-5.0,0.7,0,2,32,256,0,169,1
44,0.8692255934733699,-4.0,-5.0,0.7,0,2,140,95,125,149,1
48,0.8691414874156311,-4.0,-5.0,0.0,4,3,123,256,0,256,1
14,0.868689417355285,-4.0,-3.1307388191762966,0.7,0,0,229,243,0,0,1
2,0.8682688870665911,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
42,0.8671071721440736,-1.7369314852169193,-2.7440955182541296,0.7,4,3,256,95,256,95,1
10,0.8655564667045144,-4.0,-5.0,0.7,0,0,80,223,256,256,1
20,0.8633802224605227,-4.0,-1.0,0.0,1,3,123,256,256,256,1
47,0.8631699573161757,-4.0,-5.0,0.7,0,0,140,207,44,236,1
46,0.8627704535419165,-4.0,-3.9761887377615643,0.21813677944810822,4,2,217,34,3,256,1
3,0.8625707016547868,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
17,0.8612670577598351,-4.0,-2.393684553375238,0.4280171256501854,0,0,194,0,256,256,1
26,0.8599003343215795,-4.0,-1.0,0.7,0,2,174,0,248,256,1
41,0.8598372547782753,-1.6683942469876163,-5.0,0.7,0,3,256,193,256,107,1
27,0.8597216089488844,-4.0,-3.08470192718325,0.7,0,2,256,0,256,227,1
15,0.8562522340671586,-4.0,-3.7816727882024397,0.7,4,3,154,256,0,0,1
22,0.8551483420593367,-4.0,-2.677413310724803,0.0,4,3,193,256,0,177,1
29,0.8506066149414411,-4.0,-5.0,0.7,1,2,129,115,256,256,0
49,0.846590550684413,-4.0,-4.5082746130459395,0.0,2,3,142,0,256,15,1
43,0.8438781303223364,-2.9759134505178113,-2.446901280099084,0.7,1,3,216,135,153,36,1
33,0.8432893879181649,-4.0,-3.849215031729851,0.46159835812257966,0,3,245,256,156,67,1
4,0.8430265564877311,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
6,0.8411026304169558,-4.0,-1.0,0.0,1,3,256,82,0,64,1
19,0.8395571816060051,-4.0,-5.0,0.7,0,0,256,0,0,0,1
31,0.8342374734540255,-4.0,-5.0,0.7,4,3,256,256,0,141,0
11,0.8296852330789126,-0.3,-5.0,0.0,0,0,121,0,256,256,1
9,0.8267940873441411,-0.3,-5.0,0.0,4,3,187,256,256,256,1
37,0.8242919321264114,-4.0,-1.5208905368808643,0.0,1,3,193,256,256,156,1
1,0.8236821632078051,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
36,0.8170798376753086,-4.0,-1.0,0.2033204858176573,0,1,126,194,33,245,1
39,0.8068714649172607,-4.0,-1.309555513773935,0.6963285326737375,4,3,256,256,0,0,1
24,0.8047898399882252,-3.516714593562728,-5.0,0.0,4,3,8,256,0,0,1
16,0.7980823818835552,-0.3,-2.346080836034853,0.0,0,1,210,0,256,102,1
38,0.7942660695136566,-3.280643991921424,-3.140592245644264,0.7,0,1,11,0,125,82,1
8,0.7936247608233984,-3.7679614130601795,-1.12876226755705,0.7,4,1,256,256,132,238,0
18,0.7916482684665362,-4.0,-1.0,0.7,0,3,109,256,27,1,1
40,0.789724342395761,-2.7365102371892203,-3.5282079262251385,0.0,0,0,217,128,38,150,1
28,0.7814714354801404,-0.3,-1.0,0.7,1,0,256,0,8,238,0
5,0.7806724279316217,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
50,0.7416367038835973,-0.3,-1.0,0.0,4,2,8,202,256,252,0
35,0.7151906053533507,-0.3,-3.535363947457069,0.7,3,2,205,256,0,19,1
30,0.7048823566517378,-4.0,-1.4332806233865076,0.490307218955131,4,1,140,21,147,256,0
13,0.6444679240522299,-4.0,-1.0,0.7,0,0,8,0,256,256,1
12,0.6243508063668285,-0.3,-5.0,0.0,0,0,256,0,256,0,0
7,0.5376795138669863,-4.0,-2.50982530430486,0.25423288237761976,3,2,8,100,15,180,0
34,0.5,-0.4453906486503558,-1.0,0.3921601382666723,4,3,256,256,142,256,1
23,0.5,-0.3,-1.0,0.290911400295886,0,0,61,0,256,35,1
