trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
31,0.65759534583064,-2.7646746798503967,-2.8666351172946363,0.13603142882618263,2,3,256,50,38,193,0
23,0.6271493212669684,-2.4213809432437183,-4.436149391370654,0.5579293336408516,2,1,8,201,206,71,1
28,0.6166989872872225,-1.846753375111077,-4.256170033078852,0.40470837469330195,4,0,247,216,56,209,1
25,0.6162680456798103,-1.8671673600042111,-1.1731331142840413,0.0028584355899187513,1,1,201,235,1,59,1
10,0.6146951088127559,-2.103942079939171,-1.787574317402982,0.0,0,3,232,61,126,138,0
35,0.6128851540616247,-1.6738303447985858,-3.0448662413789744,0.6566168582762894,4,3,214,230,242,205,0
3,0.6121956474897651,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
41,0.6103641456582634,-2.6316176628023538,-3.8581087657232196,0.6687175322778509,3,3,256,247,0,256,0
42,0.6084249084249085,-2.616731716022814,-3.6838614569220214,0.28677176134372945,3,3,97,61,0,185,0
4,0.6059469941822884,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
30,0.6052790346907994,-2.361837601249028,-4.75305767840213,0.10801912548462778,3,1,256,175,157,114,1
14,0.6046541693600518,-2.905802804066542,-4.540601263883647,0.0,2,1,174,219,0,200,1
48,0.604029304029304,-2.5390928101196586,-2.718392737387634,0.5710852457107515,3,3,197,6,244,256,0
33,0.6011850894203836,-1.8545912223645957,-4.851916798281097,0.5345970319177397,0,3,83,83,209,235,0
20,0.5999138116785175,-1.7454042620848798,-1.396097750490306,0.29296247173558204,1,0,16,54,68,27,1
16,0.599396681749623,-2.532501511153327,-2.2266558349528385,0.17398350170090382,1,3,246,198,86,161,1
12,0.5990303813833225,-2.7563892222738575,-2.6615728851538822,0.5905551863227172,1,2,164,103,169,67,1
22,0.5979099332040508,-4.0,-4.720484435097704,0.5856771560238029,0,3,185,52,86,106,0
13,0.5977160094807153,-2.0737077137697826,-3.9705710940331507,0.5395752168764711,1,2,103,51,152,244,1
26,0.5974789915966386,-2.6844888137438723,-1.3110498029317137,0.39195695359523436,0,0,8,195,148,149,1
1,0.5969403145873734,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
6,0.5959491488903254,-3.034360428562718,-5.0,0.21748024698131915,0,0,33,0,256,235,0
21,0.5959491488903254,-4.0,-4.569251959038384,0.24051556384692976,3,0,58,69,101,172,1
7,0.5944085326438268,-1.3125794241680384,-5.0,0.6166768867348166,3,2,87,63,0,21,1
49,0.5932988580047404,-2.9885279940397034,-2.934555592988796,0.09237326030186455,3,3,195,135,0,236,0
43,0.5923507864684335,-2.4071701431518164,-2.6024654964718468,0.04983502002233076,0,3,249,248,32,36,0
27,0.5922430510665804,-4.0,-2.481866158090993,0.025955967648885414,2,0,254,134,81,51,0
36,0.5904654169360053,-3.1232044363505933,-1.8653585672615556,0.549991817950715,1,3,256,144,249,223,0
15,0.5895496660202542,-3.9088788124551486,-1.1653572188457875,0.0,0,0,181,154,256,56,1
9,0.5885585003232062,-3.9264924177012968,-1.7112186339923134,0.296913119790096,2,2,29,28,256,193,1
5,0.5849709114414997,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
29,0.5841198017668605,-3.250476833435008,-4.213157953162963,0.5864481374213305,1,0,143,106,240,148,1
38,0.5826330532212884,-2.027200598514548,-1.2340188428042902,0.4870981354573387,4,3,44,5,109,27,0
50,0.5822021116138764,-2.3989310033927245,-2.7856270565754997,0.286326361734805,1,3,63,14,11,162,0
45,0.5807153630683042,-0.4357066923184352,-2.9534888212145294,0.3938516362585398,0,0,256,3,0,223,1
39,0.5787330316742081,-1.4454392457385956,-1.545677775851622,0.29421190675017567,0,3,206,214,218,255,1
19,0.5780650721827192,-3.602523199497692,-1.5300463247655647,0.44494839100600925,2,0,18,115,139,251,0
18,0.5736263736263736,-2.4030287159940067,-4.505040713328567,0.0,4,0,177,249,43,100,0
34,0.5726998491704374,-3.3378316409309425,-1.4838977482293858,0.09624095908942949,3,3,19,113,17,31,1
37,0.5722473604826546,-3.9998646297087896,-4.134674778842593,0.061345789025763424,4,0,98,160,142,62,1
2,0.5678517560870502,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
46,0.5641887524240465,-3.658855331129752,-1.5795288586389913,0.015870548717021794,4,1,229,91,7,211,0
24,0.5475759534583065,-2.4426591314457275,-4.5100518362333935,0.4081812207077809,2,3,8,94,200,56,1
32,0.5439668174962293,-2.9751843550179364,-1.0,0.2564274052173001,4,2,256,124,82,130,0
47,0.5262982115923293,-3.0746485787281794,-1.3917473485602234,0.4432844672869974,1,3,225,134,61,99,0
40,0.513887093298858,-2.0966325295165245,-1.0943052043844959,0.5372445992803193,0,1,19,252,167,244,0
44,0.5080801551389786,-3.656584575708573,-2.682718666190611,0.4852287499586239,3,1,115,113,60,0,1
17,0.5,-0.3,-1.1264345955200303,0.016363624455238156,1,2,25,24,0,167,1
8,0.5,-0.3,-5.0,0.7,4,0,8,256,256,0,1
11,0.5,-0.983353826549636,-3.897902601844997,0.6188723212348478,3,2,256,0,221,47,0
