trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
26,0.6607659574468084,-0.8403044091839589,-5.0,0.3554079633419646,0,0,223,0,256,174,1
2,0.6589078014184397,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
3,0.6571489361702127,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
44,0.6539999999999999,-0.9356827226621975,-3.4066333400741664,0.33604953071245014,4,0,256,49,59,157,1
29,0.6511063829787234,-3.3774526032292833,-5.0,0.42832908103145456,0,0,116,65,0,250,0
40,0.6508510638297873,-3.6647479735604573,-2.3200710912367444,0.3660025343288087,2,2,230,122,114,0,1
41,0.6495177304964539,-1.8829732126716454,-2.4236012687278743,0.46659504712118505,0,0,184,0,166,151,1
7,0.6494893617021276,-1.7179708673021024,-2.9272028584353293,0.5055317588907012,0,3,256,171,117,5,1
48,0.6489219858156028,-2.6559264066576755,-2.7274654723013128,0.3327737587339713,0,0,23,70,159,169,1
45,0.6485248226950354,-3.4246207974596596,-4.591836280058386,0.12465281030609933,2,1,256,181,183,11,1
27,0.6457446808510638,-3.710014948495754,-5.0,0.08294000942947144,0,0,75,148,193,110,0
28,0.6423120567375886,-2.1905146014433337,-5.0,0.34029893293433694,0,0,246,67,256,111,1
38,0.6410921985815603,-1.5552707657006106,-3.546138069533685,0.13307486875573643,0,1,241,102,230,78,1
1,0.6392198581560284,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
35,0.6391914893617021,-2.9787121983372873,-3.8292085696339813,0.4780326714750887,0,0,167,60,251,147,1
30,0.6380283687943262,-3.8075165303101284,-5.0,0.44610305130035566,1,0,28,186,0,234,1
21,0.6379290780141843,-0.9051493177298253,-2.1683347450548887,0.44836683225582746,1,3,107,243,153,0,1
10,0.6360992907801418,-4.0,-4.0137551972107515,0.3789246748669524,2,2,44,35,256,0,1
9,0.6350212765957446,-0.882203740752685,-2.097109370712018,0.7,0,1,256,10,1,97,1
25,0.6340851063829788,-2.9121258113967077,-1.0,0.4445555269753057,0,3,62,0,224,0,1
31,0.63354609929078,-2.99338454682685,-3.332886072524042,0.40413158732538823,4,1,193,83,185,0,1
15,0.632127659574468,-1.2338191884732441,-4.056764908974909,0.7,4,1,252,0,124,75,1
43,0.631390070921986,-1.5772821117761562,-4.861142352154746,0.6468421815472513,3,3,256,29,43,24,1
46,0.6301418439716312,-1.2438185536369089,-4.4457660758881845,0.08519132980701616,0,2,147,233,235,14,1
33,0.6292482269503545,-0.933277823553865,-2.2116793990072083,0.4817303044751436,0,0,232,4,256,256,0
14,0.6216879432624114,-2.1040846252741705,-2.9919208711408967,0.7,1,2,213,256,244,9,1
19,0.6195035460992908,-4.0,-5.0,0.2675606064197773,1,3,143,149,37,50,1
4,0.6176595744680852,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
36,0.6153900709219858,-2.0636163131069107,-5.0,0.23312337791164003,0,1,175,83,24,0,0
20,0.6141985815602837,-1.3372521307301262,-5.0,0.46250241977191037,0,3,182,10,181,139,1
18,0.6093758865248227,-2.436749051395766,-1.0,0.6287595858336004,0,0,135,193,156,82,1
8,0.6016312056737588,-1.5723018879056516,-3.9631157259469196,0.011152534648277597,0,1,250,226,51,226,1
16,0.5978014184397163,-2.6507336603178215,-1.0,0.7,0,2,152,48,51,0,1
5,0.5977446808510638,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
37,0.59,-2.1997087983959007,-5.0,0.6785898120626017,4,1,197,103,152,0,1
17,0.5823404255319149,-3.4894046214458894,-5.0,0.48751320701126966,0,1,238,27,216,250,1
23,0.5809787234042554,-0.9895675162341488,-3.702093625367585,0.7,4,0,53,65,256,139,1
11,0.5802411347517731,-2.7777142816708014,-5.0,0.7,4,0,8,256,256,0,1
13,0.5686099290780142,-0.9419810458930598,-1.0809837180922064,0.0,4,2,20,0,135,235,0
32,0.5608936170212766,-2.9939309111643224,-1.639189714010512,0.3848023483869617,0,3,227,84,0,119,0
6,0.5480567375886525,-2.3093445810139963,-1.8225613995234786,0.6112567496867424,0,2,256,83,63,9,0
34,0.5442978723404256,-2.3903723271647404,-1.0,0.5644575404888179,4,1,72,16,54,0,1
22,0.5433333333333334,-3.6834637576677527,-3.203022066131119,0.7,0,2,68,98,141,117,1
24,0.5252340425531915,-3.8484936006733164,-4.738704688053929,0.6291561376785847,2,2,132,243,105,233,1
42,0.5222269503546099,-4.0,-3.799462490049341,0.19516228138590047,0,0,79,0,38,203,0
50,0.5048085106382978,-0.38956360337047924,-4.958087331100981,0.38503092546726,2,2,66,207,207,152,1
49,0.5031914893617021,-0.423814664330437,-4.636831142954348,0.6307454723129406,0,0,194,69,144,103,1
12,0.5,-1.312222191441489,-2.7214015824854476,0.0,4,2,33,256,53,254,0
39,0.5,-0.696772306858052,-4.2573705994504545,0.3662107577000651,0,0,94,73,202,186,0
47,0.478936170212766,-0.943792489168783,-2.6855372702829716,0.7,1,0,256,242,17,119,1
