trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
8,0.6138439716312057,-0.3219194577906874,-1.4931253633455013,0.5861603009023805,2,1,124,215,255,0,1
7,0.6086950354609929,-1.4145091744152114,-3.6277760829278423,0.5455412921007404,1,1,68,209,220,0,0
22,0.6065106382978723,-0.731490143724856,-1.9363495787396214,0.5745054999696015,2,1,131,217,182,135,1
43,0.603645390070922,-1.5519248994854835,-4.119728972545465,0.3306023794360784,2,1,57,225,186,158,0
6,0.6027092198581561,-2.0380260651381095,-2.190505039575836,0.6996472786813145,1,3,202,188,166,7,0
44,0.5996170212765958,-1.1888595212079656,-4.348170194480181,0.12254409867151823,4,1,78,56,213,0,0
11,0.5995319148936171,-0.487587455312104,-2.146429014275798,0.33988645450384314,3,1,240,166,255,28,0
46,0.5987092198581561,-0.3,-1.4420279330640438,0.7,3,1,102,171,216,0,1
42,0.5969219858156029,-0.3,-1.1988903132244024,0.14522699390309213,0,1,126,219,209,214,1
48,0.5922978723404255,-1.7317381996702976,-3.8198374314048498,0.7,1,1,91,231,162,87,0
40,0.5922127659574469,-2.264540644614058,-2.3023660030714446,0.4019982106884871,2,1,213,42,216,78,0
35,0.5903404255319149,-0.563049524487846,-1.9007931181386808,0.5584520135288229,3,1,132,241,236,165,1
3,0.5848652482269504,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
10,0.5832482269503546,-1.7059868166252907,-2.993665313927467,0.4170577755827433,3,2,49,156,4,256,1
47,0.5823262411347517,-2.3920364320243337,-4.189070665467832,0.7,1,1,60,245,249,51,0
1,0.5821985815602837,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
49,0.5818581560283688,-0.9493816490580418,-3.4049027296304386,0.22400174765307132,4,1,235,79,221,236,0
20,0.5809787234042554,-2.510292725104194,-4.544960193404881,0.3347389910015195,2,2,99,212,49,84,0
2,0.5800141843971631,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
34,0.5790780141843972,-1.625276639872252,-1.7754572288727277,0.39419880885039005,1,1,132,115,234,86,1
39,0.5771489361702128,-0.37147301563778923,-1.6576325218398793,0.18686651488613007,2,1,142,230,256,92,1
4,0.5763262411347518,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
29,0.5752198581560283,-2.023925766166816,-2.5788598380868857,0.4998038928865573,1,1,160,75,219,106,0
30,0.5749078014184398,-1.071788910997563,-3.238915479976418,0.509917766637114,1,2,214,245,226,0,1
38,0.5742553191489361,-0.3,-1.4970688763636995,0.33706397252531695,2,0,114,132,208,132,1
50,0.5718439716312057,-3.491141359223329,-2.161548483911516,0.5694699560697357,1,3,211,14,123,161,0
9,0.5683829787234043,-2.477196490594993,-1.022960911622563,0.6920098459058726,2,3,254,137,248,253,1
5,0.5683262411347517,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
24,0.5679290780141844,-2.92993460494661,-2.3577942080199863,0.7,0,1,25,201,241,0,0
21,0.5673617021276596,-2.599249594218933,-1.0,0.5352580392377204,4,2,121,199,253,0,1
18,0.565886524822695,-4.0,-5.0,0.47319626244833635,0,1,118,84,162,0,1
13,0.5602978723404255,-1.875357836824357,-3.4494950526099313,0.0,2,1,211,15,256,0,1
19,0.5599858156028369,-0.3,-1.0,0.3685817771804538,2,1,244,205,247,39,1
16,0.5588794326241135,-0.3,-3.455935403652094,0.05124429715810974,4,1,116,177,34,166,1
26,0.5585106382978724,-2.165386816155861,-1.37789313827051,0.7,2,1,12,206,239,226,1
27,0.5578865248226951,-3.2545723831317996,-2.814215558516348,0.6304789227370149,2,1,108,195,59,128,1
17,0.5558439716312057,-1.9765439181947984,-1.8459444234503408,0.6304274613946299,2,2,227,196,85,178,0
45,0.5533191489361702,-2.167055141611743,-4.182897726242651,0.6810953159451413,2,1,59,248,252,88,1
12,0.5125106382978722,-0.6408267800914214,-1.7865508743917458,0.005107666295546455,2,2,109,78,253,241,0
23,0.5078439716312056,-0.3,-4.184721509502457,0.5873809747605019,3,0,21,214,221,180,1
15,0.5,-0.3,-2.125245498423668,0.14579474622658917,4,2,214,256,28,11,0
14,0.5,-0.3,-1.0,0.7,3,3,256,256,189,78,1
33,0.5,-0.4218059345067382,-1.0,0.5682567859570696,2,1,237,202,155,51,1
32,0.5,-0.8685536029597669,-2.6088413285976833,0.20729476252797527,3,2,96,219,207,57,0
31,0.5,-1.3059816815985656,-4.602237281014686,0.2156040420255756,1,2,214,235,89,27,0
28,0.5,-0.3,-1.0,0.7,2,2,40,256,256,256,1
25,0.5,-1.36992294092091,-1.1549760217017093,0.4703959192945645,2,1,66,159,243,0,0
41,0.5,-0.856953756158068,-2.143542431882249,0.6825000681815924,2,2,117,184,195,136,1
36,0.5,-0.3,-1.2146095999365878,0.5834409463944021,2,1,82,221,202,76,0
37,0.5,-0.4120345271486632,-1.5966229103898515,0.6008736727509676,3,0,175,54,88,61,1
