trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
26,0.6435574229691877,-1.5760654159923222,-5.0,0.7,0,0,155,206,20,0,0
24,0.643040293040293,-2.6548411480242935,-5.0,0.7,1,2,48,188,163,41,1
44,0.6409286791639733,-3.797947274494499,-5.0,0.7,0,2,78,166,248,0,0
18,0.6381706528765352,-0.6785239159112213,-5.0,0.10961652530586047,0,3,253,256,208,50,0
13,0.6341844430079724,-3.2919906700662627,-5.0,0.1779626211021955,1,3,110,4,16,14,1
27,0.6286468433527257,-0.3,-5.0,0.13159392379809504,1,3,200,256,256,19,0
39,0.6267399267399267,-0.3,-5.0,0.06029359772564205,1,3,21,243,253,134,0
49,0.6261689291101055,-2.656215416562767,-5.0,0.7,0,0,82,195,76,0,0
45,0.6256302521008403,-1.9375449924414214,-2.3990994842546383,0.0,0,1,243,185,256,13,0
21,0.6177871148459384,-0.8262337796880344,-5.0,0.0,2,3,220,198,107,22,0
35,0.6174854557207499,-1.3724979028402116,-5.0,0.5495707980174275,0,0,165,178,0,0,0
9,0.6156108597285068,-1.6171288224003653,-5.0,0.1891473233178489,0,0,119,0,0,55,0
41,0.6150290885585004,-2.7724616934333732,-5.0,0.4782296945886758,0,2,187,63,134,28,1
23,0.6129174746821805,-3.4778021383371445,-4.463899052636369,0.0,0,3,250,57,188,15,1
30,0.6126373626373627,-3.599537676314804,-2.6769111648181907,0.2796281650015734,4,1,119,255,110,0,1
38,0.6109566903684551,-1.7518213047098707,-4.083174957991361,0.7,0,3,173,234,169,6,1
15,0.6107196724843784,-0.8294301498626742,-5.0,0.0798078154351855,2,0,148,0,207,0,1
28,0.6100948071536307,-2.3698234183497067,-5.0,0.0,0,3,23,74,90,0,0
48,0.6012497306614953,-0.8438982041462317,-3.059505840962401,0.0,0,1,178,256,152,12,0
33,0.6000323206205559,-0.8953994002151817,-5.0,0.0,0,1,62,76,53,202,0
7,0.5984378366731308,-3.110877234189214,-4.696259397093057,0.005041556299852968,1,3,233,51,27,133,1
17,0.5980930833872009,-4.0,-4.961477150932897,0.0,1,3,125,0,247,132,1
2,0.5954858866623572,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
20,0.594731738849386,-3.202666157805525,-5.0,0.5825836960270705,0,3,232,100,70,54,1
4,0.5946132299073476,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
5,0.5944516268045681,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
42,0.5943546649429002,-1.8922551251129902,-5.0,0.7,4,2,33,237,26,23,1
10,0.5914350355526826,-3.700118955180333,-1.1656407699950506,0.05226277481543109,2,2,254,88,253,143,1
3,0.5886770092652445,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
1,0.5868455074337428,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
14,0.5858112475759534,-2.4899686214212657,-5.0,0.4664031472168698,2,1,98,256,38,0,0
40,0.5850140056022409,-0.3,-5.0,0.15419987725361214,0,1,183,205,4,76,1
37,0.5849709114414997,-2.8071126442188485,-3.8356015951771467,0.0,0,3,181,256,0,0,1
36,0.5758995906054729,-1.6072628504553164,-4.752647323690958,0.6967735260529675,4,2,161,188,151,237,0
50,0.570706744236156,-3.311969410044894,-4.203628505171831,0.7,2,2,48,250,160,27,1
34,0.5685089420383538,-2.4219218269123024,-5.0,0.7,0,1,71,46,196,27,1
6,0.5656647274294333,-1.4996832162876714,-1.000429333179802,0.03490818961464864,4,1,86,49,156,70,0
25,0.5654923507864684,-2.014748615696228,-5.0,0.7,4,1,73,109,74,13,0
31,0.5543309631544926,-0.3,-3.287675897983725,0.5001525154029612,0,1,245,2,22,0,0
22,0.5540077569489334,-3.858765376117265,-5.0,0.2473024659132795,4,3,41,24,252,59,1
16,0.5508187890540832,-3.3066855735587866,-1.0,0.5647878691198469,2,1,132,0,210,30,1
8,0.5480607627666451,-2.77842796380748,-1.0010856728226933,0.21178330237134296,3,2,35,238,220,250,1
11,0.5408963585434174,-3.241781505788981,-1.0351408475920314,0.5590808801731313,0,1,254,190,6,11,1
29,0.5397435897435897,-0.5399004991464964,-2.91491063948617,0.17358441816531353,0,2,188,50,252,86,0
46,0.5345507433742727,-3.5432579360963152,-5.0,0.0,0,1,244,161,256,110,0
12,0.530176686059039,-0.3,-4.384240314848645,0.5274859789346068,3,0,123,0,245,240,1
19,0.5075307045895281,-1.4169535708930274,-4.670329178404186,0.663540642859693,0,1,207,255,59,182,0
43,0.5,-1.1619738543004354,-4.943312941890248,0.7,0,2,167,43,57,136,0
47,0.5,-0.7538512963678614,-5.0,0.7,0,2,118,128,188,24,1
32,0.4399159663865546,-3.9876625801206163,-2.331549967661722,0.7,4,1,148,70,113,124,1
