trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
6,0.6302628743805214,-3.6006082558080816,-2.093580942489349,0.2554849783281228,1,3,79,184,256,17,0
24,0.630176686059039,-2.090985248506896,-3.666695113911415,0.39106561348508984,2,1,169,33,248,38,0
14,0.6257164404223228,-2.8806075123592496,-1.6565996865958188,0.287406925672386,4,1,157,112,46,167,1
45,0.6255440637793579,-2.4344509536251966,-4.120355466821625,0.6630939905799085,2,2,46,77,0,74,0
10,0.6241542770954536,-4.0,-4.572127157637826,0.3958635651726795,2,0,57,256,188,0,0
21,0.6230230553759966,-2.0383000319803264,-2.25624530948793,0.25602724876515254,1,3,173,134,236,16,1
37,0.6221827192415429,-1.7615487150745839,-2.7440939764840526,0.12286761926723189,1,2,80,85,160,0,0
23,0.6199202758026288,-3.5183810578025247,-4.3462192180170565,0.3633993105441152,3,2,158,128,232,59,0
8,0.6196186166774402,-4.0,-5.0,0.7,4,0,8,0,256,0,1
22,0.6187998276233571,-4.0,-1.479083336040305,0.24836993790229073,3,2,203,160,205,204,1
3,0.6170976082740789,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
29,0.6170114199525963,-4.0,-2.8393482597961843,0.05717789545983128,2,3,200,254,68,252,1
42,0.6166451195862961,-2.088507121059071,-3.3760440345791993,0.11249039563776411,2,0,47,3,49,30,0
12,0.6164081017022193,-3.0672551142455227,-3.937596265404352,0.22676730089675098,0,0,137,231,256,0,1
33,0.6161926308985132,-4.0,-2.0713775747321526,0.14857100957161845,1,0,150,147,2,137,1
35,0.6138224520577462,-3.5058314821921845,-4.413535810218637,0.6830757898249713,3,0,244,43,226,6,0
46,0.6123572505925448,-2.044975254208948,-5.0,0.5328215119274695,0,1,255,245,166,42,0
50,0.6110644257703081,-2.343523122284508,-4.713213700673759,0.0376353223506091,1,1,215,91,0,117,1
28,0.6108489549666021,-2.88286830994754,-3.1113011343277286,0.30558598266192283,4,1,83,178,0,202,1
43,0.6092975651799182,-2.2220043009980754,-2.8194174221785775,0.005992592259953326,0,2,17,13,256,84,1
9,0.6091036414565827,-4.0,-4.55850892381018,0.15454669209392913,0,2,73,50,256,245,1
41,0.6084572290454644,-2.6812507873708378,-1.092512151357571,0.3353283208415602,4,1,255,42,11,164,1
48,0.6069704804998923,-3.7410045287243534,-3.601749791885686,0.5757872229584087,4,2,216,124,255,0,0
18,0.6061732385261798,-4.0,-4.402859858898329,0.6563997525601,3,2,10,233,111,164,0
36,0.6041478129713425,-4.0,-1.808293312602442,0.01912528460552555,3,2,87,202,0,200,1
47,0.6040400775694894,-2.4247885937491906,-2.169622967256911,0.6403837574791874,4,1,203,37,0,0,0
27,0.6039646627881923,-1.7157314220162392,-1.6152465823389153,0.3302444730204622,1,1,215,110,256,11,0
11,0.6030920060331826,-2.631870078945805,-2.615979114959376,0.5601074576095183,3,2,138,243,247,11,1
2,0.6029196293902176,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
30,0.6018207282913165,-2.4132484469904094,-3.1883850984186477,0.20093671141967775,0,3,37,75,256,0,0
19,0.5975544063779359,-4.0,-2.5322480076198,0.0,4,2,225,149,40,22,1
31,0.5927494074552898,-0.3,-1.8198455068416877,0.5799854125792976,3,1,246,204,256,182,1
20,0.5910040939452704,-4.0,-2.939763238686712,0.0,1,2,152,107,246,14,1
15,0.5886123680241327,-2.0466926740323617,-5.0,0.046248088739207396,4,2,213,178,140,175,1
7,0.5876750700280112,-0.3,-2.0562290383519017,0.03532347902459503,3,3,234,90,256,114,0
49,0.5869101486748546,-2.994062139588041,-5.0,0.27767977148453843,4,0,9,109,0,126,0
4,0.5868670545141135,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
39,0.5862637362637363,-3.3560543042076025,-3.4626002039223795,0.031013916405724935,1,3,8,201,152,37,0
5,0.584173669467787,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
1,0.5826222796811033,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
38,0.5764274940745528,-3.405178015835015,-1.8555904303122994,0.5047205901817259,4,0,8,50,189,28,0
32,0.5756733462615816,-0.3,-4.580189875596155,0.10556580197378813,3,2,243,224,52,215,1
44,0.5612260288730877,-2.5714369363912115,-1.9370955376786956,0.2826048255604075,2,2,131,209,256,225,1
16,0.5588558500323206,-2.9720251563507345,-1.0,0.5449316123946945,3,1,184,73,121,132,1
25,0.5538569273863392,-3.298943173313134,-1.0,0.2946866474447117,0,2,75,225,256,235,0
13,0.5357358327946564,-4.0,-4.970819288943832,0.4618965556850677,0,1,51,256,256,136,0
26,0.5143180349062701,-3.712512113777046,-2.079125571217139,0.2878651932315559,3,1,226,136,243,170,0
17,0.5,-0.6524487264622136,-1.2788900928720075,0.5767195820857347,1,2,228,20,61,21,0
34,0.5,-0.3,-3.975700143011283,0.39771215562315687,0,2,229,40,256,0,1
40,0.5,-0.7894049742746478,-1.0236695754900134,0.24459211491761212,4,1,83,29,80,104,1
