trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
32,0.8377453217708809,-2.5128125845675897,-4.228686698641609,0.18351826273115146,1,3,256,256,256,133,1
41,0.8322822012917859,-2.3858838646225076,-4.651998489462623,0.2040604265686505,4,0,221,256,176,205,1
46,0.8299863076220904,-0.9416638921752907,-4.003921263347962,0.2620076117660948,0,3,120,219,128,256,1
47,0.8289904983195717,-2.650376050460663,-3.8761543804821366,0.04511460233614558,2,2,256,256,256,256,0
24,0.8286309005158845,-1.6136241777989389,-2.491733918463303,0.11722225588682232,3,1,148,217,11,29,0
35,0.8276765832676377,-0.3,-4.192843359807238,0.4621864248552702,3,1,256,256,256,256,1
49,0.8272478320401643,-3.0768351197930306,-4.33147278057328,0.13722082588209203,3,2,224,194,84,39,1
29,0.8269020649212343,-2.3383165710562164,-3.0926765084570187,0.08940827232797023,2,2,256,256,256,204,0
31,0.8263764989004606,-2.6790583113759903,-1.9658796778107859,0.16467320112754552,2,2,256,27,169,256,1
25,0.8251870600113411,-1.295619860952438,-2.695698204903686,0.39726197005776515,2,1,256,256,256,94,1
28,0.8246061712515387,-2.451929237653924,-2.666700599649719,0.45907410128443277,4,2,256,0,68,93,0
37,0.8245093564582383,-1.427308365614643,-4.381290596995088,0.2947525849133123,3,1,256,0,256,256,0
23,0.8244540337192094,-1.1342273916385768,-1.9592620776943352,0.4587927835177512,1,1,192,162,256,120,1
30,0.822171970734271,-1.7342273361947926,-3.7064525291698094,0.4445903470451352,1,2,233,5,256,240,0
19,0.8216740660830117,-3.150331568769993,-5.0,0.5445606667682524,0,0,185,256,256,256,1
39,0.8213006375945673,-2.8844457851368777,-1.2579247782912644,0.07980098081152108,3,2,8,0,0,236,1
3,0.8197377702170034,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
33,0.819627124738946,-2.679771733780873,-4.105645456845662,0.47234366430850977,2,3,256,0,0,157,0
38,0.8194749872066166,-2.7280772314287596,-1.1910813931009816,0.5128705415176723,2,0,80,0,218,256,1
7,0.8169163105265341,-1.317470895698193,-1.6466825466879276,0.014512298760776862,0,1,231,146,256,207,1
20,0.8163769138210033,-1.765789873613266,-5.0,0.5418976706005905,3,0,256,165,256,256,1
15,0.8139842053580073,-2.5192642624282353,-2.0233747394050554,0.5707454436022269,2,2,254,256,9,60,1
34,0.8119372640139415,-3.898465661422774,-3.9065280223371905,0.49856495193176237,3,0,256,0,256,145,1
43,0.8118819412749124,-2.232346596750353,-1.759075037909048,0.16960824320520715,0,2,8,0,256,52,1
4,0.8104020580058918,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
1,0.8098903226698754,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
42,0.8060315616226159,-1.778153401388547,-2.8205053148808696,0.6152307927241756,3,2,256,207,0,87,0
48,0.8048974454725253,-2.7378954022617856,-3.258260296133721,0.15316506047660824,1,1,67,56,129,0,1
14,0.8036250224748628,-3.474371692281788,-3.4655951243878036,0.7,0,0,51,256,58,239,1
45,0.8014259435984675,-2.063666759702887,-4.221961745318662,0.5891605123892585,1,1,234,3,206,0,1
17,0.8004163036111918,-2.1833130240864933,-1.0,0.7,0,0,125,0,0,256,1
10,0.7990194044507144,-1.8221080761297652,-1.6833513897582928,0.6371290410888425,2,0,106,142,0,254,1
5,0.7975671825512081,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
8,0.7942616488942367,-4.0,-2.7470570755899733,0.5958164970684214,1,2,199,216,213,188,1
50,0.7905411946945493,-3.1140251369685314,-4.459680729156567,0.5960777054572362,3,3,256,256,256,256,0
21,0.7884665919809689,-3.0235960284013013,-1.0,0.7,4,3,111,256,0,256,1
26,0.7861153755722448,-1.9596291393479905,-2.4518379706526563,0.20542428929578363,0,0,8,256,256,234,1
2,0.7846631536727383,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
6,0.7823603446606642,-1.1141063042871404,-5.0,0.3152713853733678,1,0,8,0,135,103,0
40,0.7792138638784006,-1.3620966945194417,-2.1122987573240577,0.0,1,2,256,34,221,197,1
13,0.7722777754726635,-1.4035584553677491,-5.0,0.7,4,3,8,256,0,0,1
16,0.7558330912963501,-2.924297179836919,-5.0,0.7,0,0,8,1,256,109,0
9,0.7439179563780202,-4.0,-1.7801764781821854,0.09375751050639132,3,3,256,54,174,35,0
36,0.7308687053095999,-0.3,-3.722549620602117,0.3061356094028639,3,0,8,256,256,0,1
27,0.7302532398379044,-0.3,-2.7470626426313483,0.16156141435038715,1,0,256,256,0,16,1
44,0.727846700690151,-0.3,-4.598377977577204,0.04922826760147942,1,2,256,202,256,215,1
18,0.6953169301412112,-4.0,-5.0,0.7,0,0,8,256,256,256,1
11,0.5851555260500948,-0.3,-1.0,0.09665928217769745,2,2,169,256,0,56,0
12,0.5,-0.3,-1.0,0.06325373504840694,1,0,256,54,256,256,1
22,0.5,-1.3589134251830841,-1.0,0.7,0,0,159,256,256,49,1
