trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
44,0.8312863919892675,-2.3271690824952627,-4.538504404225631,0.0,3,2,176,146,0,0,1
26,0.8308853021313084,-2.1597884198953405,-1.4962854713470972,0.08399712752941141,4,3,148,256,152,55,1
9,0.8300139689916047,-1.6015124968957055,-5.0,0.0925491535900086,3,2,73,29,256,208,1
38,0.828935175580543,-2.467213957245318,-5.0,0.09623184742120387,4,3,256,0,0,32,1
39,0.8285479164073414,-0.3,-5.0,0.44248993621473365,0,1,120,256,26,245,0
49,0.8276489218981231,-2.918413790578209,-5.0,0.0,1,0,256,47,256,0,0
37,0.8274276309420079,-2.2246773074369433,-4.84021244860586,0.0,2,3,103,0,0,256,1
32,0.8272340013554071,-0.3,-3.0500045592754543,0.006293882871917605,3,1,256,100,129,0,1
50,0.8271371865621067,-1.4926835954421538,-5.0,0.0,2,0,256,212,256,0,1
40,0.8269158956059914,-1.201361758110603,-3.8808499875241234,0.0,4,2,185,0,43,256,1
23,0.826819080812691,-2.215629000676497,-5.0,0.270146945675234,2,0,124,190,212,37,0
4,0.825864763564444,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
16,0.8256296419235716,-2.6762592116741892,-2.354566444866932,0.35176865873953134,2,0,201,169,251,72,0
22,0.8254775043912425,-1.8426987568323536,-3.046752589560764,0.22271154161425785,4,1,224,186,220,106,1
41,0.8254636737064852,-0.3,-4.977126092669206,0.11456708240402569,4,1,123,160,168,256,0
29,0.8215772512897113,-2.918593038772456,-2.891874423925243,0.7,0,0,168,256,194,128,1
18,0.8210378545841804,-1.9030927909859332,-5.0,0.0332746491928573,2,3,202,189,51,114,1
8,0.8207612408890363,-1.161572140073075,-5.0,0.3488887738555368,2,2,183,0,0,216,1
43,0.819502648576131,-0.3,-4.6343502775803165,0.0,4,1,8,213,256,256,1
3,0.8155332420508139,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
36,0.8150906601385834,-0.3,-5.0,0.0,3,0,256,0,256,0,1
46,0.814717231650139,-0.8508431414388196,-5.0,0.0,4,2,16,85,129,121,1
34,0.8132235176963611,-1.4596326048363473,-5.0,0.024039492680834825,2,3,8,0,0,145,1
25,0.8112318990913239,-1.8204869743295808,-5.0,0.0,4,1,8,191,181,247,1
45,0.8058241013512579,-3.4535396646909473,-4.042729060313928,0.7,2,0,256,16,256,0,1
1,0.8055751490256282,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
6,0.8042197419194224,-2.822923005212516,-5.0,0.29370234704303233,4,1,78,0,256,37,0
31,0.8039223821971426,-2.69691030537727,-2.58607896086495,0.0,0,0,73,256,222,113,1
27,0.8026015518028297,-2.123103954303928,-1.0,0.7,3,0,256,0,243,0,1
5,0.8025877211180725,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
47,0.7969862937914057,-2.44901236540316,-3.340334796478487,0.0,4,3,112,0,0,0,1
24,0.7962947595535456,-1.7029460295185013,-5.0,0.693700853188186,3,1,202,186,147,125,1
33,0.7924982365876935,-1.331674833187285,-1.627159181019925,0.2769840921429209,4,1,8,42,109,154,1
2,0.7901677662061048,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
48,0.7880931634925247,-0.3,-2.605822933607858,0.0,4,1,8,94,213,256,1
35,0.7854999101005489,-0.9278880108886902,-2.912098623003558,0.15205504631502742,3,2,8,0,0,0,1
14,0.7846078309337097,-4.0,-2.152279792512697,0.46652870592959306,0,0,95,11,240,149,1
20,0.7820076621993555,-2.3251429594535553,-5.0,0.405559245300843,3,1,51,17,23,183,0
17,0.7796702764753882,-2.0828729174129346,-1.3892184279764659,0.11563668244178203,1,1,243,108,162,48,0
30,0.7761019598080301,-3.2799926476626,-2.5994444729131954,0.0,0,1,121,0,53,38,0
10,0.761054174792194,-2.3319391356754613,-5.0,0.7,0,3,8,77,256,256,1
12,0.7594359846756014,-4.0,-5.0,0.7,0,2,8,256,256,256,1
21,0.7538760494032061,-1.3273979653652916,-2.531706649308431,0.3409309696308639,2,2,187,256,256,13,1
13,0.7264083094754019,-0.3,-2.2059679638457155,0.1424590605301984,2,0,112,27,48,117,1
19,0.6657192647607983,-3.8577748504294402,-1.0,0.3468984026022192,3,3,41,239,57,220,0
11,0.6472898773218262,-0.3,-2.8795240243485285,0.5320836878548982,2,3,219,87,201,175,0
7,0.643825290790147,-3.984405828063207,-4.9212233856313645,0.514352615581743,3,1,160,101,238,129,1
15,0.5,-0.6076032362294912,-1.941647834017017,0.3485545207873335,3,2,128,27,255,190,0
42,0.5,-0.3295874139884747,-4.652975530638102,0.33255858650976916,4,0,30,242,25,256,0
28,0.49943985726733325,-0.3,-5.0,0.7,0,0,22,77,21,200,1
