trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
34,0.6654468085106383,-0.39015473175934234,-5.0,0.4106247419616348,1,1,255,0,256,157,1
49,0.6640283687943263,-0.3,-4.364665207258583,0.35076860778995267,2,1,117,48,256,191,1
47,0.6633475177304965,-2.148523015966029,-4.349505512989417,0.3427856816679159,1,0,125,134,256,6,1
26,0.6533617021276596,-0.9460055275223573,-4.8669612131347995,0.3709603717029034,1,1,256,224,251,160,1
38,0.6522695035460994,-0.38258915008297567,-5.0,0.5717476615572591,1,1,231,0,254,159,1
6,0.6486524822695037,-0.5122090760112656,-3.450287437904583,0.46106239339738875,1,1,170,231,256,256,1
48,0.6460709219858157,-2.705761220641789,-1.5224488467781359,0.44254155541107537,0,3,215,256,256,200,1
17,0.6449645390070922,-2.07071044199595,-4.103532498777066,0.09785721393040102,2,1,228,164,256,123,1
11,0.6437446808510638,-2.8982172779629494,-3.947006194846213,0.5169272016129319,1,0,253,179,249,243,1
43,0.6425248226950355,-0.8962954715892195,-5.0,0.551773501604283,2,0,247,127,256,131,1
42,0.6404539007092198,-1.467420427033113,-5.0,0.2678430857248001,1,1,208,218,256,229,1
3,0.6391205673758865,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
22,0.637191489361702,-1.1457673423749615,-1.7558346839921959,0.4729220286245715,2,3,202,211,253,256,1
28,0.6359432624113475,-2.398590425583584,-2.367505049767663,0.1637333093653261,3,3,256,83,256,249,1
27,0.6359148936170214,-0.36197995737213917,-4.993361586797785,0.2133337257084179,2,1,256,182,251,227,1
29,0.6350921985815603,-3.1292884306072177,-4.416717423517798,0.3961166209434702,4,0,57,146,79,189,1
19,0.6320567375886524,-1.8747192186808235,-3.423429681075733,0.07890657375436305,2,1,55,256,256,2,1
33,0.6278014184397163,-4.0,-4.774736596752238,0.26449117844573405,3,0,256,153,80,256,1
31,0.6276595744680851,-3.050042856739764,-3.9778074230414626,0.0010855131519764492,4,0,8,149,79,44,1
46,0.6255602836879433,-1.30089322498046,-3.616153616520128,0.5444654140439639,1,2,157,198,256,2,1
25,0.6197163120567376,-2.3723404676297237,-3.891833328309007,0.6293547949600516,1,0,94,232,256,256,1
50,0.6184397163120566,-3.6810411447630633,-1.5867073452876697,0.0,4,3,256,161,256,185,1
4,0.6168510638297873,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
1,0.6120851063829785,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
30,0.6100709219858155,-2.508933574464997,-1.7783861901145905,0.3594111889929882,4,0,256,233,93,48,1
7,0.6069503546099292,-3.957402256197883,-2.869248798797796,0.0,0,1,73,50,256,256,1
12,0.6063546099290781,-1.72698020402093,-3.485273774100909,0.33350674361256943,3,0,245,256,73,29,1
45,0.6003120567375887,-0.3,-5.0,0.0,4,2,114,2,256,169,1
2,0.5983829787234043,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
15,0.5898723404255319,-0.8053793767795789,-4.420365955020547,0.402195087388968,0,1,24,200,128,87,1
23,0.5875460992907802,-1.3641783231259859,-2.0041635200595325,0.0,4,3,8,189,91,254,1
24,0.5872056737588652,-0.8755471032009279,-2.1950842965555766,0.13575895492536733,1,3,256,198,254,117,1
5,0.5828085106382977,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
16,0.5806241134751772,-2.6519301507915225,-4.320102090706447,0.3170704543656014,0,1,20,49,107,248,1
10,0.5733900709219858,-4.0,-3.834216028141178,0.7,1,3,256,0,122,256,1
14,0.5706950354609929,-3.305962450934528,-3.348028416111461,0.5883731803965864,4,0,77,256,252,212,1
41,0.5629645390070921,-1.0732216612338132,-1.0,0.4015215350032908,4,3,51,115,253,251,1
39,0.558468085106383,-2.6409167193375374,-5.0,0.6724102115359719,2,3,256,126,256,142,1
32,0.5469503546099291,-1.2757197876201918,-4.334952138376438,0.7,4,0,256,14,79,91,1
40,0.5386099290780142,-3.3144049596632845,-4.669759778453197,0.4125407835040503,2,1,238,0,232,190,1
21,0.5361985815602837,-3.010840452187671,-3.841601163917167,0.375566767429808,1,1,8,0,55,132,1
36,0.5354609929078014,-2.1219906059001996,-5.0,0.7,1,2,256,25,255,68,1
20,0.534,-0.3,-1.9078795417508223,0.6937735710652512,4,3,88,243,0,0,1
9,0.5266099290780143,-4.0,-3.671430886820496,0.7,0,1,256,256,256,256,0
18,0.5221276595744682,-4.0,-5.0,0.7,4,1,256,72,143,0,1
35,0.5180709219858156,-2.5020858696125976,-5.0,0.7,0,1,55,0,227,99,1
8,0.5011347517730497,-0.3,-1.1977888390798785,0.12101257166209368,1,0,191,256,228,256,1
13,0.5,-0.3,-5.0,0.10213260549130482,4,0,8,245,0,196,1
37,0.5,-1.168227789405368,-1.0310067135955974,0.42627327998581577,2,2,242,9,81,207,1
44,0.5,-0.3,-5.0,0.0,4,2,185,0,256,37,0
