trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
3,0.6626666666666666,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
38,0.6611205673758865,-0.5526259239592504,-5.0,0.08168987407048607,0,2,50,84,249,60,1
36,0.6551773049645391,-1.2351446750274278,-4.464265999893012,0.5945447250115481,4,0,256,13,219,59,1
27,0.6525390070921986,-3.024793491267866,-5.0,0.028432693545958267,1,3,18,153,256,64,1
14,0.6505531914893616,-2.11211706322912,-5.0,0.1891337294506112,2,3,234,16,178,132,1
30,0.6500425531914894,-1.107665891412529,-5.0,0.6213314479511038,0,1,242,238,256,99,1
35,0.6475886524822695,-1.2759779751534976,-4.179143916244036,0.10345633259760174,4,2,76,11,187,13,1
15,0.6473758865248227,-2.611569337407076,-4.205920833185896,0.019026577143444717,1,1,239,0,199,256,1
45,0.6453191489361703,-2.0018803049595792,-5.0,0.5337097283609428,2,0,207,102,14,225,1
6,0.644482269503546,-0.41237816934634086,-5.0,0.5003955811397269,2,3,55,0,256,42,1
41,0.6428936170212766,-2.6202848661439537,-3.549176480415892,0.49325946140257493,0,0,197,147,57,247,1
37,0.6401985815602836,-0.3,-4.560385140370275,0.5705768562308503,0,3,256,105,51,69,1
19,0.6394893617021277,-2.2419125716544217,-5.0,0.7,4,3,256,0,256,256,1
44,0.6367375886524823,-0.3,-5.0,0.40119507984437064,2,1,256,17,26,89,1
9,0.6359148936170212,-4.0,-5.0,0.5675111541696781,0,0,212,176,256,194,0
13,0.635517730496454,-3.520233564587271,-5.0,0.37344684492660146,2,0,32,28,107,201,1
42,0.6346382978723405,-3.7923333447954297,-5.0,0.0,1,3,256,204,195,10,1
31,0.6339007092198581,-0.7006463969274379,-4.829200308866001,0.09918693972345778,0,0,182,193,250,42,1
18,0.626354609929078,-1.6035766390967314,-5.0,0.0,0,3,166,0,256,45,1
22,0.6262978723404254,-4.0,-4.732691550117373,0.33772038292704354,0,3,211,0,208,222,1
17,0.6231205673758866,-2.8051705339602346,-5.0,0.10666887983329906,2,0,131,256,4,174,1
40,0.6223829787234042,-0.6224882129039533,-5.0,0.0,1,1,8,147,100,180,1
48,0.6221843971631205,-2.1657181870700133,-4.312579932466974,0.0,4,1,256,207,82,226,1
20,0.6209078014184396,-1.863355866062506,-4.9222460525179486,0.7,3,0,8,43,249,98,1
7,0.6199290780141844,-0.4535894518449122,-5.0,0.08340983143344859,4,2,252,237,256,84,1
28,0.6190354609929077,-1.9031907186629442,-5.0,0.3423093936449581,1,2,201,0,256,256,1
4,0.6189787234042554,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
43,0.617418439716312,-4.0,-1.0,0.0,1,0,8,10,115,156,1
24,0.6164822695035461,-4.0,-5.0,0.7,0,0,256,0,256,168,1
29,0.6156879432624114,-3.725796879203701,-4.316952309811348,0.09322515465145574,4,1,95,122,256,0,1
47,0.612709219858156,-3.340487026279856,-5.0,0.0,0,0,36,85,85,128,1
1,0.611177304964539,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
23,0.6069787234042554,-3.7712050858755912,-4.09554276306073,0.40606267137453067,0,1,95,104,113,141,1
8,0.6001702127659575,-4.0,-1.4472124464033596,0.6989209868927905,0,2,15,209,256,166,1
39,0.5969929078014186,-0.3,-4.744757549833206,0.023797784673729755,1,3,8,37,253,91,1
21,0.5950354609929078,-0.37943731235210487,-4.8237220018595774,0.7,4,1,8,0,256,178,0
34,0.5925106382978723,-2.6884512039341466,-5.0,0.4719689304400021,0,1,96,174,256,228,1
5,0.5880000000000001,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
2,0.5728226950354609,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
25,0.5523120567375887,-3.5472407557386236,-4.060241457789553,0.32616044360422614,3,1,256,213,49,254,0
33,0.5470921985815603,-2.879922417740401,-5.0,0.7,1,1,49,240,165,83,1
12,0.5448510638297872,-3.3798559420042107,-1.0,0.19195761966679326,2,0,256,256,0,251,0
32,0.5445957446808511,-0.5120703540918536,-4.9255748443257295,0.5214527833792718,1,2,243,210,253,0,0
26,0.5257304964539007,-4.0,-4.803079032948111,0.6817803024930473,4,3,30,0,54,229,1
10,0.5235177304964539,-3.8040482306235748,-1.0,0.41664981802840906,3,1,207,17,256,241,0
46,0.5148936170212766,-0.3,-5.0,0.0,1,0,8,159,255,64,0
49,0.5,-0.3,-1.0,0.7,4,2,8,207,130,243,0
16,0.5,-0.3,-1.0,0.6134135730986225,2,2,160,0,256,190,1
50,0.5,-0.3,-5.0,0.7,0,0,256,138,102,137,1
11,0.48615602836879435,-0.6883736504658384,-4.655615777693247,0.7,0,3,42,0,203,91,0
