trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
34,0.9311486784835679,-2.3519770057986724,-3.9197540531739357,0.7,4,1,127,252,152,0,0
27,0.9292773186988793,-4.0,-3.251171160579359,0.6968161492725583,0,2,67,0,70,229,1
18,0.9288988414390545,-4.0,-2.3038910973069293,0.7,1,2,256,256,0,0,0
17,0.9276372505729726,-1.8421048959854471,-2.6690338703075023,0.582678354185276,2,1,45,241,137,256,1
1,0.9273428793708868,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
14,0.9269749153682794,-4.0,-1.0,0.0,4,0,8,256,0,256,0
3,0.9268382430244538,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
20,0.9266069513656722,-4.0,-4.539310776025228,0.6721489852040372,4,0,113,256,207,23,0
23,0.9258499968460229,-2.6974614846394815,-2.4685944970661655,0.5216113820612079,1,1,153,0,84,256,0
30,0.9254820328434156,-2.470292715705252,-4.65639810288034,0.34646608124390266,0,1,256,256,187,171,0
41,0.9251140688408082,-4.0,-3.4693824232384776,0.0,2,0,73,256,0,58,0
8,0.924924830210896,-0.30340346965398934,-4.389275373660536,0.6992899209996402,2,1,167,238,150,247,1
44,0.9247986711242877,-4.0,-3.5356482044619426,0.7,4,2,118,11,49,144,0
6,0.9246304590088101,-0.7023322917982386,-5.0,0.5979376268007364,2,1,140,256,202,145,0
25,0.9243045480350722,-4.0,-4.519269912195511,0.4279079038395203,4,2,78,0,46,123,0
21,0.924178388948464,-0.5785712572038237,-2.7642571419509796,0.6686465246069054,2,1,256,0,216,188,1
7,0.9239365840324649,-3.844488265427389,-1.620967925209642,0.7,4,0,232,0,201,24,1
31,0.9234529742004669,-0.3,-4.921332280186281,0.7,2,3,68,0,256,256,1
38,0.922948337854034,-4.0,-1.7090882175829911,0.7,0,2,122,99,256,69,0
45,0.9226855064236003,-0.3,-3.8761665267696555,0.7,2,3,256,18,193,256,1
2,0.922653966651948,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
9,0.9208982526966505,-3.6510429717518487,-4.760538279725478,0.33334418589605586,3,0,153,150,256,54,1
49,0.9192581845707437,-4.0,-5.0,0.0,1,3,82,0,256,218,1
50,0.9189217603397886,-4.0,-2.3178130907116588,0.7,1,1,256,0,123,184,1
47,0.9187956012531804,-1.2611720265157018,-5.0,0.7,2,0,209,256,15,256,1
5,0.9187114951954416,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
24,0.9187114951954414,-4.0,-4.540930782756018,0.5262265647326159,2,2,8,0,127,20,1
36,0.9183014781639646,-1.1718630754197492,-5.0,0.49300658194083824,4,0,100,0,256,256,1
28,0.9175234971298808,-1.8696680014545213,-5.0,0.1592481646026003,4,1,138,256,23,0,0
46,0.9154103324291932,-0.3,-1.7930305815465672,0.7,0,3,161,32,215,256,1
15,0.9133812737862445,-2.0344298260787337,-3.3703347892488806,0.3074310840444201,4,2,101,59,27,33,0
40,0.9126979120671166,-4.0,-4.393053883513222,0.7,0,1,238,29,72,0,0
42,0.9124455938939001,-0.3,-5.0,0.11419419504453644,2,3,53,0,256,256,1
4,0.9115729935448601,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
16,0.9057591623036649,-4.0,-3.611031238495717,0.7,0,3,256,131,26,0,1
12,0.9057381357892302,-0.3,-2.789092251348425,0.10923358815618696,0,1,225,0,52,0,0
22,0.9041401206921929,-1.9555058269305792,-3.0056013136977606,0.09351397069173471,1,2,204,79,159,9,1
43,0.9032359805715007,-0.3,-4.998599435637485,0.0,0,0,256,48,245,134,1
33,0.8946571626821422,-0.3,-4.815138297621357,0.2422764272355172,1,0,176,0,0,0,0
39,0.8900103029920731,-4.0,-1.7895357270410068,0.7,0,1,83,0,256,256,0
26,0.8860362917639144,-2.128785267119035,-4.955722110757597,0.22196836611444112,0,3,8,0,256,256,1
13,0.8770001471856012,-0.3,-5.0,0.7,0,0,8,0,256,256,1
10,0.8696671502764987,-0.36988060910520426,-3.5577488622548072,0.6879404772363297,1,0,12,201,119,22,1
48,0.8535555835909081,-0.3,-1.619345387594799,0.7,4,2,8,0,256,256,1
35,0.84680081582876,-2.9061360234816114,-4.630380157249487,0.0,2,0,256,53,111,188,0
29,0.842963476944427,-4.0,-1.0,0.35188824308553673,2,3,197,0,193,256,0
32,0.7892249626779368,-0.8958386099717783,-1.0,0.7,0,2,256,241,256,251,0
37,0.6931600748543915,-4.0,-2.428327890569916,0.7,4,3,8,124,228,25,0
11,0.5,-0.9983350322405578,-1.2423712816165646,0.07454738589274633,3,3,8,105,54,185,0
19,0.5,-0.3,-5.0,0.16945330089966465,3,2,8,140,121,256,0
