trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
29,0.7563887093298858,-1.240507832801057,-3.7009497220566314,0.32933919743183576,2,2,218,228,256,195,1
8,0.7327084680025856,-3.9236242727917854,-4.397778205778022,0.33853015476045367,0,0,33,23,239,6,0
25,0.7308338720103426,-0.6093396723818518,-5.0,0.5236320966332686,3,0,256,192,66,123,1
19,0.7258134022839905,-3.130460484797703,-5.0,0.19794207072290096,0,0,36,229,23,73,1
39,0.7244559362206422,-2.7932882972545405,-3.468164407732174,0.4062791109666789,2,3,69,234,242,210,1
36,0.7230984701572937,-1.4487298334806895,-2.5197666445135356,0.5811899041530563,4,1,152,13,201,44,1
49,0.7215901745313509,-3.4419923946601907,-2.1721133935368027,0.2868501248245967,2,3,205,209,256,240,1
31,0.7205990088343031,-2.351833556817531,-2.4279094603495786,0.0781222422011463,0,2,251,129,256,176,1
11,0.7163542340012929,-2.361608583440043,-4.690505637886448,0.1943825093104116,4,1,244,256,3,95,1
37,0.7155785391079508,-0.5917883999017888,-2.489356035889772,0.4627028475437455,1,0,241,118,34,59,1
40,0.7144796380090498,-2.200644147177889,-4.287388745450539,0.2790523473200156,1,3,246,45,224,195,1
48,0.7140056022408964,-3.2892598942475817,-2.4335706441484515,0.5471565191635556,3,0,144,230,146,149,1
3,0.7126265890971775,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
27,0.7112906701141997,-3.8041142537306225,-3.2816831996221696,0.7,3,2,144,166,123,15,1
17,0.7109028226675286,-3.120225628916244,-3.3914826806732954,0.4575349517719743,0,0,54,25,202,51,1
14,0.7093083387201033,-4.0,-1.8837013358535004,0.014249016665155866,4,0,16,57,71,205,1
30,0.7079293255763843,-3.7225614622220773,-3.6971069538021117,0.6314520348248858,2,2,219,218,256,245,1
32,0.7075199310493429,-3.1693857367157356,-5.0,0.058048282911791226,0,1,58,21,256,190,1
1,0.706399482870071,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
43,0.7055375996552466,-1.9152602433390986,-3.2055551508025033,0.7,4,2,174,8,256,191,1
50,0.6999353587588882,-0.8669463009641789,-2.2140347040477213,0.43516175739109547,1,1,87,56,0,136,1
20,0.6986640810170222,-3.642210579356228,-5.0,0.0,0,0,144,144,138,0,0
13,0.6942792501616031,-0.3,-4.965573927413591,0.1100362398790985,4,0,232,250,3,196,1
23,0.6931695755225167,-2.802010087744163,-4.3885187304695155,0.581874612079251,4,1,64,0,1,195,1
41,0.6914458090928679,-2.313172035116786,-3.2405210383335445,0.40915380317957345,4,0,195,91,124,196,1
42,0.6907347554406378,-0.3,-3.7488323197971942,0.4459280286049732,0,3,71,150,194,209,1
2,0.6826115061409179,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
6,0.6804137039431157,-2.2253340485829827,-5.0,0.7,3,2,9,70,131,117,1
4,0.6795949148890326,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
16,0.6763413057530705,-0.5921150326897018,-4.442184222133882,0.25746299183483795,2,1,44,63,79,22,0
44,0.6553544494720965,-2.7615839722253632,-2.1157674426937003,0.21089641178972204,1,2,248,91,230,256,1
46,0.6535444947209653,-1.9373713492960576,-5.0,0.0,0,0,157,153,256,20,0
38,0.6470157293686705,-1.6658378186551315,-4.001034551312829,0.0,1,1,197,200,225,219,1
35,0.6463908640379229,-3.9188661596449452,-3.3534920750224884,0.0,0,0,99,150,256,204,1
22,0.6428248222365869,-0.3256151439132977,-4.987017940832261,0.35502421463652784,0,2,253,190,0,65,1
10,0.6379659556130145,-0.3,-1.0,0.0,0,0,256,256,0,256,0
5,0.6257272139625081,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
21,0.6178409825468648,-2.955768450944695,-3.6265500833251116,0.0,2,0,154,138,44,80,1
28,0.6077354018530489,-3.15740934851923,-4.745401186339065,0.6926235557918554,0,0,21,118,95,0,0
18,0.5814479638009049,-0.5711620457116409,-5.0,0.37990718579357186,0,2,38,92,137,106,0
45,0.5692523163111398,-3.8855216187746104,-4.57426103264442,0.41664489140587163,2,1,62,34,47,0,0
34,0.5636823960353372,-3.956967029143345,-3.2503211851733926,0.411339576730556,4,3,242,56,95,147,1
12,0.5590174531351002,-4.0,-1.092244938118788,7.771561172376095e-17,0,3,106,0,44,102,0
15,0.5557422969187674,-4.0,-1.0710629776007043,0.6390606792348384,4,0,25,71,234,0,1
9,0.5437621202327085,-0.6182634213434048,-2.334324808933304,0.7,4,0,8,0,91,138,0
26,0.535121741004094,-4.0,-3.035690108498968,0.033987923662794434,0,1,8,135,1,0,0
24,0.5246067657832363,-4.0,-4.618488243057966,0.19904111685611853,1,1,94,0,253,142,0
33,0.5,-0.8346526057750374,-1.0,0.3225416365250453,1,1,218,250,256,256,1
7,0.4984055160525749,-3.959737079349983,-4.032219418561093,0.5824684256398838,4,3,130,252,254,139,0
47,0.494979530273648,-3.220955100771749,-5.0,0.7,2,1,86,175,256,256,1
