trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
44,0.8831998672254264,-1.2240234284311575,-5.0,0.7,0,3,255,0,256,151,1
47,0.8827296239436814,-1.1804214909067987,-4.4219892874880395,0.7,1,1,222,256,256,8,1
4,0.8818306294344633,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
11,0.8807794973929159,-1.1673141545933876,-4.006466309237152,0.6304641398851195,0,1,256,43,155,55,1
38,0.8805167143825291,-2.298757986261392,-5.0,0.4425305004934715,0,1,185,66,253,29,1
3,0.880170947263599,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
46,0.8792304607001092,-1.4177905282180516,-4.249394096420227,0.7,1,1,165,0,122,0,1
1,0.8791336459068089,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
22,0.8791059845372945,-3.038800570537141,-3.056829777826895,0.7,1,2,142,2,221,0,0
17,0.8787740481031217,-2.2155256722794645,-5.0,0.43887169210406735,3,1,256,0,177,80,1
31,0.8786357412555496,-1.8401699009963113,-5.0,0.5268649704240917,4,0,256,100,256,0,0
19,0.8783591275604056,-1.847732822245769,-2.7542533444827972,0.2791486248073174,3,2,170,7,12,256,0
33,0.876616461280998,-3.5117329366838557,-2.5720371855592954,0.335749531033499,4,0,118,7,256,256,0
24,0.875247223490035,-1.223134707709792,-5.0,0.0,2,1,79,199,156,256,0
34,0.8745971813064465,-1.8968197372407984,-1.8037431388369822,0.0,4,0,8,0,256,230,0
39,0.8745833506216893,-1.2422420228956055,-4.597678228604471,0.20670279667875122,4,0,8,0,0,0,1
14,0.8742375835027593,-4.0,-5.0,0.5688635759887136,3,0,173,56,238,7,0
12,0.8739333084381007,-1.5770048560394816,-5.0,0.0,4,3,8,256,0,0,1
9,0.8735737106344135,-2.215419676097205,-4.1715272053904515,0.5475274955324732,4,1,18,0,111,192,1
13,0.872785361603253,-4.0,-5.0,0.6870413574519793,2,2,110,0,256,48,1
36,0.8723427796910225,-2.8582241682483422,-5.0,0.7,3,0,45,0,135,100,0
5,0.8723151183215081,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
41,0.8712363249104463,-1.632572959407855,-2.706825736418733,0.5974997569709574,0,2,201,0,256,245,0
45,0.8710288646390884,-3.287398803654411,-3.283717008396456,0.0,1,0,11,108,213,157,0
49,0.8705862827268579,-1.5182374593569605,-5.0,0.0,1,3,83,4,49,243,0
43,0.8698394257499688,-1.8460002866425906,-5.0,0.31620954867152,0,0,114,120,113,0,1
16,0.8685255106980346,-2.1984508364843856,-3.4711448571627965,0.05153885193630313,3,0,8,0,256,0,0
50,0.867391394547944,-4.0,-1.0,0.0,4,3,147,75,226,185,1
23,0.8657178816923226,-3.3241893456562193,-1.0,0.7,3,0,46,0,3,0,1
21,0.8648327178678616,-2.068053446663791,-1.4083763002893073,0.0,3,2,236,187,127,0,0
48,0.8630485595341826,-2.126071252408111,-2.8431551337250567,0.0,4,3,256,0,256,191,1
20,0.8623708559810795,-3.3172462206211253,-4.83653779231188,0.7,0,3,171,0,207,0,0
29,0.8598398406705116,-1.6405135414177092,-3.8384263704071797,0.0,3,3,115,70,181,0,1
32,0.8597568565619683,-1.840442392529586,-2.1617506293667406,0.0,3,3,49,240,146,0,1
40,0.8584429415100342,-1.453809442738883,-3.659647088556256,0.6019419645502686,1,2,8,108,43,12,1
25,0.8580695130215898,-3.652843185206268,-3.754069424107496,0.7,3,3,241,0,235,0,0
28,0.8543283127947664,-2.7554496897009644,-3.7486572553857025,0.0,3,2,183,95,77,0,1
35,0.852862260210503,-2.0336472846145863,-1.9772693247311466,0.7,4,1,238,46,251,166,0
2,0.8495359805263959,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
30,0.8483050495830049,-4.0,-3.4935928739268847,0.7,0,3,237,0,192,0,1
37,0.8462166161846671,-2.296191493259499,-5.0,0.0,0,0,28,256,0,192,0
27,0.8449995159260335,-3.3525849251390487,-2.299391522862119,0.7,3,3,180,87,31,0,1
15,0.8358712639862798,-4.0,-5.0,0.0,4,0,8,256,256,256,1
8,0.8262796841071599,-2.623585300578773,-1.0,0.08047094604981381,3,3,90,204,47,256,0
42,0.7766275258288038,-1.106592182944143,-3.7543156486069043,0.0,3,2,240,101,0,199,0
26,0.7397756662932381,-4.0,-1.0,0.7,2,1,10,138,246,0,0
10,0.7287802719112623,-0.3,-2.7252621693267813,0.7,0,2,256,256,123,0,1
6,0.6428640581995215,-0.3,-1.0,0.4890913112546726,3,2,124,16,54,225,1
18,0.5,-1.1939867323117173,-1.0,0.48972929849747515,0,2,65,256,49,40,1
7,0.5,-0.3,-4.673760956618017,0.7,0,0,8,256,154,101,0
