trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
46,0.6394184397163121,-3.0799854148018535,-4.104518861526895,0.5057402824814028,1,0,241,160,0,167,0
42,0.6369503546099291,-1.0755848271768667,-5.0,0.17244346708207606,3,2,244,190,0,103,1
1,0.6350496453900709,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
29,0.6313617021276596,-3.0007856824630794,-3.426784751310671,0.4610169973232402,1,2,204,66,43,157,0
50,0.6312765957446809,-3.316828761617006,-5.0,0.4222205660756698,0,0,135,15,256,114,1
6,0.6299716312056738,-1.8394662492590612,-4.33736267252976,0.3440929613730455,0,1,115,189,2,97,1
40,0.6298297872340427,-3.119568277749247,-5.0,0.4277464563307516,0,3,189,52,84,80,0
22,0.6282695035460992,-2.9011127942422394,-3.83778345562803,0.41760132850082377,2,0,212,17,67,13,0
15,0.6267375886524823,-1.351218357535359,-4.752908830659568,0.2975312087272949,0,1,127,225,0,254,1
30,0.626709219858156,-1.151469904623812,-5.0,0.5073844519038142,0,1,242,250,195,99,1
20,0.6259432624113476,-2.852572886100525,-2.9098482738898386,0.4194173229168008,1,0,52,203,0,239,0
37,0.6258297872340426,-3.077168054361266,-5.0,0.0,3,1,206,92,0,246,0
35,0.6257446808510639,-2.8817938279537945,-3.5169221310051713,0.7,0,0,89,13,15,41,0
3,0.6255177304964539,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
39,0.6244539007092198,-1.8565697888449324,-3.0301914785468,0.4060369861671438,3,0,202,10,256,131,1
9,0.6234468085106383,-0.9245557920285914,-5.0,0.34934891082948544,3,2,64,24,135,0,1
41,0.6233333333333334,-0.8323123556904615,-5.0,0.5445916573151364,4,1,195,225,54,38,1
49,0.6213475177304965,-3.3585594852315985,-2.831286440623456,0.32295353744375227,4,3,192,254,0,242,1
33,0.6206382978723404,-3.300847057193633,-1.0,0.049515004066800074,4,3,54,123,145,97,1
48,0.619418439716312,-1.7148605066405662,-5.0,0.34925415607867827,0,2,55,242,256,13,1
17,0.6190212765957446,-0.7514274501201283,-1.9881486460740985,0.3757656756773761,3,1,230,219,0,176,0
36,0.6173475177304965,-2.087102630182213,-3.127968227451376,0.7,4,2,65,38,96,89,1
27,0.6168652482269504,-2.9053775360642016,-4.803406185173855,0.6230155004789603,3,0,91,81,60,184,1
32,0.6164680851063831,-2.882697013935102,-1.6250629111054522,0.5018250577457609,1,2,82,135,142,238,1
18,0.615645390070922,-0.798790300634884,-4.540460871129522,0.5856913021222159,0,1,60,17,0,174,1
16,0.614595744680851,-1.6140837972085516,-3.929513012849572,0.7,1,1,243,53,52,128,1
38,0.6142978723404255,-1.9473137056215513,-1.0,0.7,3,0,83,145,0,34,1
44,0.6141985815602837,-2.4283677616312724,-1.0,0.021533288712959082,2,2,13,3,0,242,1
23,0.6129787234042553,-2.9945125961660137,-3.516873225980013,0.6568321579423946,1,0,86,207,178,173,1
14,0.6117872340425532,-1.431736205898269,-3.8506094286587764,0.14525012307543142,1,1,246,147,245,4,1
28,0.6115035460992907,-2.454350562900612,-3.694566473621037,0.3802733244548258,2,0,167,86,207,118,1
25,0.6017163120567375,-3.0897395306338815,-2.549398824296123,0.48444173782720334,2,1,255,236,70,155,0
34,0.6014609929078014,-2.9119143604943822,-3.399415029127655,0.2547463507347516,3,1,74,54,242,145,0
2,0.5978581560283688,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
4,0.5976312056737589,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
31,0.5908510638297871,-1.1386177849589818,-1.7109625955351175,0.6458789737594337,4,1,29,222,58,237,0
45,0.5900141843971631,-0.8724375741858759,-1.0,0.1484505128799742,1,2,13,102,0,159,0
24,0.5875602836879433,-2.174981493107781,-4.796132614879375,0.13508582073910413,0,2,111,244,128,44,1
5,0.5866808510638298,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
11,0.5759574468085107,-3.892381609888409,-5.0,0.7,3,0,10,256,256,40,1
47,0.5689787234042554,-4.0,-1.0,0.1800932975099313,2,3,118,192,0,10,0
43,0.5455460992907801,-3.629731714764045,-5.0,0.4035788157905346,0,1,255,43,137,159,0
7,0.5276737588652483,-2.600835787228046,-5.0,0.0,3,1,8,9,70,26,0
19,0.521985815602837,-0.4236118188676521,-1.0079448226364622,0.536631680172154,1,2,122,236,25,7,0
10,0.5173475177304965,-0.3,-1.0,0.6973758184001329,3,0,73,183,237,0,0
8,0.5,-0.9012452153053041,-1.0,0.3642602565890593,2,0,8,107,63,251,1
12,0.5,-0.3,-4.382153274287213,0.7,1,0,256,249,185,218,1
13,0.5,-0.3,-4.256014635053495,0.516002382593586,0,0,101,40,179,20,1
21,0.5,-2.4610699830313116,-1.0,0.008430793027761096,2,0,182,145,19,196,0
26,0.5,-0.9719567390931609,-4.04723881452831,0.154509191546692,1,2,150,242,116,51,0
