trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
19,0.884874576841397,-1.8221416001726096,-5.0,0.7,4,0,8,0,256,0,1
37,0.8815629008179314,-1.1495606903991882,-5.0,0.7,4,0,8,165,0,0,0
11,0.8791763914295927,-2.8416321424288373,-2.164382256820319,0.44860192882181393,0,2,256,0,171,59,0
44,0.8748081330557835,-0.3,-5.0,0.7,4,0,219,0,214,0,1
46,0.868736727012763,-0.3,-5.0,0.0,4,0,67,252,0,0,1
35,0.8674541096322463,-1.555799242082291,-1.9126108771312156,0.7,2,1,218,0,251,61,1
7,0.8666235623120755,-2.65635118427647,-4.639042801895184,0.2955193589627627,3,3,182,0,156,166,0
32,0.866581509283206,-3.298321627530533,-5.0,0.506811622306605,3,3,256,243,28,51,0
31,0.8657719884774702,-3.6202046626244084,-5.0,0.45667498738295503,4,3,132,256,256,201,0
26,0.8645261674972138,-0.3,-1.0,0.7,4,0,8,0,256,0,0
42,0.8636483105195651,-4.0,-5.0,0.7,4,0,256,0,256,0,0
28,0.8633644525746966,-3.171383700079588,-5.0,0.7,4,0,256,256,72,136,0
5,0.8618505435353981,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
20,0.8613143674173132,-3.135270918301362,-1.0,0.36981633479812154,4,1,237,0,10,0,0
6,0.8609884564435754,-3.945207213809287,-4.117235868643778,0.5179851435499477,4,2,240,256,101,106,0
10,0.8604312538110558,-4.0,-1.0956177653045027,0.33166991468040957,0,1,256,62,215,44,1
2,0.8589699110578439,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
38,0.8581814167665426,-1.7369101461923737,-1.49928135283823,0.7,4,0,8,0,256,23,0
29,0.8575926743623709,-3.557357635881063,-1.315966114157665,0.33654507824161345,4,1,256,0,130,256,0
24,0.8567936668138524,-4.0,-5.0,0.21149125562610682,0,2,256,256,160,179,0
1,0.8564677558401144,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
15,0.8564362160684623,-3.9403547194758928,-1.1592748765388041,0.7,0,1,256,0,256,73,0
17,0.8558474736642907,-3.178072014800262,-3.132748256934006,0.0,4,3,190,0,0,0,1
3,0.855616182005509,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
39,0.8537763619924725,-4.0,-5.0,0.7,0,3,256,0,233,219,0
41,0.8530824870161273,-1.8321732394625956,-5.0,0.7,0,3,110,0,0,0,1
43,0.8524096385542168,-1.5139792359372257,-5.0,0.0,0,3,256,0,0,100,0
8,0.8520311612943923,-2.228356178046984,-4.0504476267968945,0.11487984418170887,4,1,167,255,154,118,1
4,0.8516106310056983,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
40,0.8511690742025695,-1.1631355500251508,-5.0,0.7,4,0,142,7,0,92,0
30,0.8502018545385732,-2.113962863122512,-1.681043108228164,0.7,0,1,256,0,256,133,0
16,0.8494449000189238,-4.0,-1.0,0.23659099358430705,1,3,237,0,0,110,0
27,0.8467009398851952,-4.0,-5.0,0.7,4,0,8,256,75,256,1
14,0.8437467146071198,-2.9999385556065707,-3.74663687192381,0.0,3,3,87,45,239,235,0
36,0.8411184003027818,-2.765750233147238,-1.0,0.0,0,3,256,0,256,188,1
48,0.8364084610694085,-4.0,-5.0,0.0,4,0,8,0,0,256,1
25,0.8351784099749784,-4.0,-3.1729113423017976,0.7,4,3,64,172,195,96,0
33,0.8337065539645492,-4.0,-5.0,0.0,4,3,131,256,88,256,0
50,0.8307943817153431,-3.168294286922381,-1.590547828318729,0.23060499826500042,4,0,128,250,191,210,1
47,0.8253590277339726,-0.5047446911012727,-5.0,0.0,4,3,132,0,0,0,0
22,0.8220158119388548,-0.3,-1.9324404841075244,0.5340272120269994,0,0,43,221,256,101,1
9,0.810283016884291,-3.2664900377747244,-4.949331137039866,0.012984007418756651,2,3,21,224,220,8,0
21,0.802555772829538,-2.820860875917579,-3.018184359945002,0.0,4,3,8,0,256,185,1
23,0.7875007884942913,-1.9475741955324328,-4.094876179207472,0.33161225865814775,4,0,8,0,207,105,1
18,0.7677358649256713,-2.0141171708881846,-1.0,0.0,0,2,256,256,0,0,1
34,0.7658171954835048,-0.3,-1.0,0.0,1,1,8,0,256,55,0
12,0.5,-0.3,-4.730614787228574,0.6771952316665693,2,3,256,0,113,191,0
13,0.5,-1.4593601762815607,-1.0,0.7,0,1,8,256,201,256,0
45,0.5,-0.3,-3.8551479064889707,0.7,4,0,256,256,120,67,1
49,0.5,-0.3,-5.0,0.7,4,0,8,256,256,0,1
