trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
35,0.6894957983193278,-2.0667486026879955,-2.8137352052657065,0.668633580690908,2,2,198,194,5,91,0
42,0.6869316957552252,-2.2957994469959164,-3.0754057018110212,0.5252704501720474,1,2,135,48,0,233,0
28,0.6866946778711485,-1.0877429144812383,-3.6670259890304253,0.36779872080839926,1,1,58,85,162,31,1
33,0.683958198664081,-1.109064242016911,-3.7807070324752994,0.44443664712117403,4,1,142,144,135,42,1
50,0.6838504632622281,-1.1349146381372677,-4.109255967330879,0.5244907880435317,0,1,202,254,256,245,1
24,0.6774940745528981,-1.2091846680271048,-2.7923211561571537,0.3026559645121295,3,1,193,172,37,102,1
1,0.676783020900668,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
34,0.6764382676147381,-1.308309405251182,-3.807403019853801,0.10914553495487564,0,1,86,256,225,227,0
47,0.676287438052144,-2.2788671621579697,-3.024139938670117,0.598934474815513,1,2,188,95,0,175,0
44,0.6738310708898944,-1.855286549179656,-4.4421167935208405,0.2670905783645404,4,2,69,188,0,61,0
46,0.6736586942469295,-2.0702279501067675,-3.41641702378796,0.5521986150899666,0,2,136,149,0,93,0
20,0.672753716871364,-3.9925708482443363,-3.8185272782439768,0.37750374946216964,4,0,26,47,91,129,0
40,0.6721934927817281,-2.3415867813826354,-2.452187097719304,0.2925592039239567,3,2,256,118,8,154,0
30,0.6686597716009481,-1.3172951598656204,-3.807788164819555,0.4745705126080658,0,1,254,176,195,253,1
4,0.6684873949579831,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
12,0.6675393234216763,-2.463474338137648,-2.091776513875489,0.5865459887500255,1,3,8,109,47,0,0
43,0.6643503555268261,-2.1771552074794664,-2.0439847150161325,0.6666834825998099,3,2,121,91,0,103,1
16,0.66342383107089,-2.447420041911271,-2.688403189782792,0.6664231936395928,3,0,256,0,89,0,1
27,0.6613337642749407,-0.7703010133245858,-1.7748733212336116,0.4087377682381621,4,1,226,184,13,45,1
6,0.65883430295195,-0.3,-4.791848446457595,0.35729277721348945,3,3,123,92,49,189,1
17,0.6578000430941608,-1.4708419417634953,-2.283786812010634,0.04817089338804968,1,0,35,137,256,12,0
39,0.6532320620555914,-1.9501354617764486,-3.20448156610941,0.6156897430995953,2,2,256,123,6,36,1
48,0.6530165912518854,-0.9648319535054908,-3.080810813939884,0.2343759296436762,3,1,128,223,0,136,1
8,0.6450226244343892,-3.7262788783558247,-1.4911647158280008,0.15538953968869096,3,3,168,107,142,120,1
23,0.6437082525317819,-2.6816962562310245,-5.0,0.2684536644367144,2,2,121,206,205,0,1
29,0.6426739926739926,-1.9297964344367773,-1.0,0.08600303180503754,4,0,104,134,209,0,1
9,0.6411656970480502,-2.1767368320476286,-2.9961991984374037,0.5299474635128034,2,0,66,120,72,244,1
11,0.6381491057961646,-0.7437402528149537,-1.8267034252018899,0.4190403771032318,2,3,8,58,78,0,0
36,0.6377181641887525,-2.015847023458302,-2.78359997303887,0.26601132329530114,2,2,123,75,196,227,1
49,0.6362960568842921,-2.24430242457197,-4.529432407454814,0.009424321262936313,4,2,127,2,0,141,0
21,0.6359513035983624,-0.8988972449069799,-3.416538680540769,0.5234769174479947,2,2,228,0,244,129,1
15,0.6347231200172376,-2.8396219353836982,-5.0,0.14445578842009418,2,2,8,0,206,256,1
32,0.6319219995690584,-0.4589232620439234,-3.1884746679279896,0.26417714244211304,3,1,182,13,0,8,0
14,0.6312109459168284,-1.539670640552353,-4.908453447243444,0.17574279528658845,4,3,246,35,159,256,1
41,0.6301982331394096,-1.8182265872652432,-1.9548341247248762,0.4736278056032597,2,2,254,232,91,168,0
2,0.6300474035768154,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
13,0.6296918767507003,-0.3,-5.0,0.4229732790307076,4,3,8,114,0,0,1
38,0.6256517991812109,-1.4177352850400973,-3.6372615663561767,0.46309835232793195,1,1,8,121,86,27,1
5,0.62526395173454,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
3,0.6237341090282267,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
37,0.6232277526395175,-0.6771201094353367,-4.413906141360305,0.6584346160373643,1,1,8,200,225,101,0
19,0.6098362421891834,-3.902480370136193,-3.6888281409237846,0.4083750444007657,4,1,256,0,82,256,1
26,0.6049235078646843,-3.338829903808741,-3.1603996636432212,0.599258717957583,2,0,162,125,31,47,1
18,0.5946455505279035,-3.382565756675578,-1.4558486604884155,0.008878823341972491,0,0,256,0,58,0,0
7,0.582794656324068,-3.7207450020968,-4.061819401801782,0.6720859828058998,3,3,61,241,222,201,0
45,0.5528442146089205,-1.1962100881732938,-4.674741564341507,0.49797799666216847,3,2,8,170,0,190,0
25,0.5219133807369102,-0.7647092912322697,-3.4464507353411653,0.6177963476679585,4,0,181,31,174,50,1
10,0.5,-0.3,-1.9726968096926627,0.6877734915642182,1,0,40,202,21,137,1
31,0.5,-1.0578367057727496,-1.217896956707464,0.31824115547109305,2,1,8,75,156,10,1
22,0.5,-0.98217890576342,-3.9064391935219,0.610722291212096,0,0,55,56,85,256,0
