trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
38,0.6687028657616892,-2.459634324238559,-4.401107582999497,0.4034152265420339,2,3,176,134,135,0,1
24,0.6669360051712994,-0.5085618496233182,-3.860613459875098,0.6824978868500562,0,1,8,218,89,26,1
34,0.6658371040723982,-1.5306983221719275,-4.272965831935433,0.6806070401427121,3,3,106,193,69,7,1
10,0.6657509157509158,-3.1963926070619837,-3.865308709481972,0.48322728601557763,0,0,108,172,26,0,1
3,0.6588989441930619,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
17,0.6588558500323206,-2.7657994903428835,-5.0,0.7,1,2,256,173,34,38,1
47,0.65812324929972,-1.3954861738190942,-3.701195327178099,0.7,3,1,61,97,39,0,0
39,0.658058608058608,-1.7049539301444412,-4.41770749436621,0.676558353646553,2,3,225,233,256,124,1
20,0.6571967248437837,-4.0,-4.129051223552257,0.6888949560941268,3,0,81,65,0,47,0
50,0.6558177117000648,-0.8012067707181005,-2.6914970722766682,0.6811133295543902,0,1,190,112,65,163,0
45,0.6554514113337643,-2.551069444917128,-5.0,0.7,4,0,237,94,120,256,1
16,0.6552143934496876,-2.5385420366211315,-4.615916526259671,0.5685406041540385,0,2,243,175,23,0,1
18,0.6532105149752209,-3.214724289275151,-5.0,0.7,0,2,256,31,151,81,0
29,0.6524348200818789,-1.0129112289445494,-1.0,0.0,4,1,213,122,205,256,1
41,0.6509696186166775,-0.3,-3.6216740469935687,0.0348101809348626,3,1,105,92,123,256,1
44,0.6488795518207283,-3.391296302587585,-4.622908472615917,0.7,0,3,84,29,125,0,0
9,0.6431264813617754,-3.1755220102199004,-4.846380515878621,0.551058933730781,0,0,51,0,245,0,1
42,0.6429110105580694,-1.639846788382794,-5.0,0.7,2,0,239,195,53,256,1
25,0.6427817280758458,-3.623093882619702,-4.326914752492147,0.7,1,0,226,168,0,2,1
19,0.641025641025641,-0.8859223432748351,-3.8024624511154403,0.7,0,3,61,253,45,0,1
15,0.6395712131006249,-3.5477549421924888,-3.7532353560236467,0.5126969407981287,1,0,70,188,141,58,1
40,0.6390325360913596,-2.5470265919917425,-4.2444270644149835,0.18581999382451522,1,3,147,67,50,256,0
48,0.6385585003232062,-4.0,-4.684018128555132,0.4546901629268637,2,2,118,209,0,0,1
1,0.6385154061624649,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
37,0.6383430295195001,-0.5213441951716145,-4.329504674157259,0.590278624283477,3,3,77,137,0,4,1
46,0.6368778280542986,-0.3,-4.0030867882178045,0.10418561916697681,1,1,172,249,242,256,1
43,0.636145227321698,-2.154858832028363,-5.0,0.0,4,3,53,67,4,0,1
6,0.6345076492135315,-0.3,-4.805574254523917,0.3094664408769377,4,0,180,110,211,43,1
35,0.6287761258349494,-3.7548261514084995,-3.453553289911401,0.6129355567289594,0,3,178,205,0,0,1
26,0.6286145227321698,-1.8832608578642782,-4.488314963462265,0.48242219670629327,3,2,8,105,79,115,1
4,0.6281512605042018,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
2,0.6269661710838181,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
23,0.6257379875026935,-2.976169003659109,-3.8333862345391143,0.7,2,3,139,91,136,127,1
5,0.6252854988149106,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
8,0.6246929541047188,-0.47663637211935583,-5.0,0.7,3,1,132,126,223,230,1
28,0.6167313079077785,-4.0,-5.0,0.7,0,0,256,142,24,31,1
31,0.6164727429433311,-3.425877130543479,-2.547589537871148,0.0,4,1,146,250,70,256,0
22,0.6146089204912734,-2.7015223350329682,-5.0,0.7,4,1,97,110,0,62,0
30,0.6136285283344107,-2.720064119932333,-1.0,0.0,0,2,51,55,199,256,1
12,0.6120771385477268,-4.0,-5.0,0.07623302350273682,2,0,8,145,0,0,1
27,0.60406162464986,-3.892780530298127,-2.3152829587304127,0.6821933152548646,3,1,35,71,212,63,1
7,0.5918659771600947,-4.0,-2.649133836773019,0.3942921860449582,4,3,38,237,256,235,0
21,0.5862637362637362,-0.8666533503511875,-3.4018993239460116,0.4906892461470921,2,2,256,191,200,256,1
33,0.586112906701142,-2.669138692419031,-4.514973603831701,0.6599013486736407,1,1,27,256,204,141,1
14,0.584873949579832,-1.8702629229777958,-1.2614929955994216,0.40577440325781416,1,2,209,84,84,0,1
32,0.5782482223658694,-3.451993369597186,-4.3041794457215214,0.3341985086340744,0,1,70,251,169,0,0
13,0.5309739280327516,-1.797749991690131,-1.6203276824071216,0.4288556663358643,3,0,214,122,108,0,0
11,0.5259750053867701,-0.3422214246749684,-4.26352979861988,0.3788450204593585,0,0,159,256,192,256,1
36,0.5031674208144796,-0.6388802888959559,-4.273477432606601,0.6145186350588308,0,0,53,196,69,0,1
49,0.5,-0.9575321678664386,-5.0,0.43003594955339736,3,2,172,149,213,0,0
