trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
49,0.8561124711284454,-1.2286832260596685,-5.0,0.0,1,3,25,0,256,0,1
48,0.8514100383109968,-3.3666909452763987,-5.0,0.0,0,3,44,29,202,63,1
44,0.8503589062694493,-2.292124907957703,-5.0,0.0,4,3,98,191,247,112,1
50,0.8495567265535316,-2.815292479979796,-5.0,0.0,4,3,242,160,26,256,0
46,0.8487822082071284,-2.1041923666366813,-1.0,0.0,4,3,163,256,161,256,1
18,0.8486024093052847,-2.3786419300873796,-3.959388762806552,0.0,1,3,174,0,183,174,1
31,0.8478417216436386,-2.975439768903679,-5.0,0.0,0,3,256,1,256,35,1
39,0.8469427271344205,-1.4504192554455506,-5.0,0.19436507879783385,0,3,256,7,256,197,1
36,0.8462097008422887,-2.2527298052269593,-5.0,0.010918550788965139,0,3,173,256,0,256,0
19,0.8454905052349141,-0.9864121061232121,-5.0,0.7,2,3,255,0,171,18,1
42,0.8446399181223462,-1.6317517331227749,-5.0,0.0,2,3,256,169,89,10,1
43,0.8429041671853172,-2.3094397899963517,-1.0,0.05479494361985734,4,0,135,43,90,0,1
30,0.8417977124047411,-1.8300954005248413,-3.210940758248266,0.0,0,3,8,30,11,256,0
37,0.841714728296198,-1.8057831498064183,-5.0,0.0,1,3,256,164,0,256,0
33,0.840635934885136,-1.538791916069178,-5.0,0.0,0,2,66,128,98,4,0
40,0.8385889935410702,-4.0,-5.0,0.0,4,2,8,0,256,256,1
3,0.8381187502593254,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
28,0.8368463272616626,-1.7976138081187463,-3.3641910696917074,0.7,3,3,256,0,256,0,1
34,0.8365697135665187,-3.4765615237527814,-5.0,0.0,4,3,256,194,0,0,1
4,0.8357951952201154,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
23,0.8337067618217777,-2.2652189902994513,-2.1841238499748896,0.7,2,3,256,4,0,256,1
8,0.8321992171832426,-1.9405950766175288,-3.9052982799713387,0.2583711136578594,1,1,140,57,240,216,1
1,0.8314385295215966,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
15,0.8313555454130535,-2.6012252134549536,-5.0,0.7,3,0,96,0,256,0,1
25,0.8305257043276213,-0.3,-4.642816980864269,0.38922530315987874,1,3,256,0,70,0,1
45,0.8291841279061725,-2.001887844426456,-5.0,0.0,4,0,8,256,75,0,1
24,0.8282713027121973,-2.666718490830774,-5.0,0.5801234244092696,4,3,256,0,256,256,1
29,0.8270542024535634,-0.3,-3.6714480375029455,0.6100167893694175,0,3,256,104,28,0,1
47,0.8267637580736622,-2.127176159573211,-5.0,0.7,0,0,35,0,256,0,0
41,0.8259339169882299,-2.204450036118847,-5.0,0.21353781533640812,2,3,8,182,71,46,0
6,0.8254014356250777,-1.2461052595209288,-5.0,0.3242224268574625,1,0,19,0,140,104,0
7,0.8248274622076538,-3.0615412481843536,-1.0,0.49430657621140484,1,0,12,0,131,248,1
35,0.8238731449594068,-0.6879313344710507,-5.0,0.4752788195095023,0,2,140,62,150,183,1
38,0.8134309779677192,-2.959736067846163,-5.0,0.0,2,3,256,0,0,0,1
5,0.8134033165982049,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
17,0.8105818569077354,-2.3017673551123883,-1.0,0.6883903832998045,0,2,8,0,0,219,1
12,0.8041644191803937,-4.0,-1.0,0.7,3,0,203,256,0,0,1
2,0.8003194888178915,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
22,0.7994343249934305,-4.0,-5.0,0.7,2,0,176,0,221,120,1
32,0.796128791336459,-1.847687945522996,-1.0,0.3196759125404874,1,0,8,0,0,240,0
13,0.7926296280928868,-4.0,-1.0,0.0,0,3,256,0,0,256,0
20,0.7901401048365905,-4.0,-1.503092308887684,0.1252399036062351,0,3,246,0,256,17,0
16,0.7894624012834875,-2.9319053657952923,-1.0,0.12192093229730228,1,1,244,206,0,39,0
10,0.7818831860365407,-4.0,-5.0,0.7,0,3,213,74,256,0,1
21,0.7817656252161045,-0.3,-1.0,0.03307573516170568,3,3,256,0,256,176,1
27,0.755383594041741,-4.0,-3.0932026942082524,0.10083719818493588,3,3,8,118,0,256,0
14,0.7531845151653458,-4.0,-1.0,0.7,1,0,8,256,52,33,1
26,0.6821017108557045,-0.3,-2.2440056890947746,0.0,0,3,256,13,0,256,0
11,0.5864832717867862,-0.3,-5.0,0.7,3,0,8,0,256,0,0
9,0.5,-0.7209773969781521,-5.0,0.539218867329006,4,0,229,256,227,64,0
