trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
35,0.6540425531914894,-3.0632408883714666,-4.714312278107625,0.1952890528921876,2,2,232,180,0,72,0
12,0.652113475177305,-3.0365539138048776,-4.136691575788355,0.4732264337352055,2,2,128,40,28,158,0
24,0.6520283687943262,-3.462769876638704,-4.655245107009974,0.03201034713277004,2,0,28,5,248,17,1
16,0.6518581560283687,-0.5167748948703479,-3.1614928625174716,0.6636173194703971,4,1,133,256,167,80,1
48,0.6498723404255319,-1.116674987953452,-1.2099453233904356,0.0,0,1,256,49,45,91,1
29,0.6482269503546099,-0.962506784221068,-1.2318173242305872,0.04374704840481703,4,1,213,122,256,254,1
9,0.648,-0.8268394757781099,-4.563912431452253,0.16672011813898235,4,1,136,93,49,148,1
34,0.646581560283688,-3.1343876966607587,-4.977296069159651,0.2667492407415368,3,2,69,17,0,16,1
37,0.6460425531914893,-3.2018060774911383,-5.0,0.033769246463467795,2,2,167,0,0,67,0
21,0.6449361702127661,-0.5126417432265193,-4.852648359517785,0.15982051957100854,3,1,227,132,108,188,1
36,0.6427517730496454,-3.0230651303872986,-3.8751650307877084,0.5484239066709576,2,2,176,245,0,121,0
32,0.6411914893617021,-3.0744479850087796,-2.9237052579462897,0.3519243864893846,4,2,20,203,0,49,0
23,0.6395460992907801,-3.155198638303328,-4.097514908440871,0.20234729024089998,2,2,29,0,77,3,0
43,0.6389503546099291,-0.7498019700036909,-4.2338808696072565,0.47702388803694595,4,1,222,66,110,208,1
15,0.634127659574468,-3.383120216106917,-2.2918271352499913,0.1652437895562443,2,2,126,123,50,208,0
38,0.6331631205673759,-3.3260769261993968,-3.436033619166219,0.7,3,0,219,200,225,190,0
28,0.6305248226950355,-3.218324179819226,-1.7196385320298662,0.6617564526256781,1,0,127,129,256,23,1
33,0.630354609929078,-0.5769603057885337,-2.2680002313851437,0.0866360808037683,3,1,187,47,256,256,1
19,0.6302411347517731,-3.0221876241361056,-2.3064696346997238,0.6039258883831219,0,2,133,144,37,175,0
49,0.6278297872340426,-1.6134250557270398,-3.8502173063036986,0.48126564726076293,4,0,45,5,152,255,1
41,0.6271489361702128,-0.3,-5.0,0.0,3,1,256,256,71,105,1
26,0.6253617021276596,-3.243115368247057,-1.4132525843024086,0.1350264841263477,4,0,118,151,256,159,1
22,0.6210496453900709,-0.3,-1.2376713709524751,0.1953393357401811,4,1,216,66,0,50,1
39,0.6198297872340426,-1.604124137532088,-3.872035148035379,0.0,4,0,235,0,221,23,0
50,0.6190354609929078,-3.3224647242442504,-4.049583377763234,0.32985081628168966,3,3,99,129,215,175,0
3,0.6189219858156029,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
30,0.6187801418439716,-3.0796596891389765,-1.4839485207599332,0.13464623559583155,2,0,160,123,256,27,1
31,0.6095460992907801,-2.919375767695604,-3.804601320025086,0.15415231184282724,0,0,8,48,256,0,1
40,0.6074326241134752,-0.75958755136707,-3.105282663862427,0.0,4,1,151,119,151,96,1
47,0.6018723404255321,-0.5741646807342606,-2.4123785846372137,0.7,2,1,204,256,215,96,0
4,0.5971063829787234,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
27,0.5949787234042554,-4.0,-3.3533375663884537,0.6434505003123338,2,0,97,94,256,36,1
5,0.5918014184397163,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
2,0.591063829787234,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
45,0.590354609929078,-0.6079954847191749,-4.024479682515383,0.7,2,1,22,208,52,116,1
1,0.5899148936170213,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
17,0.5851631205673758,-3.9038992975375857,-1.569072414604498,0.14692142454317583,4,1,8,159,54,40,1
10,0.571290780141844,-0.6810534649807618,-3.2593784899903113,0.2140977740181747,4,2,223,61,84,38,1
20,0.5685957446808511,-3.070972276499338,-1.1852832030975091,0.6389174103346639,4,2,252,235,244,75,0
14,0.5419290780141844,-0.43491082980441,-5.0,0.3891524723297259,3,2,152,2,203,147,1
25,0.5293333333333333,-3.4616523506880026,-4.789241843050017,0.6981482690671563,0,0,153,58,50,237,1
42,0.5290212765957447,-0.3,-5.0,0.7,2,1,131,184,150,217,1
13,0.5042553191489363,-4.0,-4.5673211331565415,0.7,0,1,98,0,0,100,0
6,0.5033191489361702,-1.7647092978202896,-1.186638194686509,0.3763910187870794,4,2,131,256,256,105,0
18,0.5031914893617021,-1.394761097594182,-5.0,0.6516387654061654,2,2,137,246,19,131,0
44,0.5010638297872341,-0.5524496488441923,-4.262705835416863,0.5519996218056237,4,0,230,227,78,84,1
11,0.5,-0.3,-1.0553597308384468,0.30062868396590486,2,3,104,116,172,163,1
7,0.5,-0.3,-5.0,0.7,0,0,8,0,256,0,1
8,0.5,-1.2635184946200884,-2.3805172885540924,0.24137630577563413,1,2,12,179,21,231,0
46,0.5,-0.4367339849331233,-1.2514131410376592,0.3138280642194847,4,1,233,193,93,214,1
