trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
18,0.6642533936651583,-1.4672316418155682,-2.360141464107583,0.5252733840596276,0,2,162,206,197,256,1
44,0.6612583494936437,-2.1185190349963916,-3.130843119698783,0.11862662347035234,3,3,221,146,29,256,1
3,0.6553975436328378,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
49,0.6535875888817065,-1.3907028048136865,-3.5496580569944003,0.049887126674514934,1,3,195,96,87,256,1
41,0.6488903253609136,-2.6695156536622764,-5.0,0.3033624661797293,3,1,147,30,256,0,1
35,0.6463262227968111,-2.1254743624012873,-3.2000548482497395,0.5386816474305546,0,0,35,135,82,64,1
26,0.6447101917690152,-1.4108558666224966,-4.956367367127377,0.22979373366155859,3,0,196,256,136,51,1
9,0.6435466494290024,-1.9368659843313543,-4.132210464698989,0.2184411495524242,0,2,40,80,138,0,1
29,0.640249946132299,-2.4243552968850253,-1.8569800976911783,0.39561790906784444,0,3,114,250,196,33,1
1,0.6381814264167205,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
16,0.6340551605257487,-1.407191082217512,-4.9509506171365345,0.7,0,0,119,228,228,0,1
2,0.6336780866192631,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
46,0.6335488041370394,-2.2570720529265382,-4.791743746119133,0.21059194097318346,2,2,256,252,26,256,1
36,0.6334410687351865,-1.6526867666765948,-2.054677563121619,0.5371022687072493,1,2,133,217,128,256,1
17,0.6314695108812756,-1.7370867448956009,-1.0,0.7,1,1,8,108,213,0,1
50,0.6313510019392373,-1.7687360250552446,-1.8540579112176618,0.1542438040911029,2,3,256,252,116,256,1
10,0.6308985132514544,-1.474295044694263,-4.130259792785716,0.5529828106593213,0,0,256,92,205,126,1
8,0.6301443654384831,-2.301739820935495,-3.2558551808889984,0.6751457844000535,2,0,228,93,113,219,1
28,0.6287438052143934,-1.602549788722365,-4.008609611766477,0.5498981925245072,1,2,151,142,236,156,1
45,0.6274940745528982,-3.260069908824466,-1.0,0.02654942008682935,1,3,256,229,238,256,1
32,0.6266752854988149,-1.2187241753775275,-3.984441744351532,0.16969158912516508,2,3,132,240,45,92,1
31,0.6266537384184443,-2.560695239246037,-3.847405533876829,0.5150864480679465,3,3,256,164,208,217,0
30,0.6266106442577031,-2.435759928528817,-5.0,0.6327114398138094,2,2,101,232,95,0,1
19,0.6232923938806292,-2.5464092791652844,-4.774991517820593,0.7,0,0,136,99,85,256,1
14,0.6226028873087697,-3.3164631826351414,-5.0,0.13363950159965207,4,1,197,87,248,67,1
12,0.6222473604826546,-1.9324547818141053,-1.0,0.5940712310034675,3,1,8,36,21,256,0
4,0.6168498168498169,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
27,0.6166558931264814,-1.5034690714945955,-4.002795717020433,0.19816315949753158,1,2,43,181,182,5,1
21,0.6154923507864684,-1.2762566730065679,-4.426666159872162,0.664653851390516,1,1,149,157,176,0,1
39,0.6126050420168067,-2.7564788798756643,-4.085868389400016,0.21681423529282295,4,1,256,200,251,0,1
33,0.61236802413273,-2.633315170642759,-4.773115547116515,0.08530164031240212,0,0,33,204,256,223,1
43,0.6115061409179056,-1.317089717050954,-4.645853150825253,0.047422469910548076,4,2,50,48,0,256,1
38,0.6040939452704159,-2.2075072616232614,-4.47448544969003,0.5186183713911794,0,0,8,88,29,72,1
48,0.6036845507433743,-4.0,-5.0,0.6995577626599482,2,0,102,158,48,108,0
47,0.6012281835811247,-2.4399644886234073,-5.0,0.012097490445607617,3,0,198,207,216,0,1
42,0.5989441930618401,-1.95560272684828,-3.6514164461024494,0.36646249714438606,3,1,79,20,0,0,0
24,0.5924477483301013,-1.944443532514589,-5.0,0.38585491061434984,2,2,8,241,211,244,1
40,0.5919952596423185,-2.1301460126610747,-2.6972751777507833,0.10157894685673585,0,1,8,186,83,256,1
34,0.5889678948502478,-2.369275913722136,-1.4536039280325577,0.27942338017379426,3,0,250,35,256,256,1
13,0.5819004524886878,-3.194030153587785,-1.0,0.10460924551409292,1,2,8,55,182,0,0
22,0.5804352510234863,-1.4739268263018044,-4.586051335863319,0.6419639676461442,3,1,25,79,175,14,0
37,0.5705235940530058,-1.471274559430669,-2.8995425216073665,0.7,1,1,157,51,165,31,1
5,0.5679594914889032,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
25,0.5644473173884939,-1.5578807935199457,-1.1471194900923218,0.5058671462061822,0,3,62,133,36,240,0
11,0.5566903684550744,-3.464677265703202,-4.747122992303071,0.6752187835133244,2,1,18,171,208,165,1
15,0.5018315018315018,-0.3493377729565492,-4.6074934594469195,0.0,2,0,101,242,64,256,0
6,0.5,-1.1253663617892649,-4.977460960554283,0.698220830187719,0,2,238,17,254,15,0
7,0.5,-0.3,-5.0,0.7,4,0,8,83,96,256,1
20,0.5,-1.2274501338371908,-1.0,0.31572883827529336,0,0,166,166,243,192,1
23,0.5,-0.526470356648777,-2.599230748734437,0.6631413705449017,3,2,197,83,256,51,1
