trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
6,0.6806382978723404,-1.006475597458361,-5.0,0.2723712877247903,1,0,196,0,169,182,1
45,0.6785248226950354,-1.0277705502254375,-5.0,0.0,2,2,138,20,196,200,1
38,0.6753191489361703,-0.3,-5.0,0.0,4,3,92,86,62,253,1
44,0.6720283687943263,-3.895168711794001,-5.0,0.0,0,3,191,101,243,180,1
11,0.672,-1.3148669927100647,-4.960710662696706,0.6751802519472038,2,3,256,133,0,256,1
37,0.6688794326241135,-1.8214259632041485,-5.0,0.0,0,1,256,1,149,123,1
14,0.6682836879432623,-1.2475877363542747,-4.51954924085737,0.1732284229441856,4,3,53,0,18,85,1
4,0.6676879432624113,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
32,0.6671347517730497,-2.230646975881258,-5.0,0.34124057039285544,0,0,79,2,192,203,1
20,0.6670921985815602,-2.754142535439459,-2.6771502517545844,0.0,0,2,8,0,195,58,1
16,0.6651063829787235,-0.3618338431711323,-5.0,0.21129432897956468,0,3,50,0,207,15,1
3,0.6626382978723405,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
39,0.6619574468085107,-0.3,-5.0,0.7,0,1,232,208,171,245,1
21,0.6618723404255319,-3.0973189507321965,-3.4966110035367617,0.06535967663334354,0,3,27,0,190,0,1
49,0.6577021276595744,-3.4987897038090248,-5.0,0.0,4,3,256,0,193,111,1
19,0.6537588652482269,-1.7404744934203036,-4.787934401547323,0.3248442440487721,2,0,40,74,136,256,1
36,0.6529078014184397,-0.9850040069735821,-4.44574291293452,0.46978341207004654,1,0,42,78,88,113,1
31,0.6516595744680852,-4.0,-4.559321611252291,0.3394150284611516,1,2,198,0,144,226,1
40,0.6515177304964539,-3.5623233376544543,-5.0,0.3270744457158203,4,2,256,92,82,7,1
43,0.6486524822695037,-0.5511783671124384,-4.1070328727398895,0.3035097985921783,4,3,101,75,51,138,1
47,0.6469078014184396,-0.6896221221264813,-5.0,0.0,0,2,113,210,193,237,1
46,0.646581560283688,-2.8374033548302204,-5.0,0.5230684342763795,0,0,256,20,138,122,1
1,0.6453049645390072,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
9,0.6438014184397164,-3.9664295428776892,-5.0,0.3413930818895282,4,2,252,256,213,150,1
48,0.640822695035461,-0.6399665004112136,-5.0,0.0503475443708627,4,2,158,0,11,252,1
15,0.6404397163120568,-0.9028198866656383,-5.0,0.6454553348510417,1,2,239,0,79,236,1
34,0.6395460992907801,-1.5630391788405027,-4.767505501420119,0.11375575322665056,2,3,256,106,91,96,1
13,0.6378439716312057,-3.5073525391973503,-3.3427714269529174,0.046828598263688126,0,1,35,20,13,146,1
25,0.6361418439716312,-1.97702928313314,-3.9652163057750283,0.546212076807532,1,0,114,209,223,203,1
41,0.6354184397163121,-0.3,-5.0,0.0,3,2,256,160,52,155,1
24,0.6350638297872341,-2.8307489185913584,-4.744655070597506,0.21316561997485717,1,0,108,54,234,33,1
26,0.6335035460992908,-1.608919400370386,-4.967756758368917,0.7,2,1,206,0,216,182,1
33,0.6304964539007092,-0.3308147841971021,-3.094238844499614,0.464272345361013,0,3,184,0,243,0,1
27,0.6290496453900709,-2.3901205906643175,-2.3792134314411237,0.1102919228334792,4,3,57,234,54,63,1
29,0.6233758865248227,-3.96553440476286,-1.0027674801622304,0.12353578624817779,0,1,8,23,165,221,1
42,0.6067801418439717,-1.9411359854760932,-5.0,0.44856057213950845,4,2,24,72,170,144,1
28,0.5982695035460992,-3.220180459646877,-4.9513937301228195,0.2331351400473761,2,3,8,157,49,192,1
2,0.5951489361702127,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
10,0.5894751773049646,-0.3,-3.8711611893386157,0.0,4,0,8,0,256,138,1
22,0.5856170212765958,-0.8691366422401061,-1.0,0.15093022102021464,1,3,135,0,16,256,1
5,0.581163120567376,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
17,0.5740992907801418,-1.9334650150704862,-1.0,0.25700093747857133,0,3,216,0,256,36,0
50,0.569645390070922,-0.3,-5.0,0.0,2,2,130,0,145,244,1
18,0.5550070921985816,-1.8020032147033933,-3.562634297726623,0.1049070891443531,4,0,199,127,0,243,1
7,0.5465815602836879,-2.7814587845445455,-5.0,0.38708154070071893,0,1,180,0,214,82,0
35,0.542354609929078,-0.35423801721823267,-2.1841564912729963,0.0,3,0,60,0,235,56,1
23,0.5324255319148936,-2.573918135791125,-5.0,0.6750147129885046,0,3,132,35,53,173,1
12,0.5,-0.9527321933395836,-2.70250907875987,0.6879428461854437,4,2,256,246,209,18,1
8,0.49279432624113473,-3.6979394461633266,-5.0,0.595251414337222,3,1,121,256,196,209,0
30,0.47716312056737586,-3.7241404205825894,-2.6031359301418378,0.3994374437026649,1,3,8,136,87,12,1
