trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
39,0.6590354609929079,-3.019357637963501,-2.7645999639417242,0.0,2,2,256,0,136,59,1
48,0.643517730496454,-4.0,-2.149376398927288,0.0,3,3,114,0,181,92,1
11,0.6434326241134752,-2.249200473581495,-5.0,0.0,2,1,199,170,192,187,1
24,0.6434326241134752,-3.2367057338476704,-2.8196820891478698,0.0,3,2,151,179,228,14,1
41,0.6425815602836878,-2.9194081706044317,-5.0,0.0,3,2,256,0,173,227,1
38,0.6419574468085106,-1.8187973826225825,-2.3061774230524437,0.0,1,3,108,57,256,46,1
8,0.6381560283687944,-3.8103973012670767,-2.4127738395668907,0.0,3,0,239,213,130,48,1
4,0.636709219858156,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
47,0.6350354609929078,-3.0793345835573094,-3.630149106388927,0.0,4,0,234,0,121,133,1
19,0.6345531914893616,-3.9987751231794184,-5.0,0.0,0,2,126,153,198,203,1
26,0.6341843971631206,-2.1295614294636716,-5.0,0.38497102454040616,0,2,170,181,32,256,1
32,0.6331063829787235,-3.7544427529333246,-5.0,0.11002285694083766,1,0,8,52,183,115,1
9,0.6299999999999999,-1.01325992913437,-5.0,0.7,3,3,138,171,225,124,0
7,0.6285957446808511,-1.7776930476543198,-2.4925676185509507,0.08257964035555052,2,2,74,0,3,110,1
3,0.6282836879432624,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
49,0.6282553191489362,-2.7898385560424304,-5.0,0.0,3,0,136,0,127,194,1
44,0.6269503546099291,-2.7592449519885553,-2.441858633366511,0.29367229453922167,4,0,256,0,44,74,1
13,0.6266099290780143,-3.0481444097920143,-3.337488139794485,0.0,2,3,256,252,214,61,1
12,0.625872340425532,-2.1066144906307027,-4.063158742957703,0.0,4,3,8,106,33,237,0
50,0.6254468085106384,-2.9255405212579166,-5.0,0.0,0,1,171,256,203,235,1
29,0.6240283687943263,-1.0980593823398843,-5.0,0.0,4,0,256,28,99,256,1
16,0.6186666666666667,-3.974295473226491,-4.530529943069008,0.0,3,0,243,10,95,3,1
28,0.6180425531914893,-2.8962491386182627,-3.887459866204087,0.0,0,2,79,172,99,35,1
27,0.617645390070922,-1.4164742016847542,-2.9410879539623394,0.0,0,1,18,182,26,249,0
34,0.6174751773049647,-3.554207873689723,-5.0,0.4882933264169037,4,1,60,236,256,232,1
21,0.6169078014184397,-3.436174192658788,-3.002207371462604,0.3281733643100141,2,0,207,233,256,167,1
36,0.6142127659574469,-1.782521788632057,-5.0,0.6662489488441132,2,0,256,169,248,209,1
20,0.612,-1.773383127693982,-4.910045077123327,0.0,3,0,195,141,156,107,1
40,0.6099290780141844,-1.4720541183661031,-2.7839575287041103,0.0,0,1,42,63,148,102,1
1,0.6086524822695035,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
46,0.6044822695035461,-2.991419516352975,-1.4244311532250293,0.0,3,2,211,0,235,0,1
35,0.59977304964539,-2.105402433695549,-4.87231470039186,0.11670300958855315,0,1,67,183,256,84,1
15,0.5955460992907802,-0.3,-5.0,0.0,2,1,201,169,168,218,0
6,0.5932198581560284,-1.4814542762605538,-3.5310943606478684,0.4593021947742479,4,2,25,0,69,256,1
2,0.5916312056737589,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
31,0.5915744680851064,-4.0,-5.0,0.7,0,2,89,256,124,256,0
25,0.5909503546099291,-1.0403411939094704,-3.0953992670392783,0.7,1,0,28,206,61,0,1
45,0.5824397163120567,-4.0,-5.0,0.7,0,3,199,0,248,131,1
5,0.5786382978723404,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
23,0.5781843971631206,-0.9395740666677286,-1.0,0.0,1,0,8,36,62,55,1
43,0.5777872340425532,-0.3,-2.717863376775143,0.0,1,2,210,79,0,36,1
22,0.5748085106382979,-1.646138662264534,-4.413191873088453,0.7,3,0,12,99,135,164,1
14,0.5739290780141845,-3.4832498438436303,-1.4325340630541952,0.37043549094211536,0,3,219,87,101,99,0
30,0.5711205673758865,-0.9017342700608331,-5.0,0.7,3,3,120,23,10,95,1
18,0.5689645390070922,-3.4696878202868433,-2.0688737019552734,0.7,3,3,8,256,198,221,0
10,0.5578581560283689,-0.619257308315686,-1.0,0.7,3,0,73,183,237,3,0
33,0.5296879432624113,-3.6387188164064237,-5.0,0.7,2,3,8,76,100,102,0
17,0.5,-0.4551710223045138,-3.8668498070167665,0.7,4,3,209,33,183,0,0
42,0.5,-1.2486140610176881,-5.0,0.7,3,2,8,256,183,256,0
37,0.465290780141844,-1.6545939055074417,-1.0,0.0,2,3,154,256,245,220,1
