trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
34,0.8923284762084989,-3.227115635695587,-3.736305350879131,0.45757160045338896,1,0,97,68,249,112,1
27,0.8916451144893711,-1.03210096248457,-3.5164927695439605,0.2597770117305947,2,3,167,171,211,24,0
20,0.8883860047519924,-0.30093892887272844,-4.999980899141764,0.3964700467160406,1,1,108,245,256,73,0
1,0.887807775605038,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
5,0.8873767320591265,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
40,0.8873241657730397,-1.48093292636965,-2.6615330234612364,0.46679505043170416,2,1,256,187,139,0,0
3,0.8866302907966946,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
39,0.8864725919384344,-1.0735551076304448,-4.295037543660336,0.40689944810283685,0,1,56,256,145,219,0
50,0.8864515654239996,-4.0,-4.021167558855944,0.5234226432971664,0,0,230,256,192,256,0
36,0.8863674593662609,-3.617793234911059,-5.0,0.49203450851321723,3,0,103,63,0,256,0
35,0.8859994953636536,-0.3,-5.0,0.7,0,1,256,256,256,0,1
37,0.8851374082718309,-0.3,-1.0,0.11208732017171048,4,3,256,203,256,0,0
16,0.8848220105553102,-4.0,-1.0,0.7,1,0,208,0,123,248,1
32,0.8847904707836581,-2.6383028491558473,-4.780248062777646,0.44135017528904874,1,0,186,124,85,51,1
11,0.884275321180008,-0.6181712104355626,-1.5339276330967913,0.55723544034251,0,0,223,0,0,256,1
8,0.8834868268887067,-0.8889967464555943,-3.00333716308298,0.5711419759057558,0,1,88,120,256,249,0
24,0.8823513951092328,-2.665611268472193,-1.9033765908517388,0.7,1,1,256,201,256,0,1
45,0.8810372379570639,-1.0023389394280704,-4.39691866096613,0.18297356824575242,0,3,256,256,27,150,0
28,0.8806272209255872,-1.6420548030675413,-3.5641667017212915,0.6030882829333053,2,1,153,179,256,42,1
46,0.8804274690384575,-0.3,-4.965043089120333,0.6625648638146335,2,1,99,256,71,0,0
23,0.8798492398915032,-0.3,-2.4081769105126627,0.0,4,3,206,256,256,256,1
14,0.8796915410332429,-4.0,-5.0,0.0,4,2,8,0,256,0,1
41,0.8792394709728968,-2.006750672893478,-2.4631655567072452,0.06628982823716346,2,0,210,188,64,48,0
33,0.8786507285687253,-3.782683617398222,-1.8596567138447448,0.39326980378129034,3,0,62,26,256,94,1
10,0.8772419521016002,-2.60945698982663,-4.613749280446504,0.6776147378303911,4,1,247,256,0,0,1
7,0.8770527134716879,-2.8466202101569067,-3.035621664270897,0.2832013130564551,4,0,254,164,1,36,0
25,0.8748344161988266,-2.6288138446034934,-2.2303570665059524,0.6279183255607846,0,0,46,256,256,256,1
12,0.874214134023003,-1.3495385806155205,-2.231089129796859,0.5419539536243623,4,1,138,0,0,0,1
15,0.8720904560650982,-1.3783004132612566,-5.0,0.0,4,1,8,256,0,0,1
9,0.8711758026871885,-3.6764660965761387,-3.5005935296249966,0.07302574443968618,4,3,140,173,256,191,1
47,0.8695252213040644,-1.5501951640270724,-5.0,0.0,0,3,8,256,0,20,0
2,0.867117685401291,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
19,0.863406505603566,-4.0,-5.0,0.12383091894993847,2,2,108,256,256,0,1
48,0.8617664374776595,-4.0,-4.447300414570632,0.0,4,2,8,256,256,256,0
18,0.857250993502807,-0.3,-5.0,0.7,0,1,8,256,256,256,1
42,0.8554479698900314,-3.2443969753144173,-1.0,0.3562878880817469,4,2,8,0,115,241,1
29,0.8543861309110788,-0.838004295213107,-5.0,0.5571401412718419,1,3,15,226,0,0,0
49,0.8531665930738661,-1.6310103588192786,-1.2259959547179244,0.20150995043274675,4,3,8,0,57,179,1
21,0.8496183687630101,-4.0,-5.0,0.7,0,1,8,256,256,256,0
4,0.8453131899325049,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
30,0.844713934271116,-4.0,-5.0,0.7,0,1,256,46,0,256,1
17,0.8439674930086839,-4.0,-3.2480807577785757,0.7,0,1,256,0,256,0,1
6,0.8432420782606866,-1.5664502550789714,-1.1431192006478748,0.08057837608242403,1,2,195,46,0,199,0
31,0.8422748585966905,-3.345518278264268,-5.0,0.3734299902231994,3,2,46,139,256,0,1
22,0.8306051430854308,-0.3,-1.0,0.20115102696906165,3,1,144,0,151,0,0
26,0.7986133013730314,-4.0,-2.1006377299296823,0.7,4,1,256,227,41,124,1
13,0.5026178010471204,-0.4848261341244857,-2.6486890467709885,0.46696386513535526,1,3,123,0,256,251,0
38,0.5,-0.3,-1.5611588998596493,0.607951280441843,4,0,150,57,111,256,0
43,0.5,-0.637611708612078,-1.0,0.5161110868052392,2,2,256,205,97,90,1
44,0.5,-1.1390224032196463,-3.1649101119254484,0.5289712062857633,1,2,193,124,111,184,0
