trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
7,0.687276449041155,-1.4701046960417625,-4.4811636016983325,0.2992344109375229,3,1,200,29,256,2,1
39,0.6865438483085542,-2.8810612604413586,-1.1121170540476886,0.7,1,0,168,0,211,181,1
12,0.6849493643611291,-1.1907135998162395,-4.894852427010251,0.3638118096888675,2,1,206,0,15,213,1
34,0.6841952165481577,-3.2068204742154505,-5.0,0.10700753770604558,1,3,240,68,101,255,0
9,0.6822775263951735,-2.969325894616695,-4.676693751616043,0.0,2,3,185,0,0,33,0
45,0.6813940960999784,-2.112956801136507,-5.0,0.09786717695539081,3,1,256,0,66,203,1
33,0.6796918767507003,-1.3291623812785591,-5.0,0.2464067948789732,3,1,172,12,154,172,1
27,0.6740034475328593,-1.6066876749902668,-5.0,0.1493774363879235,3,1,215,0,107,118,0
21,0.6738957121310063,-3.650552339690893,-5.0,0.22368147318341647,2,3,173,0,242,254,0
8,0.6719133807369102,-1.1565852722176762,-2.2017767748219947,0.0,3,2,179,0,215,59,0
20,0.6717194570135746,-2.9255419235849063,-4.878639172109867,0.45853436155416655,1,2,197,17,12,218,1
3,0.6714608920491273,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
37,0.6711807800043094,-2.583793931222143,-5.0,0.2573003659685383,4,2,109,17,58,100,0
16,0.6710299504417152,-2.600817430733523,-5.0,0.3145729496315825,2,3,207,86,127,154,0
38,0.6706636500754147,-3.1101275078395725,-3.076685077418908,0.20819613028931544,4,3,171,0,22,233,0
13,0.6688967894850248,-2.232326407272117,-5.0,0.4783784703510302,4,1,167,3,199,5,1
23,0.6661172161172161,-2.527748603593867,-5.0,0.7,3,2,201,171,238,76,0
47,0.6651475975005386,-1.7262302297267573,-4.942157479373786,0.43487852164196866,3,1,106,240,214,256,1
26,0.663639301874596,-2.0278107739467903,-5.0,0.08477959341216638,0,3,106,26,0,205,0
50,0.6631221719457013,-1.689022908123384,-5.0,0.3167722094100689,2,1,256,0,86,4,1
41,0.6624326653738419,-3.1452599558664245,-4.45103423441502,0.28938095020395305,2,1,256,57,109,0,1
36,0.662260288730877,-3.3448878954635797,-5.0,0.0,4,2,194,74,198,24,0
14,0.660989010989011,-1.6260139232441766,-5.0,0.06623139408943263,3,2,170,256,108,253,1
4,0.6567657832363714,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
40,0.6557530704589528,-1.4997049483922247,-5.0,0.33659719398685484,4,0,111,0,32,221,1
31,0.6536199095022626,-1.5056912555560142,-5.0,0.34410042894566306,3,2,78,70,0,131,1
35,0.6512928248222365,-2.86371449289096,-5.0,0.0,0,3,256,163,19,154,1
22,0.6479099332040509,-3.90083878730614,-4.934076789032431,0.04196183227863789,4,0,154,234,166,183,1
49,0.6446132299073475,-2.0540521569041257,-5.0,0.0,4,2,256,0,224,43,0
30,0.6443546649429003,-1.302380890590483,-4.597155504519573,0.20211241877987696,1,2,239,0,208,43,1
10,0.6433634992458521,-4.0,-4.112505625418193,0.0,4,0,256,0,256,0,1
48,0.6405408317173023,-3.4399818332995755,-4.888496349863822,0.26448281557570813,1,1,16,109,186,242,1
15,0.639786683904331,-1.2564096771752857,-5.0,0.23834183049282331,0,0,256,256,235,22,1
24,0.6372225813402285,-3.335253098425659,-4.512671803429914,0.2534949388693921,1,1,103,172,20,128,1
2,0.6323744882568412,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
28,0.632051282051282,-3.662004819905407,-5.0,0.6137019897967669,3,2,239,112,177,35,1
46,0.6269446240034475,-2.660304087471429,-2.6298095095182497,0.38757671476360633,4,0,127,0,221,214,1
11,0.619467787114846,-0.3,-1.038431411901271,0.4801031136495239,3,3,28,72,256,166,0
32,0.6097931480284421,-1.7938190224300214,-4.222945588916676,0.2793123607061308,4,0,256,194,256,59,0
6,0.6049773755656108,-1.23528752535446,-2.6435346246893507,0.29535144151224585,1,3,39,85,57,225,0
5,0.6034798534798534,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
19,0.6018207282913166,-1.4979591029527572,-4.692914170186582,0.7,4,1,221,0,10,189,1
43,0.6006464124111183,-3.4571040470559424,-1.0,0.7,1,2,18,0,92,174,0
18,0.5886554621848741,-0.3,-3.4346397127497355,0.7,0,0,170,0,65,222,1
17,0.5860698125404008,-3.190926697575816,-1.0,0.06475829149546881,4,3,100,256,104,106,0
42,0.5788515406162464,-2.7030364387962154,-1.0,0.5848654356707761,3,1,151,208,0,256,0
1,0.577774186597716,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
44,0.5772139625080801,-2.5973129110543947,-2.4414705674618933,0.7,1,2,129,0,227,228,0
25,0.576115061409179,-0.7997827581760957,-4.453593196424455,0.09194851277772374,4,2,216,207,129,152,1
29,0.5,-0.4994908803535396,-5.0,0.3729859064728196,3,0,159,64,239,56,0
