trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
13,0.8710219492967097,-2.156977336470007,-4.377759384679328,0.06705996384858769,0,3,132,224,65,30,1
33,0.8675642781074092,-1.0702839797742238,-5.0,0.0,0,3,75,161,142,111,1
3,0.8655864901871292,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
37,0.8653237071767423,-3.275371156585207,-4.8441435266675095,0.0,4,0,84,217,256,0,0
48,0.8651300775901414,-2.782839455116807,-5.0,0.0,2,0,132,141,0,0,1
28,0.8650747548511126,-1.7368785384607697,-3.793207028355811,0.1331286949595171,4,1,197,62,210,2,1
31,0.8632076124088904,-2.72529264170227,-2.240973744084284,0.4320829767084972,0,0,157,180,93,19,1
32,0.8631384589851043,-2.46426664636408,-3.343452724558729,0.12739833641236684,4,1,255,48,189,15,1
15,0.8629448293985034,-2.2270742055322588,-4.04034447971529,0.058443822665305734,0,2,121,36,0,253,1
8,0.8628480146052031,-2.7628537544325735,-4.575236806986999,0.013490872911234155,4,2,220,173,114,36,0
6,0.8611191790105528,-2.836775315266956,-5.0,0.12976712082548345,4,2,29,223,116,200,0
29,0.8609255494239519,-2.641442976423449,-2.6379867833564443,0.0,2,2,196,126,94,137,1
49,0.8607457505221083,-3.00145980686,-5.0,0.0,3,3,256,198,163,104,0
23,0.8601648617623059,-2.5548061873932935,-5.0,0.4291286155760797,0,2,77,248,26,71,1
50,0.8599850628604623,-2.9317404235335345,-3.476251556829402,0.0,4,3,208,175,256,134,1
34,0.8599435708061907,-2.310687223715199,-5.0,0.0,0,3,207,233,256,5,1
44,0.859293528622602,-2.541440097508664,-3.7742271669639855,0.0,2,0,243,6,0,167,1
18,0.8592382058835732,-2.095089346873041,-3.374088456624406,0.024965420493131406,2,2,169,222,77,230,1
38,0.8577583226145526,-3.3555006436847066,-3.623341281305501,0.0,3,0,130,3,256,256,1
7,0.8573987248108654,-2.8602527357947984,-1.0,0.21411738722574955,0,3,88,142,2,92,1
19,0.8568178360510629,-2.8082290556910907,-4.903850536029662,0.22172686789881235,4,2,254,10,97,152,0
43,0.856416746193104,-2.827991827224092,-3.417549078461874,0.0,3,3,126,189,86,0,0
25,0.8558773494875732,-2.4326227352395704,-5.0,0.0,0,2,46,151,144,89,1
35,0.8538995615672933,-4.0,-1.0990312131888307,0.20874968145780953,0,0,256,0,40,223,1
27,0.8513823769414823,-2.969599052408085,-3.4579899120340167,0.0,0,2,235,246,0,8,1
26,0.8498886629877046,-1.8840558054196048,-5.0,0.0,0,2,8,230,0,68,1
1,0.8483672876644123,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
20,0.8431669501957042,-2.673549380173972,-3.7922812291804906,0.4375511255179961,1,3,157,241,195,82,1
41,0.8416455748724119,-3.08217060679445,-2.1846559778593324,0.0,2,0,130,2,256,0,0
24,0.8371644330110783,-1.6782117196554633,-1.24398910323333,0.5227358494272524,0,3,112,85,32,98,1
30,0.8357951952201154,-1.284362154908072,-2.033863508438383,0.16839185286097094,4,1,111,147,250,182,1
46,0.8353526133078848,-3.1615188871624955,-1.0,0.7,4,0,210,149,256,0,1
45,0.8352834598840989,-2.8173981148088383,-2.1559784139965052,0.0,3,3,251,243,256,184,0
47,0.8310789317179093,-2.5461787132373876,-1.0,0.7,0,0,256,30,0,0,1
17,0.8233475789386332,-2.1371072256206647,-4.134982956071807,0.5387658818055878,2,2,27,61,28,156,0
22,0.8191015587181721,-2.1228566455439135,-3.729837788330154,0.6312677220113827,2,1,229,169,7,69,1
11,0.818340871056526,-2.2834234521514647,-2.033016569246813,0.5404282642139169,1,0,47,17,133,238,0
5,0.8092126191167723,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
39,0.8091572963777437,-0.9784998381671315,-1.5588773202965114,0.0,4,1,70,219,256,256,0
10,0.8001396899160477,-0.681855739111588,-1.5716092071761345,0.3352861718468717,4,1,9,142,94,237,1
2,0.7987981134945991,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
42,0.793390315754533,-2.81191823675122,-1.4121129403358341,0.0,2,0,45,74,0,0,0
4,0.7804586255065488,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
21,0.7738198968230917,-2.1709237356477735,-4.087543583280308,0.7,2,1,185,147,254,67,1
16,0.7686887127781696,-2.4493728667506343,-1.9620546129575138,0.7,0,1,136,36,120,49,0
9,0.7661715281523589,-3.9982482395999845,-3.817135399875081,0.031545307097675626,4,3,250,126,29,41,0
40,0.7582465457864819,-3.38751070012972,-1.6627830314432641,0.7,1,3,179,232,0,256,0
12,0.7581912230474531,-2.6122504864781817,-4.626316547780344,0.11784666005538455,3,1,53,224,142,183,0
14,0.7473272201706707,-1.4021494253835143,-1.094570041307339,0.5068204416322779,4,2,174,158,46,209,0
36,0.5047923322683706,-0.3,-2.4952151808910332,0.0,4,2,144,83,185,17,0
