trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
49,0.8688367011050717,-3.578592786132933,-4.998858197123221,0.0,4,2,98,116,0,122,0
18,0.8676334315311951,-3.429574504669323,-4.215635856917844,0.0,0,2,243,221,22,139,0
36,0.8652683844377135,-1.9242922468416745,-2.798760878820983,0.15222498819623653,4,3,228,222,0,40,1
46,0.8645491888303392,-0.3,-5.0,0.0,2,3,111,139,28,58,1
26,0.8642864058199522,-3.4844530691800175,-5.0,0.23844840433824652,3,2,169,184,35,127,0
20,0.8630693055613183,-3.591055277426839,-3.959618541662385,0.0,1,2,141,251,138,133,0
40,0.8622256337911289,-2.385646951160381,-4.83617529561184,0.4180195637240553,0,2,96,191,256,196,1
3,0.8621149883130713,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
45,0.8620734962587998,-1.898212318035987,-5.0,0.693482388241661,2,0,249,89,228,10,1
43,0.8619075280417133,-3.242023324554944,-5.0,0.31215768660480714,2,2,96,65,161,256,0
14,0.8594318354701741,-2.9883859416010843,-4.309203492686874,0.23700966197988704,4,2,73,39,205,88,1
4,0.859418004785417,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
47,0.8591967138293016,-4.0,-5.0,0.0,4,0,252,18,179,32,1
27,0.8589754228731865,-3.0686620979848325,-3.2123499801629283,0.0,3,2,114,85,30,36,1
42,0.8580625976792111,-2.024779012534265,-5.0,0.0,0,2,8,0,0,244,1
7,0.8576891691907667,-3.6783317046911796,-1.4885594417724635,0.45764860006574837,4,0,235,117,67,21,1
23,0.8573019100175651,-3.1479027690530526,-5.0,0.0,4,1,141,187,39,253,1
17,0.8562231166065033,-2.3347005845140223,-1.0226352183892509,0.24682759791426048,3,3,79,32,59,153,1
34,0.8546464185441821,-0.9147459797863529,-3.5545593167143013,0.10781785941689494,0,3,245,218,22,161,0
12,0.8545634344356389,-3.0011700203448743,-2.043485361688826,0.6089972782206559,3,0,190,168,182,138,1
39,0.8523920169287582,-1.4278855021026065,-5.0,0.0,0,1,74,256,0,162,1
16,0.8519356043317704,-2.771036483820154,-5.0,0.0,1,3,8,51,197,97,1
48,0.8485747479357701,-0.3,-5.0,0.5827030593611457,2,3,101,205,67,203,1
29,0.8478278909588814,-1.3853070488373969,-5.0,0.42490115886905727,1,3,18,256,11,25,0
24,0.8472055101448073,-2.5739932512318218,-2.2959149269009345,0.0,3,2,39,69,251,204,1
10,0.8469980498734493,-2.0933635205978343,-3.71346709886242,0.22749017720848172,2,1,89,34,256,96,1
38,0.846168208788017,-3.042634489914171,-4.117784966180723,0.0,2,2,180,256,209,0,1
6,0.8457947802995724,-1.1292725286867302,-3.2640825952513404,0.48425057949988154,1,1,77,185,125,220,0
28,0.839045406138058,-1.7282345683439901,-2.7626294481321043,0.5581733592946464,1,0,16,175,245,16,1
21,0.8328215979973168,-2.92083293200023,-5.0,0.0,3,3,39,0,256,0,0
1,0.8306916725447075,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
22,0.8257541180863865,-2.89733698056398,-1.0,0.45751546519140013,0,2,17,256,0,256,1
8,0.8218676956696126,-2.256522982811463,-4.835213860970444,0.1727158497400311,4,1,47,0,256,65,0
5,0.8216878967677691,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
31,0.8204984578786496,-1.5647635931213366,-5.0,0.5734510973463244,0,1,42,46,172,221,1
50,0.8174280458625506,-4.0,-5.0,0.7,3,2,244,82,0,90,1
37,0.8148417078129537,-1.9952436988207025,-2.4769029056330476,0.3791941281135831,0,1,168,26,0,115,0
44,0.8120617401767561,-0.3390560378258405,-5.0,0.6754183782683234,1,0,102,43,256,192,1
35,0.8087976985740564,-1.5054579060175426,-1.6549654644725487,0.42401872465220014,4,3,178,178,219,55,0
33,0.8078295506410521,-2.4669767353190597,-2.2550774646787195,0.6002880936155367,0,0,14,206,11,95,0
19,0.8068337413385337,-3.4118059348328598,-1.0,0.7,0,3,219,177,0,0,1
2,0.801993001673513,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
11,0.7934732998630762,-0.42738425166946037,-3.740802752477777,0.5623161003872045,0,2,37,21,256,46,1
15,0.7918412790617262,-0.38332098466485176,-2.593221425623007,0.6890089477902985,0,0,51,56,166,72,1
41,0.7803064879742195,-0.8152780602713108,-2.307771327025382,0.155277628068072,4,2,70,54,19,6,1
25,0.7720357384894126,-3.2640267943577745,-3.0393066248399716,0.01706554408134054,3,1,249,68,103,256,0
9,0.7718421089028118,-0.3000678879203673,-1.0031479723182675,0.175220793021136,1,2,74,256,0,0,1
30,0.7682876229202107,-1.3018942847928212,-1.0,0.6114195031524978,4,2,51,0,252,139,1
32,0.7635575287332476,-3.860568409878929,-4.460135413998468,0.5068891756750052,0,3,248,200,30,234,0
13,0.6371934774490685,-4.0,-3.691160576848805,0.6715175659801306,4,1,126,56,206,102,1
