trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
45,0.8819896823091712,-1.9889575056125688,-4.865502242303108,0.3147764227560115,4,0,165,226,118,242,1
28,0.8805097990401505,-2.434223574624772,-5.0,0.0,0,0,256,0,25,0,1
37,0.879998063704134,-2.708455328193462,-4.96879150683112,0.04156979774052826,4,3,250,174,27,252,1
36,0.8786703179674427,-2.077258257130639,-4.944494064774128,0.08484863958821695,0,0,96,233,4,29,0
39,0.8785458418046277,-2.9041437462157083,-4.970261859626205,0.005892165599664912,4,0,242,138,84,197,0
31,0.8784075349570558,-1.2127328781361455,-4.976483215365379,0.002742282667290548,0,3,31,173,83,195,1
49,0.8768308368947346,-2.6817406974191647,-4.877395417564375,0.05655401373269299,4,0,58,153,245,2,1
38,0.8768031755252202,-2.6601957816286843,-4.975456072398116,0.015438747452521707,2,0,120,53,215,197,0
19,0.8762361174501749,-1.3165867199368217,-5.0,0.2173793670474971,4,3,256,256,0,256,1
33,0.8760701492330886,-2.800181762259445,-4.821396284699069,0.012334788507043417,1,0,173,55,234,8,1
27,0.8739540544652367,-2.595811113747564,-5.0,0.0,4,0,256,256,23,116,1
26,0.8737604248786357,-3.4837204474643877,-5.0,0.003331912836302168,2,3,253,202,218,97,1
42,0.8736566947429567,-1.9988984812797477,-4.99872208820871,0.3821344806357022,1,0,255,183,24,185,1
46,0.8736497794005782,-2.216470210955343,-4.660454651456575,0.1378595979099746,4,0,173,174,30,198,1
23,0.8731933668035905,-2.3718338154434777,-5.0,0.0,4,3,256,256,256,0,0
30,0.8726954621523313,-3.638844752739757,-4.975338774872259,0.003996332945980808,3,0,208,18,52,222,1
48,0.8719209438059279,-1.8352679135854566,-4.949088542479979,0.25764827778897176,4,0,21,128,158,48,0
43,0.8716996528498127,-2.999324752561038,-4.994233099252416,0.049240932992065105,2,0,117,59,2,205,1
50,0.8713538857308825,-2.0903754232865497,-4.951565705858779,0.6894316389200024,4,0,236,6,34,92,0
3,0.8713123936766108,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
29,0.8710772720357385,-3.364758003433973,-4.871334048745102,0.002023065897343435,0,1,219,249,251,24,1
44,0.870980457242438,-1.3924523679958414,-4.843128820882534,0.6798165029730108,1,0,229,243,5,188,0
9,0.8708144890253517,-3.0891799439345524,-3.7188950665546434,0.10629215506031948,2,2,184,235,137,106,1
21,0.8705240446454505,-2.061712991202124,-5.0,0.0,4,3,256,0,256,72,1
12,0.8705240446454504,-2.248360921564159,-4.526525374548012,0.679807749792539,4,0,194,0,256,0,1
11,0.8692239602782734,-3.385703179007971,-5.0,0.22590773986257012,4,0,39,0,256,0,0
18,0.8690165000069152,-2.3285892047535075,-5.0,0.0,0,2,8,256,0,256,1
32,0.8687398863117713,-1.113492250747838,-4.199755860120025,0.013283661586196217,1,3,245,197,75,113,0
35,0.8681589975519688,-1.170690410587075,-5.0,0.7,0,3,256,256,0,0,1
6,0.8675089553683804,-1.2463138383630517,-5.0,0.32422867842615577,1,0,19,0,140,104,0
24,0.8673844792055655,-1.4845018893866042,-5.0,0.0,0,2,256,256,256,256,1
25,0.8667206063372197,-1.2005383209602134,-5.0,0.6570540800797452,4,3,256,0,0,256,1
22,0.8661950403164461,-3.16286065689103,-5.0,0.0,0,0,8,225,0,41,0
4,0.8659322573060593,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
17,0.8656279822414007,-3.016578649984558,-5.0,0.7,4,2,256,0,256,0,1
1,0.8643140671894666,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
16,0.8616585757160836,-1.7950100522450834,-5.0,0.67019156789453,0,3,8,256,0,15,1
34,0.8600403855994909,-1.1575258112994584,-4.945140959134588,0.019036121621143803,4,2,63,62,62,15,1
41,0.8583392113743552,-2.2403224874699137,-5.0,0.0,1,3,8,69,256,0,1
47,0.8578966294621246,-3.4862837836050846,-4.973086800870954,0.22253439218397603,4,3,48,192,45,62,1
15,0.8508014881816799,-1.2252360980021528,-1.0,0.6996484897502077,4,0,163,256,256,0,1
5,0.8499716470962477,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
40,0.8494737424449886,-2.558705443129506,-4.989453164790417,0.061555159677602105,0,1,239,44,115,189,0
20,0.8472055101448073,-4.0,-5.0,0.6923983602254253,0,1,256,256,0,256,1
14,0.8463894997441324,-3.228900398420984,-1.0,0.7,3,3,256,157,13,256,1
2,0.8418253737742555,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
13,0.8382017343678685,-4.0,-1.0902700230599938,0.0,4,0,8,0,256,6,0
10,0.836721851098848,-2.799354000868764,-1.0,0.4451697530444557,0,3,8,230,0,230,0
8,0.5,-0.3,-1.0,0.7,4,3,256,256,0,92,1
7,0.5,-0.3,-5.0,0.0,4,0,8,0,256,256,0
