trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
50,0.670836879432624,-1.7952000449982872,-5.0,0.2473577110594328,0,2,115,171,124,42,1
45,0.660113475177305,-4.0,-5.0,0.26341093886646016,0,0,8,254,256,110,1
47,0.6597163120567375,-3.8002731795619775,-5.0,0.061878018359019564,0,0,76,160,256,169,0
17,0.6560851063829788,-0.5508560191345793,-1.83903210207815,0.17201087932571243,3,1,256,8,213,42,1
36,0.6559716312056737,-1.5062086377416342,-4.766755594276526,0.5165087703166479,1,3,178,57,112,213,1
42,0.653645390070922,-2.2246589079522767,-5.0,0.33423425554325903,2,3,44,226,109,206,1
14,0.652936170212766,-4.0,-3.644792537313779,0.0,4,3,256,95,0,256,1
9,0.6519432624113477,-3.294856878140312,-4.376788259264435,0.0491271814317203,3,3,137,50,65,179,1
21,0.6513475177304966,-3.8696931438935103,-4.417609144108065,0.0,4,3,256,256,0,256,1
39,0.6504397163120568,-4.0,-3.8394746264913775,0.12754012215886165,0,0,256,211,256,60,1
18,0.6495035460992908,-1.663103374340949,-4.891034240788065,0.2785497353938611,1,1,217,18,200,4,1
38,0.6485390070921986,-2.4733101655570264,-5.0,0.2627252003522238,4,3,141,0,52,82,1
37,0.6476595744680851,-0.3,-2.1861420448175,0.09096701315411067,4,1,256,0,256,165,1
41,0.647404255319149,-4.0,-5.0,0.00866044333264363,0,3,92,49,0,225,1
26,0.6457021276595745,-2.5879266935309104,-3.4574163343515605,0.5107732512568925,4,3,256,4,256,192,1
3,0.6451063829787234,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
30,0.6450212765957446,-1.609401579668539,-3.979719850077531,0.14845486857290444,4,2,256,155,118,202,1
24,0.6445673758865249,-1.5990071678531148,-3.305254604808486,0.48752365660484476,1,1,225,195,169,163,1
12,0.6433758865248227,-3.3119009075007066,-4.411275064338443,0.586786884163431,0,2,91,0,150,127,1
35,0.641163120567376,-3.591405062630285,-3.3209629986539144,0.20414446161289726,0,3,68,183,256,124,1
43,0.6409929078014185,-0.7092100036774704,-5.0,0.2070496667279641,2,2,256,145,185,84,1
10,0.6389787234042553,-0.3,-5.0,0.5829070687022669,1,1,148,0,166,36,1
2,0.6363120567375886,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
33,0.6332198581560284,-1.3943423535360542,-4.823246538508626,0.06081451440016007,1,2,221,80,187,127,0
32,0.632936170212766,-2.7001414548432843,-3.9622318810410446,0.6121400764382953,1,3,256,58,117,35,1
13,0.6314893617021278,-3.026087371508847,-4.3380567511140375,0.03312087663122714,3,3,17,107,23,179,1
1,0.6305248226950355,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
15,0.6264397163120567,-1.8713494566107842,-2.5470255757875884,0.46217725114053126,3,0,8,162,256,212,0
23,0.621531914893617,-0.42922044645641577,-1.764749670743262,0.26887903033971766,3,1,253,166,170,142,1
46,0.6179574468085106,-2.6850659596273845,-5.0,0.0,4,3,8,0,256,0,1
4,0.6179007092198582,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
20,0.6163971631205672,-2.2763744893449216,-2.1744381917062943,0.5191495335869489,1,3,256,14,132,211,0
27,0.6104397163120567,-4.0,-2.020624079979584,0.7,4,2,211,227,256,0,0
44,0.6071205673758865,-1.7384615542119062,-1.0,0.0,0,0,256,0,256,0,1
34,0.6038581560283688,-3.1042867139787567,-3.863629216850254,0.5927747804830039,3,1,217,0,207,132,1
29,0.5986382978723406,-0.8530459494244478,-1.8906790254193013,0.26780227270953344,2,1,256,75,256,251,0
49,0.5914893617021276,-1.763907924991404,-1.0,0.23062726931525418,3,3,256,148,237,101,1
25,0.5876595744680851,-3.644420027753543,-1.1386521152148985,0.12446039031840211,4,2,246,0,164,227,0
5,0.5841702127659575,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
48,0.5542978723404255,-4.0,-5.0,0.5428203148401645,2,3,103,98,216,101,1
31,0.5459432624113475,-1.352104605805982,-1.7894369539808554,0.687225248696014,3,0,142,57,79,223,1
6,0.5,-0.44422096354593865,-2.5779866558838105,0.10646578788448659,0,2,45,249,255,97,1
22,0.5,-0.8380117201375015,-1.9489721890993161,0.11692164779215108,2,2,256,37,32,211,1
19,0.5,-1.3215193261878833,-3.2940013372976944,0.13895265265129494,2,2,256,120,11,140,0
40,0.5,-0.535982075812488,-4.335394718768245,0.6299998291058021,1,2,8,6,256,100,0
28,0.4918297872340426,-3.5710290336531108,-2.563392293829703,0.473200517993173,3,1,128,248,38,144,1
8,0.4406808510638298,-4.0,-1.0,0.5767205770728464,4,3,8,0,0,0,1
11,0.4389503546099291,-3.8920168370396486,-4.682894546336211,0.0643278549925876,1,1,197,41,30,51,0
7,0.4339007092198581,-4.0,-1.0,0.7,0,3,256,0,0,256,0
16,0.4056595744680851,-2.220115628211842,-1.0,0.0211530361721284,4,1,8,129,106,241,0
