trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
21,0.6777382408539975,-3.789451003083253,-5.0,0.0,4,1,242,102,123,118,1
39,0.6771377738240855,-2.48949840277118,-5.0,0.19466896025788555,3,1,218,83,134,214,1
13,0.6564994996108084,-0.3,-5.0,0.3083625769390067,4,1,181,34,109,24,1
18,0.655654397865006,-4.0,-5.0,0.0,4,0,178,63,100,241,1
14,0.6475592127210053,-0.6379861385148589,-5.0,0.547090174926732,4,3,256,0,138,0,1
8,0.647069943289225,-0.3,-4.499657663692325,0.006374859689551174,4,1,55,230,20,234,1
24,0.6434893806293783,-1.8899820058642476,-5.0,0.0,2,1,33,2,221,164,1
40,0.6412209496274881,-1.458725037739801,-4.96608797386529,0.03913900545416372,2,1,121,85,176,155,1
16,0.640509284999444,-1.0813870840404105,-5.0,0.15852998888163045,0,3,256,256,0,0,1
30,0.6396864227732681,-3.0491672826491647,-4.532457889908193,0.12970896959258965,3,2,128,157,142,153,1
4,0.6346825308573335,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
17,0.6317913933059046,-0.3,-5.0,0.0,4,3,256,0,60,0,0
35,0.6314800400311352,-3.536533204464599,-5.0,0.0,4,3,203,134,187,76,1
1,0.6291226509507394,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
47,0.6280440342488602,-0.8026530595665928,-5.0,0.09734813078562587,4,0,186,89,128,64,1
49,0.6249638607806072,-3.4454753442561317,-4.9495654857950795,0.0,3,1,107,71,123,190,1
43,0.6210274658067386,-0.9218121453975701,-5.0,0.35321388939067233,4,1,44,41,142,0,1
32,0.6194929389525186,-0.5869024595970038,-5.0,0.2100888866889475,4,3,12,67,144,179,1
23,0.6185811186478372,-3.7575986610358245,-5.0,0.0,1,0,170,255,85,37,1
41,0.6147336817524741,-2.4385127538077604,-4.211169406650804,0.10542776580515782,2,2,8,256,13,235,1
27,0.6114422328477704,-1.139824121349469,-4.961899872831362,0.21350404432000106,4,0,236,250,106,213,0
34,0.6100189035916823,-3.308537308847089,-4.419489111007369,0.3016260920235132,4,1,170,151,117,153,1
45,0.6044367841654621,-0.7780547001250979,-5.0,0.37982861757621283,4,1,242,40,183,256,1
28,0.6042143889691983,-3.1389107843568227,-5.0,0.010452110769004064,4,0,256,197,81,127,1
31,0.5999888802401868,-3.91026966074577,-5.0,0.13626232969905583,2,1,223,23,93,99,1
11,0.5958968086289336,-2.5224681082178293,-5.0,0.19867673501812247,4,0,256,119,165,40,0
33,0.5953519403980874,-4.0,-5.0,0.3524406684638316,4,0,213,209,153,179,1
42,0.5936061381074168,-3.3647357983527257,-4.860030719930881,0.12742002549613257,4,3,197,75,139,254,1
3,0.5931168686756366,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
50,0.5870454798176359,-0.813327400434507,-4.5078550449564,0.0,2,2,8,204,81,114,1
46,0.5849994440120093,-2.6092173751805348,-5.0,0.1441866785250786,3,1,256,175,126,140,1
9,0.5831090848437673,-0.3,-1.0,0.0,4,0,256,0,0,256,1
7,0.5735905704436783,-0.3,-4.62059244566021,0.42800887628018697,3,3,46,82,231,79,0
10,0.5694317802735461,-0.3,-2.3855651673518348,0.7,0,1,112,0,104,0,1
5,0.5693539419548538,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
20,0.5659179361725786,-4.0,-5.0,0.5837538497228784,4,2,256,0,256,126,1
38,0.5628488824641388,-3.360318670586382,-3.626182489548726,0.0,4,0,130,42,143,238,1
2,0.5621928166351606,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
26,0.5618481040809519,-3.7893946326978187,-5.0,0.1729512900642753,4,1,110,139,0,0,1
22,0.5566885355276325,-2.7382597613094792,-5.0,0.0,4,3,227,6,194,187,0
25,0.5554208829089292,-0.9291785802138683,-5.0,0.48608229529971775,0,2,105,130,250,0,1
12,0.5482152785499832,-4.0,-1.0,0.5213423570398869,3,3,8,0,256,0,1
44,0.5,-0.38502895222971256,-5.0,0.36125231706056254,3,2,248,180,120,256,1
15,0.5,-0.3,-5.0,0.7,4,0,8,0,6,256,0
29,0.5,-0.49882774175807887,-4.407267740595609,0.08099467781660871,3,2,57,206,39,185,0
19,0.5,-0.3,-5.0,0.4250378295433295,0,2,185,0,256,247,1
48,0.5,-0.7158340475186469,-5.0,0.5516720967901222,2,0,109,35,58,177,1
36,0.5,-0.3,-5.0,0.7,4,2,239,51,18,21,1
6,0.4883020126765262,-4.0,-2.280783726033934,0.28542561486455503,1,3,13,210,175,52,0
37,0.45810074502390746,-3.8192708699349085,-4.115423946119011,0.010140654972430845,4,1,169,205,15,87,0
