trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
34,0.6719337262315134,-2.2293174199469634,-4.799653165230284,0.0,3,3,256,0,41,176,1
46,0.671555654397865,-3.962383664600967,-4.944512161675932,0.04539208230175313,0,2,66,250,235,232,1
16,0.6708884688090737,-2.240926624528506,-1.573829436703266,0.04339068992385587,3,3,256,3,42,256,1
17,0.6568998109640832,-1.0949335303498264,-2.9084692805057855,0.5219583221850539,1,3,256,6,121,256,1
31,0.649027021016346,-2.4289548548959186,-4.532315595010408,0.0969526572979952,3,2,256,256,254,254,1
47,0.6454909373957523,-3.8167510606360255,-4.8297235593520025,0.08949322860861138,3,0,183,250,172,185,1
24,0.6454242188368732,-3.0199826079178473,-2.249218189874793,0.15771501957062947,0,0,254,1,231,5,1
29,0.6453352607583676,-2.907400045231206,-3.4198159916132322,0.41300558325652065,1,1,154,0,0,256,1
12,0.6416657400200155,-3.8681475714880014,-1.0,0.1196100965403472,3,0,128,227,88,253,1
7,0.6389302791059713,-3.4181369216872097,-4.961974881126681,0.05351889128735692,3,0,214,81,187,238,1
37,0.6388190815078394,-2.614361785017331,-5.0,0.0,3,2,256,135,17,42,1
3,0.6387523629489602,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
33,0.6374402312910041,-2.426743357308317,-2.6675170462893085,0.5533333515344564,3,3,256,0,226,238,1
45,0.6292560880684976,-2.7539839968043536,-1.2075581244818814,0.008848030165122025,2,3,38,1,54,192,1
48,0.6291671299899921,-4.0,-5.0,0.0,1,2,208,256,0,256,1
32,0.6198487712665407,-2.011604560014572,-4.075551666238157,0.22064601569440156,3,3,8,256,155,37,1
40,0.6192038251973757,-1.5504824192721225,-2.82127788679048,0.7,1,3,85,0,16,256,1
39,0.6164016457244523,-2.0914298500967927,-1.7756305853461298,0.15699362677169418,4,2,256,110,17,172,1
20,0.6158345379739798,-0.5673645655272628,-5.0,0.18153396216443296,2,0,256,256,89,231,1
22,0.6146669631935949,-1.10348505725052,-3.6415128574220432,0.07371179456809833,4,2,256,0,91,205,1
38,0.6124874902702101,-2.2010842187142194,-1.656162068891284,0.20423444280810096,0,1,256,87,21,144,1
2,0.6115089514066496,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
15,0.6097965083954188,-4.0,-3.033826902426924,0.09583636720716711,3,0,8,51,152,171,1
50,0.6065495385299678,-4.0,-1.3837653722076797,0.11645437051898484,0,0,226,0,0,256,1
43,0.6056821972645392,-1.8980889730821593,-5.0,0.0,2,0,175,0,238,256,1
36,0.6053930835093962,-2.2399038165341034,-4.143085780120866,0.0,2,3,254,152,220,1,1
9,0.6051373290336928,-4.0,-5.0,0.7,0,0,8,0,256,0,0
19,0.601301011898143,-2.8479133963818253,-3.5196799424951988,0.5840432450511023,4,3,256,171,137,251,1
41,0.6006115867897254,-2.809693761449988,-5.0,0.42444474734761317,3,3,256,0,42,211,1
13,0.598698988101857,-4.0,-1.5981285835647068,0.12291825914828611,2,1,256,219,101,86,1
49,0.5976092516401647,-4.0,-5.0,0.0,3,1,39,256,256,0,1
4,0.5965862337373513,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
1,0.5924385633270322,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
27,0.5901590125653287,-4.0,-4.212037449975747,0.28074584591664237,4,1,256,0,256,256,1
35,0.5880907372400755,-2.210860167978995,-1.649276496065343,0.0,4,0,193,223,235,237,1
30,0.5873568330924053,-4.0,-1.0013905644642036,0.304575422414755,1,1,89,0,228,160,1
23,0.5872345157344601,-1.698305524880522,-4.996486474442222,0.5907149784004593,1,1,156,256,13,235,1
42,0.5783720671633492,-2.6928816178003503,-4.70851728970072,0.5318236926978597,2,1,229,0,256,54,1
21,0.5741243189147115,-0.752618184096252,-1.0,0.04393659516112549,3,3,150,0,30,147,1
26,0.5722784387857223,-1.6711720966784807,-1.2901658115680088,0.6469613949765217,0,1,256,0,256,22,1
6,0.5660624930501501,-1.1216052483598111,-4.788176798194701,0.6651204649855988,3,1,167,229,256,233,0
18,0.5655621038585565,-3.3825480420902876,-1.456147364549718,0.008934549499157209,0,0,251,9,58,85,0
10,0.5653174691426665,-2.9725369647795707,-5.0,0.7,0,3,8,256,0,0,1
5,0.5620816190370288,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
44,0.5540642722117204,-3.827722653097839,-4.656761973442424,0.08692260848708148,0,1,62,244,29,237,0
11,0.5487267875013899,-4.0,-3.261039252828131,0.5386345130049378,3,1,256,61,256,12,0
25,0.525842321805849,-0.4432020667280714,-2.907050724719438,0.08482694527040034,3,0,10,254,51,200,0
8,0.5,-0.3776280826370271,-1.8705103801186014,0.6439130716089971,3,2,188,170,6,252,0
14,0.5,-0.587568437842632,-4.411778641602914,0.4505335316129891,1,3,188,251,59,152,0
28,0.5,-0.3365108919896729,-1.2876244794828602,0.31224293531469305,1,3,105,245,255,216,1
