trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
41,0.8557297249017506,-2.6816600302714324,-4.451949700530935,0.06859314235946444,3,2,218,97,204,167,1
6,0.8484056806002144,-2.739459662061739,-5.0,0.31838021640001946,0,0,189,256,41,98,0
34,0.8399353935929499,-2.9329890415526427,-3.8440699585208953,0.0,4,2,17,82,11,233,1
50,0.8381937001309994,-3.065410973803621,-4.742307799577262,0.3287854708760658,2,0,168,227,199,64,1
38,0.8350526973919257,-3.0518387167833327,-3.804410382585462,0.2929790759556727,2,2,35,166,4,163,1
31,0.8313162438966297,-2.467096000037782,-5.0,0.021291922100000464,1,2,183,45,106,256,1
45,0.8307356794093129,-2.8440842501619517,-4.40808228849306,0.11380349158699075,4,2,166,132,40,62,1
42,0.828324103846612,-2.214869624845602,-4.407645984623233,0.12365690179944529,2,3,210,117,161,9,1
19,0.8230692509229487,-1.698476158055159,-3.2933676464140973,0.0,0,1,174,3,159,240,1
22,0.8151497558651899,-0.9937886463170713,-4.485039637457824,0.007018657639962745,4,0,8,175,25,254,1
12,0.8132294271763725,-1.6295065691948376,-5.0,0.3791437205216121,3,3,18,0,249,114,1
47,0.8131847683696558,-2.152361604018289,-4.7006351777437825,0.41815863594707975,1,2,168,89,198,190,1
3,0.8124851137310944,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
39,0.8119343217815886,-2.501481224486813,-3.814364939010055,0.03287403406125551,2,0,136,87,157,158,0
46,0.8111453495295939,-1.1278140662437623,-4.379643640692285,0.3135640784665435,4,1,124,210,76,19,1
20,0.8086891151601763,-1.9305376052724021,-5.0,0.0,2,0,248,179,256,0,0
48,0.8083913897820652,-3.6588854702412394,-4.184910246077653,0.4311916541039195,2,2,159,148,72,205,0
7,0.807647076336787,-3.3069572943565553,-4.487835894986795,0.057316067537400525,4,3,161,256,41,63,1
18,0.8063817434798142,-2.8174253467678696,-4.330141364597752,0.2796745345571816,4,3,216,255,77,256,0
29,0.8038064189591522,-2.170873637908664,-3.2991901188716315,0.49988366770534937,2,2,84,122,255,204,1
11,0.8025708586399906,-1.8921234823781776,-3.524126568387488,0.07266624319659172,1,0,233,256,74,182,0
26,0.8009929141360009,-1.3631164041642085,-3.506480859369104,0.0,0,3,48,47,46,184,0
44,0.7999955341193283,-0.9570195442606404,-4.574523891524299,0.5689366797613238,3,1,185,47,131,236,1
1,0.7994968441109921,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
30,0.7973160057163272,-1.8016163197301713,-4.518259779096008,0.6041270358965691,4,2,100,11,131,185,1
43,0.7972862331785162,-1.5052718904201647,-3.366536192278925,0.33211635833171527,0,0,227,132,102,187,1
8,0.7957678337501489,-1.8730697496309396,-4.552468505719772,0.642802804496626,1,0,35,11,105,188,0
32,0.793080862212695,-3.4219789284619337,-4.091940679195557,0.6793417204589333,1,2,124,42,23,247,0
21,0.7904832082886746,-4.0,-5.0,0.37700408541978053,0,0,221,173,189,0,1
23,0.7784699892818864,-1.4311806245344738,-1.9464645706640975,0.6956433134153636,4,0,12,22,256,10,0
25,0.7781871501726807,-3.39249009918692,-1.2459222707857691,0.07539687352900537,4,1,9,186,254,12,1
15,0.7779787424080028,-4.0,-2.3533576524647373,0.5020857788365949,3,0,256,0,48,204,0
27,0.7772642015005359,-2.1427509174386934,-1.0,0.0,0,3,158,240,109,134,0
37,0.7771376682148387,-2.586990211095168,-4.9699306677465325,0.7,3,0,87,253,49,128,1
10,0.7752694414671906,-3.0591156510794746,-5.0,0.08995312463150655,4,1,223,220,1,69,1
40,0.7735872930808623,-3.5451023834804967,-3.8332114541470252,0.17170732727011942,3,2,48,125,22,58,0
9,0.7724708229129451,-2.0350755839583528,-4.529769890157533,0.6513323088711022,0,1,89,256,0,126,0
17,0.7677444325354293,-0.6413306530213441,-1.6944622378179397,0.3892608422008888,0,0,220,184,50,0,1
28,0.7629063951411219,-3.1539732699094167,-5.0,0.21930315788524662,0,3,79,0,63,1,1
5,0.7607702155531738,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
49,0.7555600214362272,-2.3084348394495278,-4.845125933476276,0.18766528384291864,4,1,223,71,256,86,0
35,0.752069191377873,-3.23938722559803,-3.604878724982764,0.22921009060109768,1,1,204,28,172,32,0
2,0.7505284625461475,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
4,0.7196692271049183,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
24,0.719311956651185,-0.40177856717119376,-3.7703491505591336,0.6225032133267343,4,3,15,1,241,201,0
16,0.5926670239371203,-0.9840293411542094,-5.0,0.7,0,2,8,256,256,0,1
33,0.5916100988448254,-4.0,-4.466248836735801,0.7,2,1,232,94,173,126,0
14,0.5,-0.789784484164695,-1.0,0.4091819022691902,3,2,192,0,31,177,1
13,0.5,-0.7906721393395513,-5.0,0.08474392823338704,0,2,10,186,161,61,0
36,0.43449297368107653,-2.661481243638962,-3.971048801975476,0.7,2,1,137,198,43,24,1
